page,W,H,x0,y0,x1,y1,frame_w,frame_h,area_ratio,flag
page_0012,1147,1833,156,257,1037,1674,881,1417,0.594,
page_0014,1190,1862,168,269,1067,1679,899,1410,0.572,
page_0016,1208,1874,159,259,1099,1699,940,1440,0.598,
page_0018,1147,1833,152,258,1033,1669,881,1411,0.591,
page_0020,1169,1847,194,262,1059,1664,865,1402,0.562,
page_0022,1190,1862,181,311,1074,1684,893,1373,0.553,
page_0024,1183,1856,182,262,1062,1673,880,1411,0.566,
page_0026,1158,1840,167,245,1047,1663,880,1418,0.586,
page_0028,1144,1831,156,266,1027,1656,871,1390,0.578,
page_0030,1151,1835,156,248,1048,1659,892,1411,0.596,
page_0032,1162,1842,167,247,1047,1672,880,1425,0.586,
page_0034,1133,1824,147,265,1051,1660,904,1395,0.61,
page_0036,1197,1867,182,291,1068,1682,886,1391,0.551,
page_0038,1140,1828,149,255,1044,1649,895,1394,0.599,
page_0040,1151,1835,152,248,1040,1667,888,1419,0.597,
page_0042,1172,1849,164,254,1062,1670,898,1416,0.587,
page_0044,1151,1835,170,262,1058,1639,888,1377,0.579,
page_0046,1162,1842,178,256,1138,1649,960,1393,0.625,
page_0048,1154,1838,181,254,1044,1664,863,1410,0.574,
page_0050,1144,1831,139,249,1039,1659,900,1410,0.606,
page_0052,1147,1833,149,251,1138,1667,989,1416,0.666,
page_0054,1169,1847,160,257,1060,1675,900,1418,0.591,
page_0056,1137,1826,161,250,1039,1659,878,1409,0.596,
page_0058,1169,1847,164,245,1157,1673,993,1428,0.657,
page_0060,1130,1822,168,241,1035,1650,867,1409,0.593,
page_0062,1144,1831,137,244,1042,1663,905,1419,0.613,
page_0064,1144,1831,198,255,1064,1672,866,1417,0.586,
page_0066,1140,1828,162,248,1037,1651,875,1403,0.589,
page_0068,1172,1849,179,259,1142,1673,963,1414,0.628,
page_0070,1154,1838,167,243,1039,1651,872,1408,0.579,
page_0072,1211,1876,165,276,1075,1696,910,1420,0.569,
page_0074,1140,1828,164,247,1038,1671,874,1424,0.597,
page_0076,1162,1842,173,256,1162,1684,989,1428,0.66,
