sample_id,pred,score,sec
M2_0000,舞,0.5313,0.1091
M2_0001,閱,0.1321,0.0649
M2_0002,球街,0.2599,0.0648
M2_0003,地变,0.2853,0.0628
M2_0004,籠,0.1421,0.0649
M2_0005,滁百,0.5112,0.0658
M2_0006,之兵,0.1731,0.0775
M2_0007,与,0.3268,0.0821
M2_0008,籌,0.3477,0.0673
M2_0009,建休,0.3938,0.0675
M2_0010,女民,0.81,0.1112
M2_0011,岚,0.1058,0.0728
M2_0012,如安,0.2683,0.067
M2_0013,醉,0.3119,0.0671
M2_0014,事,0.3589,0.0663
M2_0015,宿,0.2647,0.0718
M2_0016,酒,0.1284,0.0721
M2_0017,全弃,0.6039,0.0691
M2_0018,翁,0.1856,0.0745
M2_0019,形,0.1436,0.156
M2_0020,燕,0.1309,0.0864
M2_0021,鷺,0.4924,0.0826
M2_0022,彼,0.5272,0.0714
M2_0023,虎,0.2461,0.0855
M2_0024,食,0.2701,0.0907
M2_0025,歇,0.3296,0.0795
M2_0026,1,0.4695,0.0629
M2_0027,陈答,0.2284,0.0568
M2_0028,物,0.4429,0.0658
M2_0029,饿,0.3362,0.0707
M2_0030,咸医,0.6391,0.0668
M2_0031,艺器,0.2319,0.066
M2_0032,放,0.4901,0.0628
M2_0033,湛,0.3264,0.0697
M2_0034,答,0.3262,0.086
M2_0035,填,0.525,0.0703
M2_0036,墓,0.2037,0.0772
M2_0037,衣健,0.2308,0.0621
M2_0038,艾1,0.396,0.0688
M2_0039,近强,0.3503,0.0744
M2_0040,命,0.9997,0.0598
M2_0041,时,0.4809,0.0844
M2_0042,到,0.7414,0.0635
M2_0043,对,0.1449,0.0691
M2_0044,溪,0.2015,0.0646
M2_0045,入汤,0.3641,0.0619
M2_0046,倚公,0.2752,0.0658
M2_0047,色的,0.4265,0.065
M2_0048,福,0.283,0.0598
M2_0049,遊,0.1561,0.0609
M2_0050,施,0.9993,0.0628
M2_0051,箍,0.1879,0.0597
M2_0052,安,0.281,0.0593
M2_0053,需,0.2713,0.058
M2_0054,医发,0.322,0.0605
M2_0055,衣,0.6743,0.059
M2_0056,王,0.0815,0.0618
M2_0057,重众,0.7251,0.058
M2_0058,4,0.2241,0.0601
M2_0059,垂,0.5117,0.0626
M2_0060,指,0.558,0.0639
M2_0061,帝,0.7242,0.0643
M2_0062,监,0.2689,0.061
M2_0063,其等,0.2559,0.0681
M2_0064,古,0.4233,0.0653
M2_0065,臻,0.6993,0.0619
M2_0066,属,0.077,0.0656
M2_0067,婚,0.6189,0.0639
M2_0068,浦,0.2286,0.0587
M2_0069,代り,0.593,0.065
M2_0070,酸,0.1398,0.063
M2_0071,兆贬,0.1917,0.0662
M2_0072,高,0.2683,0.0634
M2_0073,八前,0.4628,0.0639
M2_0074,竟,0.316,0.0668
M2_0075,炒妥,0.1803,0.0614
M2_0076,委任,0.1955,0.0625
M2_0077,票,0.0584,0.0667
M2_0078,物器,0.4807,0.0609
M2_0079,设,0.2943,0.0621
M2_0080,陵,0.4003,0.0602
M2_0081,许瑶,0.6621,0.0668
M2_0082,等,0.6072,0.0709
M2_0083,二度,0.2847,0.0683
M2_0084,四全,0.1754,0.0597
M2_0085,圈,0.4775,0.069
M2_0086,事,0.2839,0.0608
M2_0087,食,0.5783,0.0648
M2_0088,可位,0.3148,0.0685
M2_0089,秀,0.5372,0.0662
M2_0090,忌主,0.1821,0.0681
M2_0091,传居,0.3468,0.071
M2_0092,,0.0,0.0651
M2_0093,白矮,0.3102,0.0643
M2_0094,吞利,0.4442,0.0604
M2_0095,灿妃,0.5033,0.0667
M2_0096,鲁,0.3254,0.0724
M2_0097,代爵,0.4032,0.0709
M2_0098,過,0.4782,0.0718
M2_0099,,0.0,0.0598
M2_0100,苦,0.2433,0.0622
M2_0101,知,0.2567,0.0664
M2_0102,认星,0.4511,0.0693
M2_0103,堪,0.9895,0.069
M2_0104,4,0.1637,0.0655
M2_0105,壽,0.2688,0.0602
M2_0106,初,0.3122,0.0673
M2_0107,文,0.6981,0.0782
M2_0108,菜,0.417,0.081
M2_0109,美,0.7654,0.0758
M2_0110,座,0.8689,0.0596
M2_0111,函,0.23,0.0616
M2_0112,扈,0.3761,0.067
M2_0113,什,0.2538,0.0699
M2_0114,八三羊,0.2236,0.0668
M2_0115,爲,0.2587,0.083
M2_0116,汽氏,0.472,0.066
M2_0117,洋,0.8216,0.0634
M2_0118,色,0.9106,0.0651
M2_0119,支,0.9955,0.067
M2_0120,意,0.2841,0.0761
M2_0121,也略,0.3379,0.0667
M2_0122,和,0.8611,0.0742
M2_0123,福,0.7696,0.0691
M2_0124,心興,0.4408,0.0675
M2_0125,,0.0,0.0662
M2_0126,的容,0.237,0.062
M2_0127,启,0.5532,0.0648
M2_0128,其,0.2656,0.0683
M2_0129,展,0.7274,0.0699
M2_0130,仙按,0.283,0.0734
M2_0131,仙價,0.3528,0.0618
M2_0132,威,0.2406,0.0679
M2_0133,煙,0.1113,0.0664
M2_0134,方情,0.4775,0.0663
M2_0135,裔,0.1952,0.0631
M2_0136,畜,0.3546,0.0682
M2_0137,,0.0,0.0695
M2_0138,研,0.298,0.072
M2_0139,管,0.3572,0.0656
M2_0140,工,0.1479,0.0643
M2_0141,厥,0.4492,0.0681
M2_0142,,0.0,0.0693
M2_0143,我,0.9229,0.0684
M2_0144,建,0.1457,0.0668
M2_0145,也周,0.6047,0.0643
M2_0146,悲如,0.767,0.0689
M2_0147,鑫,0.3915,0.0675
M2_0148,电尾,0.2407,0.0708
M2_0149,首,0.1461,0.0647
M2_0150,齐聚,0.3248,0.0598
M2_0151,是,0.9613,0.065
M2_0152,道,0.1875,0.07
M2_0153,图强,0.1064,0.0646
M2_0154,命,0.2612,0.065
M2_0155,安,0.4385,0.0647
M2_0156,理,0.4089,0.0615
M2_0157,连,0.3557,0.056
M2_0158,,0.0,0.0636
M2_0159,詩,0.2501,0.065
M2_0160,民,0.7647,0.0614
M2_0161,文软,0.4429,0.0635
M2_0162,图溶,0.221,0.0614
M2_0163,传,0.8642,0.0569
M2_0164,能界,0.2052,0.0593
M2_0165,尽代,0.4074,0.0585
M2_0166,准,0.9968,0.0684
M2_0167,俸,0.9315,0.0601
M2_0168,后,0.1861,0.0669
M2_0169,茶,0.2837,0.061
M2_0170,莫,0.0513,0.0632
M2_0171,3,0.1515,0.0633
M2_0172,夏,0.6331,0.0685
M2_0173,业司,0.5093,0.0694
M2_0174,登,0.1218,0.0596
M2_0175,远,0.4334,0.0631
M2_0176,境,0.245,0.0728
M2_0177,袋云,0.4308,0.0722
M2_0178,度,0.9242,0.0756
M2_0179,腊,0.4706,0.0649
M2_0180,在陵,0.4273,0.0644
M2_0181,虽姓,0.3517,0.0575
M2_0182,土人,0.3779,0.0601
M2_0183,商,0.4932,0.0692
M2_0184,顧,0.1682,0.0769
M2_0185,香縣,0.3182,0.0647
M2_0186,告,0.3391,0.0646
M2_0187,越乡,0.2724,0.0627
M2_0188,诸,0.5716,0.0614
M2_0189,法春,0.4274,0.0646
M2_0190,萧,0.2819,0.0663
M2_0191,息定,0.5927,0.0683
M2_0192,医命,0.7457,0.0567
M2_0193,注,0.263,0.067
M2_0194,歪,0.256,0.0644
M2_0195,葛注,0.8419,0.0673
M2_0196,建,0.2027,0.0651
M2_0197,成运,0.2097,0.0743
M2_0198,同,0.438,0.0639
M2_0199,藥,0.2801,0.068
M2_0200,欲云。,0.5981,0.0728
M2_0201,心爾,0.534,0.0627
M2_0202,女,0.2429,0.0657
M2_0203,生蚕,0.172,0.0625
M2_0204,举,0.4415,0.0613
M2_0205,视,0.4439,0.0673
M2_0206,八存,0.5004,0.0592
M2_0207,竹理,0.4769,0.0639
M2_0208,2,0.7695,0.0608
M2_0209,,0.0,0.0748
M2_0210,,0.0,0.0712
M2_0211,2,0.2254,0.0637
M2_0212,鲜,0.7238,0.0644
M2_0213,玉,0.3191,0.0678
M2_0214,1,0.1415,0.0686
M2_0215,術,0.3915,0.0599
M2_0216,上众,0.2976,0.0656
M2_0217,古,0.3722,0.0637
M2_0218,单底,0.5748,0.062
M2_0219,希,0.4342,0.0605
M2_0220,宋欄,0.2874,0.1242
M2_0221,代,0.8807,0.0825
M2_0222,生行,0.53,0.0667
M2_0223,否,0.1917,0.0609
M2_0224,代,0.9792,0.0652
M2_0225,视福,0.4482,0.0677
M2_0226,点,0.9172,0.074
M2_0227,刀雀,0.2361,0.0636
M2_0228,正斋,0.1856,0.0622
M2_0229,,0.0,0.0603
M2_0230,左后,0.6841,0.063
M2_0231,功居,0.6596,0.064
M2_0232,入呼,0.4477,0.068
M2_0233,R,0.1627,0.0675
M2_0234,之德,0.3916,0.0623
M2_0235,置,0.3382,0.0604
M2_0236,返,0.6489,0.0636
M2_0237,空麻,0.2933,0.0646
M2_0238,主册,0.6061,0.076
