sample_id,pred,score,sec
M1_0000,源,0.1243,0.078
M1_0001,欺,0.9755,0.0631
M1_0002,来,0.6797,0.0999
M1_0003,八主,0.4779,0.0764
M1_0004,而拜,0.2492,0.1202
M1_0005,事闲,0.4776,0.0679
M1_0006,工,0.3027,0.0729
M1_0007,也,0.9288,0.0624
M1_0008,道,0.9574,0.0578
M1_0009,成价,0.3201,0.0707
M1_0010,诸,0.9696,0.0599
M1_0011,官,0.6018,0.0649
M1_0012,迎麻,0.5302,0.0628
M1_0013,别,0.8426,0.0559
M1_0014,眉,0.6629,0.0668
M1_0015,正,0.7991,0.0669
M1_0016,時,0.9259,0.069
M1_0017,修,0.9926,0.0671
M1_0018,摩,0.1032,0.0621
M1_0019,义设,0.572,0.0647
M1_0020,德,0.9998,0.0722
M1_0021,是,0.5016,0.0563
M1_0022,数,0.5642,0.0646
M1_0023,判运,0.4177,0.0637
M1_0024,来,0.3196,0.0618
M1_0025,是,0.3701,0.0679
M1_0026,堂,0.3816,0.0664
M1_0027,庄,0.887,0.0608
M1_0028,天金,0.8494,0.0626
M1_0029,根空,0.3292,0.0583
M1_0030,学,0.4369,0.067
M1_0031,钙除,0.3846,0.0646
M1_0032,歲,0.8441,0.0699
M1_0033,外,0.9674,0.0505
M1_0034,等,0.8018,0.0683
M1_0035,天,0.2834,0.0519
M1_0036,丕,0.7373,0.0789
M1_0037,厥,0.1802,0.046
M1_0038,七麻,0.7337,0.1084
M1_0039,群,0.9804,0.0978
M1_0040,收砸,0.9561,0.0682
M1_0041,为毛,0.6921,0.3673
M1_0042,麻,0.9947,0.127
M1_0043,施,0.9979,0.0951
M1_0044,平,0.7225,0.0917
M1_0045,寸硬,0.4529,0.1253
M1_0046,事,0.9894,0.1038
M1_0047,手,0.7647,0.0763
M1_0048,我奇,0.7232,0.0836
M1_0049,中,0.9986,0.0802
M1_0050,秋,0.2946,0.0648
M1_0051,,0.0,0.075
M1_0052,之,0.9948,0.067
M1_0053,達,0.6371,0.0721
M1_0054,庫,0.9338,0.0794
M1_0055,空,0.981,0.0748
M1_0056,,0.0,0.0925
M1_0057,者,0.3309,0.0752
M1_0058,驭决,0.5696,0.0908
M1_0059,最,0.9979,0.1006
M1_0060,斧,0.2844,0.0792
M1_0061,代,0.2413,0.0694
M1_0062,其,0.7427,0.0787
M1_0063,事,0.9678,0.0967
M1_0064,我事,0.4567,0.0897
M1_0065,多,0.9899,0.0801
M1_0066,初年,0.2809,0.1169
M1_0067,武,0.4824,0.1131
M1_0068,忌诀,0.3642,0.1067
M1_0069,孜,0.1333,0.0814
M1_0070,立,0.204,0.0575
M1_0071,侯,0.3685,0.081
M1_0072,真,0.7113,0.0529
M1_0073,弘陷,0.4802,0.0578
M1_0074,命府,0.4762,0.0631
M1_0075,动,0.2451,0.0778
M1_0076,#,0.7401,0.0904
M1_0077,但,0.1671,0.0878
M1_0078,每,0.4044,0.0938
M1_0079,共,0.2732,0.0906
M1_0080,差,0.9663,0.0694
M1_0081,中内,0.8523,0.1018
M1_0082,玉,0.6397,0.0914
M1_0083,,0.0,0.0864
M1_0084,可德,0.6824,0.0599
M1_0085,欺,0.9564,0.0593
M1_0086,,0.0,0.0628
M1_0087,裡,0.1954,0.0618
M1_0088,青,0.3558,0.0568
M1_0089,垂,0.3329,0.0589
M1_0090,非,0.6119,0.0581
M1_0091,世,0.9983,0.0737
M1_0092,打助,0.5382,0.0699
M1_0093,之,0.9994,0.0722
M1_0094,仲,0.2292,0.0775
M1_0095,仍,0.7167,0.0664
M1_0096,2,0.3508,0.0583
M1_0097,,0.0,0.1153
M1_0098,入,0.8629,0.183
M1_0099,特,0.9996,0.0819
M1_0100,役,0.9411,0.0687
M1_0101,白,0.4817,0.0668
M1_0102,自,0.2921,0.0761
M1_0103,憾,0.9733,0.0865
M1_0104,泥,0.0884,0.0909
M1_0105,拉,0.7503,0.0957
M1_0106,,0.0,0.0829
M1_0107,共,0.859,0.0779
