sample_id,pred,pred_seq,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M2_0000,,更,,旅生坤用难更延因省仁德求朱安慰,15,19,0.3081,妄,ok
M2_0001,,,,于俊命特旦开德主麻,9,23,0.2231,隘,ok
M2_0002,,,,行昆奔德主直创花德每事世阁,13,19,0.1931,犯,ok
M2_0003,取,吏,取,庄国各禁为事旦几取吏体各女,13,22,0.2429,杢,ok
M2_0004,,,,由推事师理寻圣天,8,21,0.2588,事,ok
M2_0005,,,,期平辽岁已百安尽仁德公,11,19,0.1653,可,ok
M2_0006,,,,2共几我取算其朱年計我車,1,23,0.2788,而,ok
M2_0007,,,,养尼技教命妻保要些明命,11,19,0.1932,守,ok
M2_0008,养,,养,养旋新事库看安主眉发宜麻,12,18,0.2824,壽,ok
M2_0009,建,建,建,侯下有导建民字多吏日字尼,12,19,0.2559,仰,ok
M2_0010,民,,民,各礼郎城师為文麻帝為女民乃通鲁不,16,21,0.4343,良,ok
M2_0011,流,流,流,罢主奉天下固底朱流烧道因共厅,14,20,0.2734,淚,ok
M2_0012,来,来,来,自特共毛底来不,7,21,0.2358,弇,ok
M2_0013,,,,本通我姻国麻,6,20,0.235,解,ok
M2_0014,弄,弄,弄,鲁弄有珠郎,5,19,0.1669,弄,ok
M2_0015,,,,特旦前玩双,5,22,0.3429,傾,ok
M2_0016,,,,千麻之蚕有雁麻,7,21,0.2781,咽,ok
M2_0017,,永,,户行吏永,4,21,0.2971,坌,ok
M2_0018,奇,,奇,用奇委社麻事常协副新派,11,18,0.1846,府,ok
M2_0019,光,光,光,但诸属体新道城那真国架先光隆,14,21,0.2449,芒,ok
M2_0020,,除,,在在麻除事庄平官连遣导厨麻除,14,22,0.2732,敗,ok
M2_0021,,,,事村麻骨依开底洋事衬女朱旦影,14,19,0.2132,常,ok
M2_0022,被,被,被,被於世间诸拜事之盈女旦得丰旅日福,16,23,0.2275,𬒳,ok
M2_0023,虎,虎,虎,臣前普虎玉旦等礼多戈,10,20,0.2431,虎,ok
M2_0024,,,,有更主支秋要朱特,8,17,0.2177,弇,ok
M2_0025,,,,茂灵连折想巴等交求,9,19,0.2036,𣣔,ok
M2_0026,,,,我能至安体视,6,22,0.2679,而,ok
M2_0027,徐,冬,徐,寻师连陵麻印形像色团徐冬押麻遣礼,16,21,0.2841,冬,ok
M2_0028,改,改,改,莲改飛板奴麻押色地,9,17,0.3112,改,ok
M2_0029,歌,新,歌,庄除固教导游歌新天神保,11,21,0.2554,都,ok
M2_0030,,,,信官好双,4,19,0.2249,𭰖,ok
M2_0031,,,,民在特得道日每几通,9,21,0.1504,百,ok
M2_0032,,,,年固南几美寻静先来命在力现,13,20,0.2453,放,ok
M2_0033,店,店,店,特别票养体市在国店取骨願中,13,21,0.2078,底,ok
M2_0034,冬,冬,冬,共冬本通置别认德同来谷至中八用,15,19,0.2948,冬,ok
M2_0035,,,,体希之固呈有端共县翁,10,21,0.2566,直,ok
M2_0036,,,,双通体固意主有宜体导更明漂,13,22,0.3118,吞,ok
M2_0037,在,,在,收直调更海在在麻眉在固,11,19,0.342,履,ok
M2_0038,双,,双,双罢意其者顾奏德主,9,19,0.2989,𠬧,ok
M2_0039,支,,支,天下来德主支教女書改来,11,20,0.2423,極,ok
M2_0040,命,命,命,共群末天下麻在赦命庄特福之安天主吏特,18,22,0.3825,𠇭,ok
M2_0041,奇,奇,奇,帝还背收南国福伤漂奇主,11,19,0.2258,知,ok
M2_0042,,,,团徐柴理奇耳朱便高宜退不,12,22,0.3286,遥,ok
M2_0043,对,及,对,麻罢要对及庄特女灵魂特,11,21,0.2258,及,ok
M2_0044,族,族,族,解佰几斯夜谷垂连青断棱歌满之族文,16,19,0.3522,族,ok
M2_0045,,,,連共抛奴展奏用市固理之,11,19,0.3654,入,ok
M2_0046,麻,,麻,道麻特補麻除季席,8,19,0.2284,尒,ok
M2_0047,,,,我庄来朱导中数,7,22,0.2259,而,ok
M2_0048,,,,徐那明主支师,6,22,0.2347,福,ok
M2_0049,,,,制共麻在思体,6,22,0.2017,詩,ok
M2_0050,,河,,德主日美弄各接奔施河,10,20,0.2551,河,ok
M2_0051,据,,据,技据按西可女逐通因底时,11,18,0.1979,極,ok
M2_0052,,,,诸底朱是不灵超命随灵几事依事,14,23,0.2006,安,ok
M2_0053,常,常,常,本道常有主都平基坦门物法之来,14,20,0.2065,常,ok
M2_0054,,,,麻那式奴茶本道帝,8,22,0.2557,居,ok
M2_0055,,,,喂末每雨卒庄夜女麻主圣来天下,14,23,0.2712,仪,ok
M2_0056,,,,碎体垂保碎舞召道常还福朱碎主,14,22,0.259,吞,ok
M2_0057,,事,,等百新尼未弄德主主末弄世随為事,15,20,0.2134,入,ok
M2_0058,事,,事,罪共奇教举通教等事不电赦,12,19,0.2377,而,ok
M2_0059,,,,真寻先界支次,6,22,0.2106,𭮀,ok
M2_0060,接,不,接,敬接不禮麻德主支麻,9,22,0.1898,而,ok
M2_0061,年,在,年,在年国冬寿多友真社,9,24,0.2227,屰,ok
M2_0062,,,,相道麻迎通主举&事,7,20,0.2261,喀,ok
M2_0063,及,,及,庄道及固共日锦不礼,9,23,0.2142,逆,ok
M2_0064,,,,通哈礼至批施城安果与并,11,17,0.2044,而,ok
M2_0065,球,球,球,代通著瑪先果歌与几球奉德主章,14,19,0.1819,餘,ok
M2_0066,高,高,高,城若高知主泰接团除姻别景天神常明,16,20,0.4414,馬,ok
M2_0067,,固,,在南奴麻固南封重王麻要,11,23,0.278,𡜞,ok
M2_0068,,,,眉那教团徐,5,21,0.3135,面,ok
M2_0069,代,,代,多法選麻末命代,7,15,0.1324,之,ok
M2_0070,,,,来官衣眉翁被稠团本道,10,21,0.2376,隨,ok
M2_0071,群,,群,欺舞赫麻群招女德王固,10,20,0.2018,羅,ok
