sample_id,pred,pred_seq,pred_mono,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M1_0000,,則,,,於短羽攸女壽百朱影強則披時妻屏圣異沙,18,19,0.165,欣,ok
M1_0001,欺,欺,欺,欺,渚國生巽蕭置暗奇其稱罪命半是中弄候畢玉欺弇,21,21,0.151,欺,ok
M1_0002,朱,朱,朱,朱,目吒媛生曜朱旦聚衣真冠祖是氊無晨麻朱特衛圭,21,22,0.2578,朱,ok
M1_0003,主,主,主,主,命罪体希毒供孔巴某用而主道我於城焉社歌事要保,22,22,0.3188,主,ok
M1_0004,吒,吒,吒,吒,廓得在庄呈吒廈廉多尋言吏青命化辰命固理之,20,21,0.2065,吒,ok
M1_0005,困,困,困,困,於傳冲南是反鄰錯鄰吏朱困命旦聚尋群召事困而,21,21,0.2181,困,ok
M1_0006,衡,主,衡,衡,寧涅共敵臻衡主丞襟毒坦裙化撰尋不曰無圭命欺化,22,22,0.2179,主,ok
M1_0007,可,吶,可,可,罪后君曷碑哲則除可吶詩旅陰而之王保朱特呪固盈,22,22,0.2178,呐,ok
M1_0008,道,化,道,道,壽矜我道罡澤真只折出位得君碑其要義道化女惡除,22,22,0.1343,衣,ok
M1_0009,折,折,折,折,官化固秩后本毒和尋去奇本道置麻折赫教吏,19,19,0.172,折,ok
M1_0010,诸,诸,诸,诸,等诸固道毒補筆芳紙鉉麻履事惟奉丕固理之麻玳仍,22,22,0.1665,渚,ok
M1_0011,官,官,官,官,朱官陰先果歌卑發焉麻金常連星色如官但,18,18,0.1257,官,ok
M1_0012,啞,麻,啞,啞,祐体數景運像恩占主歷初碎固舞啞麻晉主碎,19,19,0.1699,麻,ok
M1_0013,則,則,則,則,固則埃重使指奉申落悲排達臻奉几恪而牢欺反弇,21,21,0.1389,别,ok
M1_0014,眉,眉,眉,眉,要眉矜差思祿化用是多麻於浪弇垂靖由烏晉連浪奏,22,21,0.1203,眉,ok
M1_0015,正,得,正,正,其忌折女應餘言代而困得葬傳麻得正補事信壽特福,22,22,0.2049,㝵,ok
M1_0016,時,時,時,時,徒掘爾拱而所終與災女異逐衛通因直時與,18,18,0.1584,時,ok
M1_0017,修,行,修,修,必更猶弁至魯虛修行飛為道傳凡等異是猶德更年,21,21,0.1904,行,ok
M1_0018,察,察,察,察,麻病架函遣悲察几富貴唱異兀庫中幾遣,17,17,0.1913,察,ok
M1_0019,改,改,改,改,至珠鋒走改朱旦厥兒廉衛君馬眾詩体仍孝,18,19,0.1509,改,ok
M1_0020,德,德,德,德,晉庄美壽蚤其底不及眾事罪嘉奔圣托晉玉壽德,20,20,0.1842,德,ok
M1_0021,等,等,等,等,其旦明等源体本道哭云壽身辰各要施求共銜主至朱集,23,23,0.2553,㝵,ok
M1_0022,數,數,數,數,更主支秋真數碎是庄來調之弄女共真而左麻庄特,21,22,0.2127,赦,ok
M1_0023,判,宸,判,判,固朕罡仍藍庫冷康麻判宸衣像庫而丕麻走,18,18,0.1858,浪,ok
M1_0024,朱,朱,朱,朱,店尋所朱特助几庫中泣每尼朱年天下蒼等異,19,19,0.1396,朱,ok
M1_0025,得,得,得,得,下餘奉得社西鄰坤欣僥等毳,12,12,0.0881,㝵,ok
