sample_id,pred,pred_seq,pred_mono,pred_all,col_text,col_n,kinh_n,sec,cell_char,note
M2_0000,晟,晟,晟,晟,脈前生坤用雍凜連疑晟某因省仁德求朱安慰,19,19,0.3009,妄,ok
M2_0001,,隨,,,子俊命碑罪朱時旦升德主支秋麻階碎如乾燕詩隨朱,22,23,0.2387,隘,ok
M2_0002,架,也,架,架,晉昆舜德主爾也直爾架也朱花算傳每事世閣,19,19,0.1481,犯,ok
M2_0003,吏,吏,吏,吏助,國臣因冷兵各架為事公欺雷旦几助吏体各等葛女稱,22,22,0.1658,杢,ok
M2_0004,輩,輩,輩,輩,油蘇些推在旦實罪事席理公到尋公明輩異圣天神,21,21,0.1739,事,ok
M2_0005,臻,百,百,臻,欺年返吃歲府已黃臻百作共谷架仁德常四稻,19,19,0.1528,可,ok
M2_0006,而,而,而,而,之共几撰令奴其而龜之朱年衣計發車磊僥願命垂施,22,23,0.1766,而,ok
M2_0007,晉,,晉,晉,盈尼扶殼命將妻係異禮晉昨是些明共命辰,18,19,0.174,守,ok
M2_0008,等,岳,等,等,岳等極廚事庫朱眉補安主吞眉突宜官麻,17,18,0.5833,壽,ok
M2_0009,連,作,連,連,侯下燒奇景連作悅字氏多吏曰字怪懷尼寸如,19,19,0.165,仰,ok
M2_0010,氏,氏,氏,氏,各等禮郎咸獅為牙麻蕭帝為爾共氏仍燒道侯嘗不,21,21,0.5264,良,ok
M2_0011,流,流,流,流,罢安主奉罰天下固遜磊者底朱僥流燒道困共浮,20,20,0.166,淚,ok
M2_0012,朱,算,朱,朱,官打特其墻繁碑罪馬與主丞底朱算在侯碑双旁平,21,21,0.2587,弇,ok
M2_0013,解,解,解,解,解欺兩孔本通壽拱孔姻君廉得在園鼎麻童再寺,20,20,0.3832,解,ok
M2_0014,弄,弄,弄,弄,善瑪弄蜀有以者算舜至珠辦郎帝求來關禮道,19,19,0.178,弄,ok
M2_0015,何,何,何,何,蔣罷祈北奸旦創時官祖爾呢麻此双宵妃垂何將凹滾,22,22,0.3066,傾,ok
M2_0016,咽,咽,咽,咽,如干愈正廉咽嚴戶之蚤爵朱眉鬼雁尼麻諸得於,20,21,0.1189,咽,ok
M2_0017,弇,弇,弇,弇,户行吏旦迎呢勸本特旦得難達幾獲俗常幾永墓弇,21,21,0.1199,坌,ok
M2_0018,詩,詩,詩,詩,因詩要壯怨奴森可幾事詩奇端域別消斷後,18,18,0.1528,府,ok
M2_0019,光,光,光,光,爲但化诸層体埃折馬道旦城那俄沙真困架先光港,21,21,0.3623,芒,ok
M2_0020,敗,敗,敗,敗,石也飛麻餘仍事庄年官化連禪遣鬼是色廚麻餘律敗,22,22,0.1288,敗,ok
M2_0021,嘗,嘗,嘗,嘗,事符麻晉嘗區依葩牙庇拜默事対女朱旦罰玉,19,19,0.1865,常,ok
M2_0022,彼,彼,彼,彼,彼於世間壽清拜竟事之盈女旦川得是作丰復兼日西福,23,23,0.3583,𬒳,ok
M2_0023,虎,虎,虎,虎,色衛翁批晉徹虎各至冤衛旦歌等禮多戈稜席歇,20,20,0.1964,虎,ok
M2_0024,奔,奔,奔,奔,自更主支秋眾我朱旦奔垂尼特趁爾近斷,17,17,0.1829,弇,ok
M2_0025,歇,歇,歇,歇,留蔑備畏親舜公連折僊巴等據吏后尼後主歇,19,19,0.3413,𣣔,ok
M2_0026,而,而,而,而,甜於而至孤餌古安壽署要爵趙所祐旺年体荒煞複罪,22,22,0.2818,而,ok
M2_0027,徐,各,徐,徐,得預席運陵麻印飛豫色爾徐各至押書興麻遣而禮,21,21,0.154,冬,ok
M2_0028,隨,隨,隨,隨,姑蓮魂觀隨祕板個震烟麻押色命她至化,17,17,0.3837,改,ok
M2_0029,歌,都,都,歌,庄悲餘固教近柩尋廟廟壽流廟麻新歌都天神保奔,21,21,0.3207,都,ok
M2_0030,虛,虛,虛,虛,去信妙隨官代補姻垂化包寶虛饗双爵等於君,19,19,0.461,𭰖,ok
M2_0031,等,等,等,等,民在特辱巍罪直正欺等曰無廚所每役几因通能,20,21,0.2556,百,ok
M2_0032,啟,啟,啟,啟,年固陽几罢啟善尋者達先化來昆命君忍刀魂釋,20,20,0.2421,放,ok
M2_0033,庶,庶,庶,庶,特刻葉弄安姬罪体帝丕固臣庶敢晉群願中茹至兀,21,21,0.2519,底,ok
M2_0034,冬,冬,冬,冬,共冬本道置别公德主喬悶朱垂殼各至中公用,19,19,0.2935,冬,ok
M2_0035,揖,揖,揖,揖,罪体希麗爵之固几辰呈翁碎在揖首孀共昆翁禳酒,21,21,0.1598,直,ok
M2_0036,丞,丞,丞,丞,双爾体固意更主丞云正再宜爾妃皇戶体得連明廩者,22,22,0.1871,吞,ok
