sample_id,kinh_n,kinh_text,pipe_text,pipe_n_boxes,pipe_sec,pipe_boxes,pipe_ori_text,pipe_ori_n_boxes,pipe_ori_sec,pipe_ori_boxes,pipe_rot90ccw_text,pipe_rot90ccw_n_boxes,pipe_rot90ccw_sec,pipe_rot90ccw_boxes,pipe_up2_text,pipe_up2_n_boxes,pipe_up2_sec,pipe_up2_boxes,rec_rot90ccw_text,rec_rot90ccw_sec,rec_rot90cw_text,rec_rot90cw_sec
M4_00,18,𭃡代困𣈆瑪先要妄尋君奴固𭁡㝵先罡遁程,初代瑪先罪安奴固弄先,1,4.429,"[[[0, 0], [127, 0], [127, 2049], [0, 2049]]]",初代瑪先罪安奴固弄先,1,3.033,"[[[0, 0], [127, 0], [127, 2049], [0, 2049]]]",初代瑪先果安|君双固先情,2,2.328,"[[[0, 0], [1066, 2], [1065, 127], [0, 127]], [[1028, 0], [2049, 0], [2049, 127], [1028, 127]]]",初代有瑪|先果安固|先兴情|祥,4,144.74,"[[[0, 0], [254, 0], [254, 1189], [0, 1188]], [[0, 1014], [254, 1012], [254, 3348], [0, 3350]], [[0, 3258], [254, 3258], [254, 3990], [0, 3990]], [[23, 3953], [199, 3926], [216, 4039], [39, 4066]]]",初代瑪先罪安奴固弄先,0.696,,0.222
M4_01,17,翁堊卷生罪於城敬些伎那昇尼郎重禀㝵,至生支那即重|:,2,3.812,"[[[0, 4], [136, 5], [130, 2059], [0, 2058]], [[122, 1272], [131, 1272], [131, 1284], [122, 1284]]]",至生支那即重|:,2,3.563,"[[[0, 4], [136, 5], [130, 2059], [0, 2058]], [[122, 1272], [131, 1272], [131, 1284], [122, 1284]]]",生支那郎重,1,3.382,"[[[10, 0], [2059, 12], [2059, 136], [9, 126]]]",翁|至老生|城|迎支那|：|即重导|:,7,129.117,"[[[30, 22], [272, 22], [272, 345], [30, 345]], [[12, 243], [272, 251], [254, 1254], [0, 1246]], [[0, 1120], [260, 1120], [260, 1666], [0, 1666]], [[0, 1646], [256, 1643], [265, 2690], [0, 2692]], [[228, 2462], [242, 2464], [239, 2485], [225, 2483]], [[0, 2525], [272, 2524], [272, 4118], [0, 4118]], [[245, 2543], [264, 2543], [264, 2567], [245, 2567]]]",翁至教那即重,0.338,,0.228
M4_02,20,附愧事与吏朱塊几奸女欺㝵䏻旦㢤巴㝵胡聘庄,阳事与吏朱几开女等旦我巴相庄,1,3.239,"[[[0, 0], [127, 0], [127, 2041], [0, 2041]]]",阳事与吏朱几开女等旦我巴相庄,1,3.172,"[[[0, 0], [127, 0], [127, 2041], [0, 2041]]]",阳事与吏朱思几开女等只我巴导相庄,1,2.819,"[[[4, 7], [2036, 0], [2036, 122], [4, 127]]]",阳事与|吏朱思几开|女歌|等|2|巴寻|相庄,7,109.863,"[[[0, 0], [242, 0], [254, 903], [0, 909]], [[0, 828], [254, 835], [254, 2013], [0, 2005]], [[0, 1844], [254, 1844], [254, 2377], [0, 2377]], [[3, 2297], [236, 2297], [236, 2576], [3, 2576]], [[0, 2511], [254, 2513], [248, 3178], [0, 3176]], [[0, 3053], [233, 3051], [237, 3539], [0, 3541]], [[14, 3507], [219, 3501], [235, 4073], [30, 4080]]]",阳事与吏朱几开女等装我巴等相,0.411,,0.254
M4_03,18,真理僚生共扛䍐麻烟咍𭔿垂在計事衣詩喝,真理原莲共麻超车計事寺,1,2.899,"[[[0, 0], [125, 0], [125, 2029], [0, 2029]]]",真理原莲共麻超车計事寺,1,2.864,"[[[0, 0], [125, 0], [125, 2029], [0, 2029]]]",真理僚|莲共麻計事,2,3.214,"[[[0, 0], [379, 0], [377, 125], [0, 122]], [[349, 1], [2029, 3], [2029, 125], [349, 123]]]",真理擦|莲共|果麻烟|哈里|在計事寿,5,127.388,"[[[0, 0], [250, 0], [250, 823], [0, 820]], [[0, 653], [250, 658], [250, 1484], [0, 1479]], [[0, 1363], [250, 1362], [250, 2132], [0, 2133]], [[0, 2037], [250, 2046], [250, 2788], [0, 2780]], [[0, 2641], [250, 2640], [250, 4058], [0, 4058]]]",真理原莲共麻超车計事寺,0.216,,0.15
M4_04,22,麻兹埋共移街丹多群𠂯麻呌法銜主吞重凜朱些唐功,麻旅共我炎群群麻四主重|发,2,1.964,"[[[0, 0], [114, 0], [114, 1712], [0, 1712]], [[20, 1971], [92, 1964], [97, 2044], [26, 2050]]]",麻旅共我炎群群麻四主重|发,2,1.893,"[[[0, 0], [114, 0], [114, 1712], [0, 1712]], [[20, 1971], [92, 1964], [97, 2044], [26, 2050]]]",麻旅共者我群种麻四主重高,1,1.291,"[[[0, 0], [2067, 0], [2067, 114], [0, 114]]]",麻旅共击我炎群|群|举重|课|朱,5,9.637,"[[[0, 0], [228, 0], [228, 1629], [0, 1630]], [[24, 1595], [221, 1595], [221, 1814], [24, 1814]], [[0, 2695], [228, 2693], [228, 3179], [1, 3181]], [[41, 3107], [217, 3104], [222, 3364], [46, 3367]], [[51, 3386], [214, 3386], [214, 3584], [51, 3584]]]",麻旅共者我群种麻四主重高,0.227,事,0.307
M4_05,23,蓬耨如除詩罢謙議庄召虎秩衲如里魯代扶外于尼天下,建蒋数罢谦讓庄数代于天下,1,1.507,"[[[0, 0], [128, 0], [128, 2024], [0, 2024]]]",,1,1.41,"[[[0, 0], [128, 0], [128, 2024], [0, 2024]]]",建蒋数罢谦讓庄数代于天下,1,1.254,"[[[0, 0], [2024, 0], [2024, 128], [0, 128]]]",著|数|静罢|萧|庄区陆技|.|数代外午天下,7,18.701,"[[[41, 139], [246, 142], [241, 449], [36, 446]], [[0, 377], [256, 371], [256, 819], [8, 825]], [[25, 718], [256, 718], [256, 1231], [25, 1231]], [[44, 1145], [239, 1118], [256, 1373], [79, 1400]], [[0, 1522], [256, 1520], [256, 2514], [0, 2516]], [[15, 1981], [23, 1981], [23, 1993], [15, 1993]], [[0, 2388], [256, 2384], [256, 4048], [0, 4048]]]",建蒋数罢谦讓庄数代于天下,0.326,,0.251
M4_06,18,下盈曙戛除奉好主尽麻𥙷事対䏻双𡗚鬼体,下弄曙除奉主奉麻确事对结双体,1,2.602,"[[[0, 0], [118, 0], [118, 2005], [0, 2005]]]",下弄曙除奉主奉麻确事对结双体,1,2.094,"[[[0, 0], [118, 0], [118, 2005], [0, 2005]]]",下弄时弄除奉主举麻事对结双体,1,2.972,"[[[0, 0], [2009, 0], [2009, 118], [0, 118]]]",下年曙|弄除奉行主举麻事付结|双鬼|体,4,15.414,"[[[0, 0], [236, 0], [236, 680], [0, 680]], [[0, 560], [236, 561], [236, 3217], [0, 3216]], [[0, 3065], [236, 3063], [236, 3828], [0, 3830]], [[0, 3710], [227, 3692], [236, 4007], [0, 4018]]]",下弄时弄除奉主举麻事对结双体,0.335,,0.284
M4_07,22,起皇意僑几死庫其科命為應主支啾女特記堊意壬邁,皇意几拜命愿主支秋文時记至意,1,1.111,"[[[3, 6], [87, 6], [84, 1409], [0, 1409]]]",皇意几拜命愿主支秋文時记至意,1,1.582,"[[[3, 6], [87, 6], [84, 1409], [0, 1409]]]",把皇意几库科命愿主支秋文時记至意,1,1.643,"[[[6, 3], [1408, 6], [1408, 83], [6, 81]]]",皇意福几拜命愿主支文至意逼,1,11.989,"[[[0, 0], [178, 0], [178, 2826], [0, 2826]]]",皇意几拜命主文文時意,0.53,,0.315
M4_08,22,門萬㝵多件唐麻打沉固及吝罸具屯犯及濁重在旦称,门行打同寻真犯罪重旦称,1,1.71,"[[[2, 6], [83, 6], [76, 1401], [0, 1401]]]",门行打同寻真犯罪重旦称,1,1.812,"[[[2, 6], [83, 6], [76, 1401], [0, 1401]]]",门着导多行打同发真也犯罪重称,1,1.661,"[[[10, 5], [1400, 9], [1400, 86], [10, 84]]]",门着导多行打国导真犯重称,1,7.463,"[[[0, 5], [172, 5], [166, 2806], [0, 2806]]]",门着导多行唐打国哥真也犯罪重称,0.341,,0.287
M4_09,21,嗽思庵意欽埋者体㝵等茶盆古也生寺名宅而牢歌,巴庵意里举金,1,1.559,"[[[0, 8], [93, 7], [100, 1381], [20, 1382]]]",,1,1.55,"[[[0, 8], [93, 7], [100, 1381], [20, 1382]]]",旦庵意里本举金,1,1.592,"[[[8, 9], [1376, 0], [1377, 75], [9, 96]]]",庵意里等举歌|1,2,7.612,"[[[0, 0], [200, 0], [200, 2768], [25, 2768]], [[5, 527], [17, 527], [17, 545], [5, 545]]]",旦庵意里体等举先,0.396,,0.445
