sample_id,pred,score,sec
M1_0000,\{$,0.546,0.1714
M1_0001,取,0.4285,0.1353
M1_0002,朱,0.9705,0.1434
M1_0003,主,0.2583,0.0999
M1_0004,,0.0,0.0941
M1_0005,朱闲,0.1504,0.1168
M1_0006,物主,0.3385,0.1269
M1_0007,时,0.0601,0.1064
M1_0008,道,0.429,0.1162
M1_0009,浙,0.0368,0.11
M1_0010,诸,0.9731,0.1008
M1_0011,官,0.2811,0.0999
M1_0012,咖,0.9698,0.106
M1_0013,别,0.525,0.1205
M1_0014,肩,0.2033,0.0958
M1_0015,主,0.2506,0.1182
M1_0016,时,0.735,0.1029
M1_0017,修,0.9043,0.0937
M1_0018,察,0.688,0.1573
M1_0019,文改,0.2115,0.1281
M1_0020,德,0.9651,0.1169
M1_0021,学,0.1702,0.1077
M1_0022,苏,0.0883,0.1403
M1_0023,邦记,0.1959,0.1578
M1_0024,朱,0.7226,0.1453
M1_0025,寻,0.5931,0.1415
M1_0026,堂宝,0.516,0.1872
M1_0027,本,0.3145,0.1879
M1_0028,茶,0.2885,0.1082
M1_0029,限,0.5895,0.127
M1_0030,\,0.2037,0.1574
M1_0031,徐,0.6937,0.0991
M1_0032,歲,0.3358,0.0915
M1_0033,稀,0.1628,0.1128
M1_0034,寻,0.5144,0.086
M1_0035,术,0.1496,0.1027
M1_0036,不,0.2212,0.0933
M1_0037,烟酥,0.5903,0.1139
M1_0038,麻,0.944,0.1261
M1_0039,群,0.8867,0.141
M1_0040,福,0.1683,0.1907
M1_0041,至,0.1572,0.1125
M1_0042,麻,0.9915,0.0873
M1_0043,施,0.9894,0.0786
M1_0044,正,0.2024,0.0912
M1_0045,,0.0,0.0855
M1_0046,事,0.5594,0.0979
M1_0047,等,0.2302,0.1262
M1_0048,等,0.5618,0.1118
M1_0049,中,0.87,0.1307
M1_0050,苏,0.2141,0.1128
M1_0051,新,0.4385,0.1135
M1_0052,之,0.9304,0.1216
M1_0053,達,0.9327,0.1022
M1_0054,庫,0.7034,0.1163
M1_0055,空,0.96,0.1249
M1_0056,金,0.3478,0.128
M1_0057,青,0.486,0.096
M1_0058,聚,0.3821,0.092
M1_0059,最,0.9936,0.1114
M1_0060,奔,0.1022,0.1331
M1_0061,农,0.0988,0.1057
M1_0062,身,0.2342,0.1144
M1_0063,事,0.6728,0.1166
M1_0064,,0.0,0.1072
M1_0065,多,0.9059,0.1033
M1_0066,办,0.1936,0.0899
M1_0067,2,0.0968,0.0903
M1_0068,忌法,0.4585,0.105
M1_0069,,0.0,0.1389
M1_0070,元,0.2215,0.1148
M1_0071,次,0.1354,0.0998
M1_0072,真,0.2706,0.1007
M1_0073,,0.0,0.1161
M1_0074,学麻,0.5812,0.0881
M1_0075,双,0.0686,0.1083
M1_0076,$\frac{}{}$,0.6264,0.1294
M1_0077,低,0.0922,0.1016
M1_0078,每,0.7803,0.1093
M1_0079,燕,0.1467,0.1013
M1_0080,差,0.9947,0.1296
M1_0081,中内,0.6923,0.1774
M1_0082,宝,0.1821,0.0884
M1_0083,神,0.8021,0.0754
M1_0084,德德,0.7253,0.0855
M1_0085,款,0.3361,0.079
M1_0086,库,0.2005,0.0957
M1_0087,,0.0,0.0931
M1_0088,寺,0.2654,0.0897
M1_0089,董,0.1666,0.0787
M1_0090,业,0.044,0.0813
M1_0091,世,0.4104,0.1041
