sample_id,pred,score,sec,n_boxes
M1_0000,,0.0,1.3636,1
M1_0001,聚入,0.3149,1.3064,1
M1_0002,米,0.3075,1.3362,1
M1_0003,从玉,0.3825,1.0047,1
M1_0004,吃,0.1652,1.4405,1
M1_0005,事闲,0.4178,1.3627,1
M1_0006,王,0.1601,1.0483,1
M1_0007,也叫,0.5983,1.1071,1
M1_0008,道,0.7661,1.5644,1
M1_0009,李う,0.1885,1.6489,1
M1_0010,诸,0.9604,0.9018,1
M1_0011,官,0.7869,1.7071,1
M1_0012,响麻,0.3509,1.5997,1
M1_0013,I知,0.2124,1.2218,1
M1_0014,籍,0.1609,1.5276,1
M1_0015,正,0.6679,1.4352,1
M1_0016,時一,0.5724,2.0311,1
M1_0017,修,0.9497,1.2198,1
M1_0018,,0.0,1.7893,1
M1_0019,夏,0.6355,1.7465,1
M1_0020,内德,0.8918,1.3106,1
M1_0021,是,0.5497,1.4257,1
M1_0022,数,0.2553,1.701,1
M1_0023,判福,0.3228,1.4436,1
M1_0024,八蒙,0.2866,1.2652,1
M1_0025,寻,0.7396,1.263,1
M1_0026,堂也,0.2012,1.6072,1
M1_0027,庄,0.5834,1.5606,1
M1_0028,天金,0.7692,1.5048,1
M1_0029,段,0.0341,1.1676,1
M1_0030,高,0.1153,1.1283,1
M1_0031,徐,0.3857,1.7916,1
M1_0032,歲,0.851,1.6845,1
M1_0033,外瑞,0.641,1.6751,1
M1_0034,等,0.5802,1.3788,1
M1_0035,水,0.1345,1.7196,1
M1_0036,丕,0.6881,0.5629,1
M1_0037,灼麻,0.2968,1.8415,1
M1_0038,飞麻,0.7427,1.5631,1
M1_0039,群,0.9882,1.0301,1
M1_0040,性,0.5676,1.2762,1
M1_0041,为王,0.4621,1.1899,1
M1_0042,麻,0.9967,1.0567,1
M1_0043,施,0.9966,1.4927,1
M1_0044,要,0.6478,1.4658,1
M1_0045,加,0.0953,1.8731,1
M1_0046,筝,0.3397,1.8597,1
M1_0047,母,0.4452,1.8061,1
M1_0048,我奇,0.267,1.6546,1
M1_0049,中,0.8349,0.7714,1
M1_0050,文我,0.3199,1.534,1
M1_0051,)答,0.2815,1.3637,1
M1_0052,7Y,0.2709,1.2211,1
M1_0053,3達,0.1167,1.5009,1
M1_0054,庫,0.9699,1.1865,1
M1_0055,空,0.8178,1.2979,1
M1_0056,五,0.244,1.8216,1
M1_0057,毒,0.3237,1.3065,1
M1_0058,取,0.2662,1.3896,1
M1_0059,最,0.9888,1.3039,1
M1_0060,奔,0.4044,0.897,1
M1_0061,,0.0,1.0497,1
M1_0062,其,0.6903,1.1281,1
M1_0063,事,0.66,1.6407,1
M1_0064,事,0.5011,1.4957,1
M1_0065,多,0.9979,1.2442,1
M1_0066,孔云,0.3885,1.2146,1
M1_0067,公司,0.1605,1.166,1
M1_0068,忌法,0.7041,1.0094,1
M1_0069,x,0.1629,1.2515,1
M1_0070,5,0.4765,1.1168,1
M1_0071,逆,0.1272,1.4251,1
M1_0072,道,0.3364,1.6622,1
M1_0073,弘磊,0.3887,1.6301,1
M1_0074,举做,0.4752,1.5722,1
M1_0075,身,0.4049,1.247,1
M1_0076,—,0.1532,1.3859,1
M1_0077,但,0.355,1.544,1
M1_0078,每,0.8967,0.9841,1
M1_0079,苦承,0.1333,1.3325,1
M1_0080,差,0.9701,0.9218,1
M1_0081,中,0.9948,1.5379,1
M1_0082,玉,0.9949,1.3436,1
M1_0083,神,0.4758,1.6552,1
M1_0084,司德,0.6023,1.0413,1
M1_0085,欺,0.4121,1.3846,1
M1_0086,庫中,0.3415,1.0227,1
M1_0087,武稷,0.2252,1.2055,1
M1_0088,奇梅,0.6567,1.7109,1
M1_0089,華,0.5275,0.811,1
M1_0090,又卷,0.105,1.0166,1
M1_0091,刀也,0.1743,1.2752,1
M1_0092,打助,0.4766,1.3497,1
M1_0093,之,0.5642,1.1216,1
M1_0094,,0.0,1.0899,1
M1_0095,初,0.2114,0.9681,1
M1_0096,2,0.188,1.2699,1
M1_0097,四閏,0.2278,1.2999,1
M1_0098,大海,0.2823,1.3005,1
M1_0099,特,0.9999,1.8474,1
M1_0100,物役,0.4498,0.9813,1
M1_0101,白,0.4143,1.546,1
M1_0102,真,0.107,1.5406,1
M1_0103,憾,0.3877,1.6234,1
M1_0104,泥,0.318,1.3826,1
M1_0105,拉,0.1898,1.5166,1
M1_0106,,0.0,1.5641,1
M1_0107,共日,0.3228,0.951,1
