char,kDefinition
宋,Song dynasty; surname
夲,"advance quickly; to go back and forth; origin, source"
主,"master, chief owner; host; lord"
吹,"blow; puff; brag, boast"
畢,"end, finish, conclude; completed; 19th lunar mansion, determinative star ε Tauri (Ain)"
如,"if, supposing; as if; like, as"
祗,"respect, look up to, revere"
品,"article, product, commodity"
辰,early morning; fifth earthly branch; Kangxi radical 161
獅,lion
府,prefecture; prefect; government
故,"ancient, old; reason, because"
教,"teach, class"
垂,"let down; suspend, hand; down"
隻,"single, one of pair, lone; measure word"
幾,"how many? how much?; a few, some"
伐,"cut down, subjugate, attack"
朝,dynasty; morning
厶,"private, secret; Kangxi radical 28"
眾,"masses, people, multitude, crowd"
理,"reason, logic; manage"
冐,"risk, brave, dare"
族,"a family clan, ethnic group, tribe"
尺,Chinese measure approx. 'foot'
象,"elephant; ivory; figure, image"
尚,"still, yet; even; fairly, rather"
加,"add to, increase, augment"
乞,beg; request
望,"to look at, look forward; to hope, expect"
柒,number seven
碎,"break, smash; broken, busted"
女,"woman, girl; feminine; Kangxi radical 38; 10th lunar mansion, determinative star ε Aquarii (Albali)"
梁,bridge; beam; rafters; surname
魏,kingdom of Wei; surname
杜,"stop, prevent; restrict; surname"
返,"return, revert to, restore"
歹,"bad, vicious, depraved, wicked"
儿,"son, child; Kangxi radical 10"
丶,dot; Kangxi radical 3
架,"rack, stand, prop; prop up"
建,"build, establish, erect, found"
弟,"young brother; junior; I, me"
多,"much, many; more than, over"
哥,elder brother
四,four
孤,"orphan, fatherless; solitary"
字,"letter, character, word"
玄,"deep, profound, abstruse; Kangxi radical 95"
哭,"weep, cry, wail"
寧,"repose, serenity, peace; peaceful"
王,"king, ruler; royal; surname"
布,"cotton cloth, textiles, linen"
半,half
益,"profit, benefit; advantage; hexagram ䷩"
祖,"ancestor, forefather; grandfather"
冕,crown; ceremonial cap
丕,"great, grand, glorious, distinguished"
我,"our, us, i, me, my, we"
甚,great extent; considerably
李,plum; judge; surname
寿,"old age, long life; lifespan"
每,"every, each"
華,flowery; illustrious; Chinese
蚕,silkworms
祜,"blessing, happiness, prosperity"
名,"name, rank, title, position"
