path,label,unicode,split,source
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c01_000.png,二,U+4E8C,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c01_001.png,月,U+6708,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c02_005.png,日,U+65E5,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c02_006.png,翁,U+7FC1,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c02_009.png,樞,U+6A1E,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c02_010.png,曰,U+66F0,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c02_012.png,死,U+6B7B,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c02_014.png,道,U+9053,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_016.png,翁,U+7FC1,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_021.png,四,U+56DB,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_022.png,翁,U+7FC1,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_023.png,垩,U+57A9,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_028.png,四,U+56DB,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_029.png,奇,U+5947,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_030.png,徳,U+5FB3,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_031.png,主,U+4E3B,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_032.png,支,U+652F,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_033.png,秋,U+79CB,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c03_035.png,体,U+4F53,test,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_038.png,徳,U+5FB3,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_039.png,婆,U+5A46,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_042.png,亜,U+4E9C,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_043.png,羣,U+7FA3,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_044.png,於,U+65BC,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_045.png,世,U+4E16,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_046.png,間,U+9593,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_047.png,朱,U+6731,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_048.png,年,U+5E74,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_049.png,㝵,U+3775,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_051.png,垩,U+57A9,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_052.png,奇,U+5947,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_053.png,喡,U+55A1,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_054.png,曰,U+66F0,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_055.png,無,U+7121,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_056.png,城,U+57CE,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c04_058.png,卑,U+5351,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c05_059.png,塢,U+5862,train,crop
evaluation/ver_new/dataset_out/gold/yen2_page_0012_c05_062.png,意,U+610F,train,crop
