sample_id,book,page,column,tier,rule,K,syllable,label,R_size,P,P_y,P_all,G,G_op,P6c,P5c,PVL,Gf,K_inR
M1_0000,stt2,page_0252,4,GOLD,s1_inter_s2_direct,欣,hơn,欣,9,,,,,del,源,,福,,True
M1_0001,stt2,page_0308,4,GOLD,s1_inter_s2_direct,欺,khi,欺,31,欺,欺,欺,欺,eq,欺,取,欺,人,True
M1_0002,stt2,page_0132,3,GOLD,s1_inter_s2_direct,朱,cho,朱,12,朱,朱,朱,朱,eq,来,朱,朱,一,True
M1_0003,stt2,page_0072,9,GOLD,s1_inter_s2_direct,主,chúa,主,2,主,主,主,主,eq,八,主,王,主,True
M1_0004,stt2,page_0140,8,GOLD,s1_inter_s2_direct,吒,cha,吒,25,吒,吒,吒,吒,eq,而,,吨,,True
M1_0005,stt2,page_0066,9,GOLD,s1_inter_s2_direct,困,khốn,困,6,困,困,困,困,eq,事,朱,等,闲,True
M1_0006,stt2,page_0036,7,GOLD,s1_inter_s2_direct,主,chúa,主,2,衡,衡,衡,主,eq,工,物,忿,主,True
M1_0007,stt2,page_0078,3,GOLD,s1_inter_s2_direct,呐,nói,呐,14,可,可,可,呐,eq,也,时,,,True
M1_0008,stt2,page_0114,1,GOLD,s1_inter_s2_direct,衣,ấy,衣,32,道,道,道,道,sub,道,道,道,,True
M1_0009,stt2,page_0170,3,GOLD,s1_inter_s2_direct,折,giết,折,21,折,折,折,折,eq,成,浙,,峪,True
M1_0010,stt2,page_0052,3,GOLD,s1_inter_s2_direct,渚,chưa,渚,29,诸,诸,诸,诸,sub,诸,诸,诸,境,True
M1_0011,stt2,page_0166,9,GOLD,s1_inter_s2_direct,官,quan,官,80,官,官,官,,del,官,官,情,,True
M1_0012,stt2,page_0328,2,GOLD,s1_inter_s2_direct,麻,mà,麻,21,啞,啞,啞,麻,eq,迎,咖,喫,麻,True
M1_0013,stt2,page_0174,2,GOLD,s1_inter_s2_direct,别,biết,别,30,則,則,則,別,sub,别,别,别,例,True
M1_0014,stt2,page_0092,3,GOLD,s1_inter_s2_direct,眉,mày,眉,24,眉,眉,眉,拎,sub,眉,肩,眉,,True
M1_0015,stt2,page_0084,6,GOLD,s1_inter_s2_direct,㝵,người,㝵,20,正,正,正,寻,sub,正,主,正,,True
M1_0016,stt2,page_0236,3,GOLD,s1_inter_s2_direct,時,thì,時,56,時,時,時,時,eq,時,时,時,,True
M1_0017,stt2,page_0322,4,GOLD,s1_inter_s2_direct,行,hành,行,27,修,修,修,行,eq,修,修,修,答,True
M1_0018,stt2,page_0276,2,GOLD,s1_inter_s2_direct,察,xét,察,7,察,察,察,容,sub,摩,察,廢,,True
M1_0019,stt2,page_0284,6,GOLD,s1_inter_s2_direct,改,gởi,改,9,改,改,改,吏,sub,义,文,又,,True
M1_0020,stt2,page_0246,6,GOLD,s1_inter_s2_direct,德,đức,德,21,德,德,德,德,eq,德,德,由,國,True
