image,label,y,verdict,head_cos,head_prob,head_margin,head_isarg,bank_cos,mls
gold/yen11_page_0018_c05_094.png,麻,1.0,correct,0.6616628170013428,0.0011994825908914208,0.39488857984542847,1.0,0.8522138595581055,0.6616628170013428
gold/yen2_page_0016_c09_181.png,朱,1.0,correct,0.6075526475906372,0.001139646046794951,0.3293503522872925,1.0,1.0,0.6075526475906372
gold/yen11_page_0114_c07_139.png,於,1.0,correct,0.6469148993492126,0.0011808243580162525,0.37222763895988464,1.0,0.8802223205566406,0.6469148993492126
gold/yen2_page_0042_c07_143.png,耒,1.0,correct,0.611974835395813,0.0011441425886005163,0.19477495551109314,1.0,1.0,0.611974835395813
gold/yen11_page_0148_c06_112.png,沁,1.0,correct,0.5950312614440918,0.0011236927239224315,0.29065877199172974,1.0,1.0,0.5950312614440918
gold/yen4_page_0154_c02_032.png,旦,1.0,correct,0.678865909576416,0.001216694014146924,0.3150271773338318,1.0,0.6998192667961121,0.678865909576416
gold/yen11_page_0060_c01_016.png,傷,1.0,correct,0.11788614094257355,0.000704259320627898,-0.61313496530056,0.0,0.098830446600914,0.7310211062431335
gold/yen2_page_0276_c07_118.png,尼,1.0,correct,0.6676554679870605,0.0012155314907431602,0.4202615022659302,1.0,0.6802478432655334,0.6676554679870605
gold/yen2_page_0094_c05_096.png,主,1.0,correct,0.7589981555938721,0.0013200909597799182,0.5148510187864304,1.0,0.8208616375923157,0.7589981555938721
gold/yen2_page_0100_c01_009.png,恪,1.0,correct,0.7126610279083252,0.0012793391942977905,0.3798235058784485,1.0,0.7979572415351868,0.7126610279083252
gold/yen11_page_0052_c05_086.png,麻,1.0,correct,0.6546140909194946,0.0011817938648164272,0.43314729630947113,1.0,0.8974526524543762,0.6546140909194946
gold/yen4_page_0062_c05_091.png,之,1.0,correct,0.7345321774482727,0.0013097227783873677,0.3959105312824249,1.0,0.7070367932319641,0.7345321774482727
gold/yen2_page_0058_c08_161.png,末,1.0,correct,0.1843927651643753,0.0007576349889859557,-0.2577938288450241,0.0,0.23463039100170135,0.4421865940093994
gold/yen2_page_0286_c09_156.png,麻,1.0,correct,0.6931694746017456,0.0012431604554876685,0.46027033030986786,1.0,0.8396707773208618,0.6931694746017456
gold/yen2_page_0240_c04_070.png,豸,1.0,correct,0.6827876567840576,0.0012429740745574236,0.3777129650115967,1.0,1.0,0.6827876567840576
gold/yen2_page_0182_c03_055.png,連,1.0,correct,0.7222268581390381,0.0012830839259549975,0.4273906648159027,1.0,0.8445211052894592,0.7222268581390381
gold/yen2_page_0088_c02_036.png,真,1.0,correct,0.585177481174469,0.0011312721762806177,0.1831989288330078,1.0,0.7011151313781738,0.585177481174469
gold/yen11_page_0270_c02_042.png,道,1.0,correct,0.6294189691543579,0.0011630135122686625,0.3615880012512207,1.0,0.8034366965293884,0.6294189691543579
