ヌ	U+30CC
ㇶ	U+31F6
㐌	U+340C
㐭	U+342D
㑑	U+3451
㑨	U+3468
㒭	U+34AD
㓜	U+34DC
㓟	U+34DF
㓤	U+34E4
㔻	U+353B
㕚	U+355A
㕝	U+355D
㕰	U+3570
㕵	U+3575
㖇	U+3587
㖠	U+35A0
㖫	U+35AB
㗂	U+35C2
㗌	U+35CC
㗖	U+35D6
㘖	U+3616
㘬	U+362C
㘭	U+362D
㘿	U+363F
㙘	U+3658
㚤	U+36A4
㝖	U+3756
㝵	U+3775
㝶	U+3776
㝹	U+3779
㞢	U+37A2
㞼	U+37BC
㞾	U+37BE
㠱	U+3831
㡯	U+386F
㢲	U+38B2
㣉	U+38C9
㣍	U+38CD
㣼	U+38FC
㤅	U+3905
㤓	U+3913
㤝	U+391D
㤨	U+3928
㤫	U+392B
㥀	U+3940
㥁	U+3941
㦉	U+3989
㦤	U+39A4
㧅	U+39C5
㧌	U+39CC
㨋	U+3A0B
㨐	U+3A10
㩫	U+3A6B
㩺	U+3A7A
㫗	U+3AD7
㭲	U+3B72
㮔	U+3B94
㮺	U+3BBA
㱅	U+3C45
㳄	U+3CC4
㳈	U+3CC8
㳯	U+3CEF
㳹	U+3CF9
㴝	U+3D1D
㵋	U+3D4B
㵢	U+3D62
㵭	U+3D6D
㶤	U+3DA4
㼈	U+3F08
㼼	U+3F3C
㽵	U+3F75
㾞	U+3F9E
㿬	U+3FEC
䂴	U+40B4
䃼	U+40FC
䄭	U+412D
䅟	U+415F
䆟	U+419F
䇧	U+41E7
䈵	U+4235
䊍	U+428D
䊏	U+428F
䋈	U+42C8
䋥	U+42E5
䎝	U+439D
䎴	U+43B4
䏦	U+43E6
䏻	U+43FB
䐗	U+4417
䓖	U+44D6
䓧	U+44E7
䔤	U+4524
䗂	U+45C2
䘄	U+4604
䙷	U+4677
䙸	U+4678
䚂	U+4682
䛏	U+46CF
䜣	U+4723
䜹	U+4739
䝜	U+475C
䠋	U+480B
䠻	U+483B
䢐	U+4890
䣂	U+48C2
䤈	U+4908
䥚	U+495A
䥝	U+495D
䫜	U+4ADC
䬡	U+4B21
䭫	U+4B6B
䭬	U+4B6C
䭽	U+4B7D
䱽	U+4C7D
丅	U+4E05
三	U+4E09
上	U+4E0A
下	U+4E0B
丏	U+4E0F
丐	U+4E10
丕	U+4E15
世	U+4E16
丗	U+4E17
丙	U+4E19
丞	U+4E1E
丣	U+4E23
丧	U+4E27
个	U+4E2A
丫	U+4E2B
中	U+4E2D
丰	U+4E30
串	U+4E32
丷	U+4E37
丸	U+4E38
主	U+4E3B
丿	U+4E3F
乄	U+4E44
久	U+4E45
乆	U+4E46
么	U+4E48
义	U+4E49
之	U+4E4B
乏	U+4E4F
乑	U+4E51
乙	U+4E59
九	U+4E5D
也	U+4E5F
乢	U+4E62
乩	U+4E69
乿	U+4E7F
亄	U+4E84
了	U+4E86
亇	U+4E87
亊	U+4E8A
事	U+4E8B
亍	U+4E8D
互	U+4E92
亓	U+4E93
五	U+4E94
亜	U+4E9C
亞	U+4E9E
亟	U+4E9F
亥	U+4EA5
亪	U+4EAA
亼	U+4EBC
亾	U+4EBE
仉	U+4EC9
仍	U+4ECD
仓	U+4ED3
仔	U+4ED4
仕	U+4ED5
仙	U+4ED9
仟	U+4EDF
仢	U+4EE2
代	U+4EE3
以	U+4EE5
仧	U+4EE7
仮	U+4EEE
仲	U+4EF2
仳	U+4EF3
仹	U+4EF9
伂	U+4F02
伆	U+4F06
伏	U+4F0F
伦	U+4F26
伨	U+4F28
伬	U+4F2C
伸	U+4F38
伽	U+4F3D
佊	U+4F4A
低	U+4F4E
体	U+4F53
佣	U+4F63
佹	U+4F79
佼	U+4F7C
佽	U+4F7D
來	U+4F86
侍	U+4F8D
侖	U+4F96
侙	U+4F99
供	U+4F9B
依	U+4F9D
侟	U+4F9F
侮	U+4FAE
侯	U+4FAF
侼	U+4FBC
俆	U+4FC6
俕	U+4FD5
俙	U+4FD9
俲	U+4FF2
俼	U+4FFC
俽	U+4FFD
倈	U+5008
倉	U+5009
個	U+500B
倘	U+5018
候	U+5019
倚	U+501A
倡	U+5021
値	U+5024
倳	U+5033
倹	U+5039
倻	U+503B
值	U+503C
偀	U+5040
假	U+5047
偉	U+5049
偏	U+504F
偖	U+5056
偟	U+505F
偲	U+5072
偺	U+507A
傀	U+5080
傉	U+5089
傌	U+508C
傓	U+5093
傢	U+50A2
傦	U+50A6
傩	U+50A9
傭	U+50AD
僄	U+50C4
僎	U+50CE
像	U+50CF
僥	U+50E5
儀	U+5100
億	U+5104
儉	U+5109
儍	U+510D
儺	U+513A
儻	U+513B
儿	U+513F
兀	U+5140
允	U+5141
充	U+5145
先	U+5148
児	U+5150
兒	U+5152
兛	U+515B
入	U+5165
全	U+5168
八	U+516B
六	U+516D
兮	U+516E
共	U+5171
兲	U+5172
关	U+5173
其	U+5176
养	U+517B
冊	U+518A
册	U+518C
冘	U+5198
农	U+519C
冝	U+519D
冧	U+51A7
冬	U+51AC
冲	U+51B2
凃	U+51C3
凛	U+51DB
凜	U+51DC
几	U+51E0
凡	U+51E1
凢	U+51E2
凣	U+51E3
処	U+51E6
凰	U+51F0
凹	U+51F9
出	U+51FA
刀	U+5200
刅	U+5205
切	U+5207
刍	U+520D
刎	U+520E
创	U+521B
初	U+521D
刮	U+522E
刱	U+5231
刴	U+5234
刵	U+5235
券	U+5238
刺	U+523A
刾	U+523E
剀	U+5240
剃	U+5243
剏	U+524F
剒	U+5252
剔	U+5254
剖	U+5256
剙	U+5259
剚	U+525A
剫	U+526B
剴	U+5274
創	U+5275
剾	U+527E
劎	U+528E
功	U+529F
加	U+52A0
势	U+52BF
勔	U+52D4
勜	U+52DC
勢	U+52E2
勧	U+52E7
勸	U+52F8
勽	U+52FD
勿	U+52FF
匀	U+5300
匂	U+5302
匃	U+5303
匄	U+5304
包	U+5305
匕	U+5315
匙	U+5319
匞	U+531E
匠	U+5320
匾	U+533E
匿	U+533F
十	U+5341
千	U+5343
午	U+5348
半	U+534A
卋	U+534B
卍	U+534D
卑	U+5351
卒	U+5352
南	U+5357
卟	U+535F
卥	U+5365
压	U+538B
厎	U+538E
厚	U+539A
厢	U+53A2
厦	U+53A6
厶	U+53B6
参	U+53C2
又	U+53C8
叐	U+53D0
叓	U+53D3
叚	U+53DA
古	U+53E4
另	U+53E6
台	U+53F0
叱	U+53F1
叵	U+53F5
号	U+53F7
叺	U+53FA
叼	U+53FC
吀	U+5400
吁	U+5401
各	U+5404
合	U+5408
同	U+540C
后	U+540E
吏	U+540F
吓	U+5413
吔	U+5414
吗	U+5417
君	U+541B
吝	U+541D
吠	U+5420
吧	U+5427
吵	U+5435
吹	U+5439
吽	U+543D
吿	U+543F
呀	U+5440
呂	U+5442
呉	U+5449
呋	U+544B
呌	U+544C
呍	U+544D
呎	U+544E
呑	U+5451
呠	U+5460
呢	U+5462
呦	U+5466
呧	U+5467
呭	U+546D
呵	U+5475
命	U+547D
呾	U+547E
和	U+548C
咍	U+548D
咏	U+548F
咖	U+5496
咦	U+54A6
咮	U+54AE
咱	U+54B1
咸	U+54B8
咹	U+54B9
咿	U+54BF
哄	U+54C4
哇	U+54C7
哉	U+54C9
哏	U+54CF
哑	U+54D1
哙	U+54D9
哪	U+54EA
哰	U+54F0
哴	U+54F4
哿	U+54FF
唁	U+5501
唏	U+550F
唐	U+5510
唒	U+5512
唬	U+552C
唭	U+552D
唱	U+5531
唻	U+553B
啉	U+5549
啊	U+554A
啞	U+555E
啧	U+5567
啪	U+556A
啫	U+556B
啵	U+5575
啺	U+557A
喂	U+5582
喍	U+558D
喒	U+5592
喓	U+5593
喝	U+559D
喠	U+55A0
喡	U+55A1
喤	U+55A4
喨	U+55A8
喭	U+55AD
喲	U+55B2
嗄	U+55C4
嗎	U+55CE
嗔	U+55D4
嗟	U+55DF
嗡	U+55E1
嗤	U+55E4
嗦	U+55E6
嗻	U+55FB
嘉	U+5609
嘌	U+560C
嘖	U+5616
嘙	U+5619
嘛	U+561B
嘤	U+5624
噀	U+5640
噅	U+5645
噎	U+564E
噔	U+5654
噖	U+5656
噜	U+565C
噫	U+566B
噲	U+5672
噺	U+567A
嚒	U+5692
嚕	U+5695
嚜	U+569C
嚟	U+569F
嚬	U+56AC
