book,page,column,shift,run_len,nom_idx,syl_idx,ocr_char,syllable,argmax,max_prob,p_syl,tier,tier_v3,box_source,qd01_locked,n_ocr,n_qn,n_det
stt11,page_0014,8,-1,4,6,8,朱,cho,vì,0.981212,2.04942e-08,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0014,8,-1,4,7,9,各,các,cho,0.909067,4.9474e-05,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0014,8,-1,4,8,10,垩,thánh,các,0.998946,7.99673e-07,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0014,8,-1,4,9,11,享,hưởng,thánh,0.869027,,GOLD,CHAR_A,detector,0,20,22,23
stt11,page_0016,9,1,3,3,3,朱,cho,được,0.928865,0.0504724,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0016,9,1,3,4,4,特,được,phần,0.814882,0.00472226,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0016,9,1,3,5,5,分,phần,vui,0.873494,0.00342799,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0028,7,1,3,16,16,来,cầu,cho,0.923946,0.00341463,SYLLABLE,SYL,detector,0,23,23,23
stt11,page_0028,7,1,3,17,17,朱,cho,linh,0.950458,8.41582e-05,GOLD,CHAR_A,detector,0,23,23,23
stt11,page_0028,7,1,3,18,18,灵,linh,hồn,0.915246,0.00477792,GOLD,CHAR_A,detector,0,23,23,23
stt11,page_0032,9,-1,3,13,13,痘,nước,và,0.925188,4.09293e-06,REVIEW,REVIEW,detector,0,23,23,23
stt11,page_0032,9,-1,3,14,14,麻,mà,nước,0.888008,0.000399931,GOLD,CHAR_A,detector,0,23,23,23
stt11,page_0032,9,-1,3,15,15,押,ép,mà,0.81022,0.00054878,GOLD,CHAR_A,detector,0,23,23,23
stt11,page_0042,9,-1,3,8,9,時,thì,ra,0.959814,1.70978e-05,GOLD,CHAR_A,detector,0,24,26,25
stt11,page_0042,9,-1,3,9,10,与,người,thì,0.985804,0.000259225,REVIEW,REVIEW,detector,0,24,26,25
stt11,page_0042,9,-1,3,10,11,浪,răng,người,0.871683,4.5756e-05,GOLD,CHAR_A,detector,0,24,26,25
stt11,page_0044,2,1,3,15,14,悶,muốn,sống,0.802346,0.000315138,GOLD,CHAR_A,legacy_locked_col,0,24,23,21
stt11,page_0044,2,1,3,16,15,雜,sống,mà,0.826604,8.8197e-05,SYLLABLE,SYL,legacy_locked_col,0,24,23,21
stt11,page_0044,2,1,3,17,16,麻,mà,quan,0.95546,0.00104548,GOLD,CHAR_A,legacy_locked_col,0,24,23,21
stt11,page_0044,7,1,3,5,5,嘿,ra,đời,0.936265,0.0350981,SYLLABLE,SYL,detector,0,17,15,17
stt11,page_0044,7,1,3,6,6,代,đời,cho,0.803326,0.0657,GOLD,CHAR_A,detector,0,17,15,17
stt11,page_0044,7,1,3,7,7,朱,cho,đến,0.903094,0.00968944,GOLD,CHAR_A,detector,0,17,15,17
stt11,page_0058,6,1,3,2,3,崙,son,lên,0.927902,,GOLD,CHAR_A,detector,0,21,21,21
stt11,page_0058,6,1,3,3,4,遫,lên,bên,0.878413,0.00234684,REVIEW,REVIEW,detector,0,21,21,21
stt11,page_0058,6,1,3,4,5,边,bên,chân,0.954789,0.0006441,GOLD,CHAR_A,detector,0,21,21,21
stt11,page_0060,1,-1,3,8,8,人,ấy,bà,0.969914,2.90232e-06,SYLLABLE,SYL,midpoint,0,24,24,23
stt11,page_0060,1,-1,3,9,9,体,thấy,ấy,0.96749,0.000122449,GOLD,CHAR_A,midpoint,0,24,24,23
stt11,page_0060,1,-1,3,10,10,人,làm,thấy,0.850763,0.00023056,SYLLABLE,SYL,midpoint,0,24,24,23
stt11,page_0060,1,-1,5,13,13,行,đức,xin,0.815579,0.00122229,SYLLABLE,SYL,midpoint,0,24,24,23
stt11,page_0060,1,-1,5,14,14,主,chúa,đức,0.858274,0.0380243,GOLD,CHAR_A,midpoint,0,24,24,23
stt11,page_0060,1,-1,5,15,15,乔,trời,chúa,0.97095,0.00289795,SYLLABLE,SYL,midpoint,0,24,24,23
stt11,page_0060,1,-1,5,16,16,傷,thương,trời,0.899518,5.06473e-05,GOLD,CHAR_A,midpoint,0,24,24,23
stt11,page_0060,1,-1,5,17,17,尺,thiên,thương,0.911122,9.74202e-06,SYLLABLE,SYL,detector,0,24,24,23
stt11,page_0060,8,1,3,2,2,厶,làm,những,0.964189,0.0132439,GOLD,CHAR_B,detector,0,24,24,24
stt11,page_0060,8,1,3,3,3,仍,những,sự,0.940589,0.00146289,GOLD,CHAR_A,detector,0,24,24,24
stt11,page_0060,8,1,3,4,4,事,sự,lạ,0.975718,0.00144021,GOLD,CHAR_A,detector,0,24,24,24
stt11,page_0072,2,1,4,5,5,女,nửa,ngày,0.903976,0.00123187,GOLD,CHAR_A,detector,0,22,24,23
stt11,page_0072,2,1,4,6,6,䏷,ngày,cầu,0.835429,0.0346215,SYLLABLE,SYL,detector,0,22,24,23
stt11,page_0072,2,1,4,7,7,求,cầu,cho,0.955022,0.0199593,GOLD,CHAR_A,detector,0,22,24,23
stt11,page_0072,2,1,4,8,8,宋,cho,khỏi,0.941738,0.00558595,GOLD,CHAR_B,detector,0,22,24,23
stt11,page_0078,2,1,3,15,16,双,song,le,0.968464,0.00177842,GOLD,CHAR_A,legacy_locked_col,0,23,26,24
stt11,page_0078,2,1,3,16,17,离,le,kẻ,0.946203,0.00475929,GOLD,CHAR_A,legacy_locked_col,0,23,26,24
stt11,page_0078,2,1,3,17,18,几,kẻ,gian,0.971247,4.03795e-05,GOLD,CHAR_A,legacy_locked_col,0,23,26,24
stt11,page_0086,5,1,3,7,7,悶,muốn,làm,0.923213,0.000631642,GOLD,CHAR_A,midpoint,0,23,23,22
stt11,page_0086,5,1,3,8,8,曰,làm,nhà,0.895629,0.0166766,SYLLABLE,SYL,midpoint,0,23,23,22
stt11,page_0086,5,1,3,9,9,花,nhà,thờ,0.904087,0.014717,REVIEW,REVIEW,midpoint,0,23,23,22
stt11,page_0112,8,-1,4,6,6,笑,thật,đạo,0.908734,0.00121278,GOLD,CHAR_B,legacy_locked_col,0,22,22,21
stt11,page_0112,8,-1,4,7,7,因,có,thật,0.913405,1.37384e-05,SYLLABLE,SYL,legacy_locked_col,0,22,22,21
stt11,page_0112,8,-1,4,8,8,蔑,một,có,0.888876,0.00309693,GOLD,CHAR_A,legacy_locked_col,0,22,22,21
stt11,page_0112,8,-1,4,9,9,杏,lần,một,0.909455,3.6766e-05,REVIEW,REVIEW,legacy_locked_col,0,22,22,21
stt11,page_0112,8,-1,3,13,13,体,thấy,xa,0.846206,0.00129605,GOLD,CHAR_A,legacy_locked_col,0,22,22,21
stt11,page_0112,8,-1,3,14,14,兾,một,thấy,0.850867,7.90593e-05,REVIEW,REVIEW,legacy_locked_col,0,22,22,21
stt11,page_0112,8,-1,3,15,15,囿,đồng,một,0.877984,4.46961e-05,REVIEW,REVIEW,legacy_locked_col,0,22,22,21
stt11,page_0114,3,1,3,10,10,共,cùng,đức,0.974171,0.0118717,GOLD,CHAR_A,midpoint,0,20,20,22
stt11,page_0114,3,1,3,11,11,行,đức,chúa,0.83136,0.138005,SYLLABLE,SYL,midpoint,0,20,20,22
stt11,page_0114,3,1,3,12,12,主,chúa,trời,0.921806,0.00336169,GOLD,CHAR_A,midpoint,0,20,20,22
stt11,page_0126,6,-1,3,10,11,主,chúa,đức,0.825092,0.101957,GOLD,CHAR_A,legacy_locked_col,0,21,22,21
stt11,page_0126,6,-1,3,11,12,奉,trời,chúa,0.893499,0.0175453,SYLLABLE,SYL,legacy_locked_col,0,21,22,21
stt11,page_0126,6,-1,3,12,13,色,đã,trời,0.865956,0.00304892,SYLLABLE,SYL,legacy_locked_col,0,21,22,21
stt11,page_0148,7,-1,3,6,6,垩,thánh,ông,0.974171,0.00182772,GOLD,CHAR_A,detector,0,22,21,22
stt11,page_0148,7,-1,3,7,7,曰,viết,thánh,0.915582,0.000572875,GOLD,CHAR_A,detector,0,22,21,22
stt11,page_0148,7,-1,3,8,8,無,vồ,viết,0.95651,0.000904786,GOLD,SYL,detector,0,22,21,22
stt11,page_0156,6,1,4,15,15,共,cùng,đức,0.97273,0.00560782,GOLD,CHAR_A,detector,0,22,22,23
stt11,page_0156,6,1,4,16,16,行,đức,chúa,0.886275,0.0382477,SYLLABLE,SYL,detector,0,22,22,23
stt11,page_0156,6,1,4,17,17,主,chúa,trời,0.941422,0.0415175,GOLD,CHAR_A,detector,0,22,22,23
stt11,page_0156,6,1,4,18,18,乔,trời,xin,0.82318,0.00745823,SYLLABLE,SYL,detector,0,22,22,23
stt11,page_0164,8,-1,4,2,3,翁,ông,thờ,0.97991,0.000305442,GOLD,CHAR_A,detector,0,21,21,22
stt11,page_0164,8,-1,4,3,4,垩,thánh,ông,0.939126,0.00429966,GOLD,CHAR_A,detector,0,21,21,22
stt11,page_0164,8,-1,4,4,5,㐲,ấy,thánh,0.905744,5.60614e-05,SYLLABLE,SYL,detector,0,21,21,22
stt11,page_0164,8,-1,4,5,6,堪,nền,ấy,0.802248,,REVIEW,REVIEW,detector,0,21,21,22
stt11,page_0168,8,1,4,9,9,日,nhật,đức,0.920681,,GOLD,CHAR_A,detector,0,23,24,23
stt11,page_0168,8,1,4,10,10,万,đức,chúa,0.959873,0.0110225,SYLLABLE,SYL,detector,0,23,24,23
stt11,page_0168,8,1,4,11,11,主,chúa,giê,0.918268,0.000158461,GOLD,CHAR_A,detector,0,23,24,23
stt11,page_0168,8,1,4,12,12,支,giê,su,0.806766,0.021539,GOLD,CHAR_A,detector,0,23,24,23
stt11,page_0178,7,-1,4,11,11,牌,ngày,mình,0.876164,0.000649152,REVIEW,REVIEW,legacy_locked_col,0,21,21,20
stt11,page_0178,7,-1,4,12,12,畧,trước,ngày,0.961867,0.000205064,GOLD,CHAR_A,legacy_locked_col,0,21,21,20
stt11,page_0178,7,-1,4,13,13,㝵,người,trước,0.9727,0.0003757,GOLD,CHAR_A,qd01_locked,1,21,21,20
stt11,page_0178,7,-1,4,14,14,庒,chăng,người,0.979716,8.8197e-05,GOLD,CHAR_A,legacy_locked_col,0,21,21,20
stt11,page_0186,1,1,4,9,9,妃,bà,thánh,0.950283,0.0148325,SYLLABLE,SYL,detector,0,21,22,21
stt11,page_0186,1,1,4,10,10,垩,thánh,này,0.806963,0.00431649,GOLD,CHAR_A,detector,0,21,22,21
stt11,page_0186,1,1,4,11,11,尼,này,khỏi,0.971499,0.00169698,GOLD,CHAR_A,detector,0,21,22,21
stt11,page_0186,1,1,4,12,12,塊,khỏi,một,0.989882,1.68327e-05,GOLD,CHAR_A,detector,0,21,22,21
stt11,page_0192,3,1,3,10,11,厶,ấy,đức,0.900562,0.0010414,GOLD,CHAR_B,detector,0,22,22,22
stt11,page_0192,3,1,3,11,12,行,đức,chúa,0.936665,0.00383917,SYLLABLE,SYL,detector,0,22,22,22
stt11,page_0192,3,1,3,12,13,主,chúa,trời,0.987634,0.00186377,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0196,5,1,3,6,6,賞,thưởng,kẻ,0.921918,0.00154512,GOLD,CHAR_A,detector,0,18,19,20
stt11,page_0196,5,1,3,7,7,儿,kẻ,giữ,0.853885,0.00330957,GOLD,CHAR_B,detector,0,18,19,20
stt11,page_0196,5,1,3,8,8,乎,giữ,đạo,0.914576,0.000103921,GOLD,CHAR_B,detector,0,18,19,20
stt11,page_0200,9,-1,5,11,11,共,cùng,nước,0.895301,0.0034684,GOLD,CHAR_A,detector,0,21,21,21
stt11,page_0200,9,-1,5,12,12,仔,giữ,cùng,0.9181,8.53039e-06,SYLLABLE,SYL,detector,0,21,21,21
stt11,page_0200,9,-1,5,13,13,命,mình,giữ,0.829839,0.000636596,GOLD,CHAR_A,detector,0,21,21,21
stt11,page_0200,9,-1,5,14,14,正,sạch,mình,0.982516,1.89255e-05,SYLLABLE,SYL,detector,0,21,21,21
stt11,page_0200,9,-1,5,15,15,仕,sẽ,sạch,0.882281,0.00153909,GOLD,CHAR_A,detector,0,21,21,21
stt11,page_0202,2,-1,3,14,14,万,đức,phép,0.895137,0.000140938,SYLLABLE,SYL,detector,0,20,20,20
stt11,page_0202,2,-1,3,15,15,主,chúa,đức,0.801368,0.103361,GOLD,CHAR_A,detector,0,20,20,20
stt11,page_0202,2,-1,3,16,16,斥,trời,chúa,0.874561,0.0323339,SYLLABLE,SYL,detector,0,20,20,20
stt11,page_0204,7,-1,3,16,16,命,mình,một,0.914074,0.0218782,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0204,7,-1,3,17,17,固,có,mình,0.95444,0.0110657,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0204,7,-1,3,18,18,几,kẻ,có,0.977551,0.0157275,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0220,9,-1,6,16,16,主,chúa,đức,0.871364,0.00703378,GOLD,CHAR_A,detector,0,24,23,24
stt11,page_0220,9,-1,6,17,17,支,giê,chúa,0.838392,0.00402341,GOLD,CHAR_A,detector,0,24,23,24
stt11,page_0220,9,-1,6,18,18,秋,su,giê,0.928752,0.00121278,GOLD,CHAR_A,detector,0,24,23,24
stt11,page_0220,9,-1,6,19,19,時,thì,su,0.865005,2.64815e-05,GOLD,CHAR_A,detector,0,24,23,24
stt11,page_0220,9,-1,6,20,20,碎,tôi,thì,0.915246,0.013611,GOLD,CHAR_A,detector,0,24,23,24
stt11,page_0220,9,-1,6,21,21,明,mừng,tôi,0.977879,3.04161e-06,GOLD,CHAR_A,detector,0,24,23,24
stt11,page_0226,2,-1,3,6,6,离,le,song,0.971113,0.0159752,GOLD,CHAR_A,legacy_locked_col,0,22,22,22
stt11,page_0226,2,-1,3,7,7,畧,trước,le,0.90508,0.000120551,GOLD,CHAR_A,legacy_locked_col,0,22,22,22
stt11,page_0226,2,-1,3,8,8,末,mặt,trước,0.923551,0.0394618,GOLD,CHAR_A,legacy_locked_col,0,22,22,22
stt11,page_0228,9,-1,3,8,8,麻,mà,rộng,0.817073,0.00528868,GOLD,CHAR_A,detector,0,22,23,23
stt11,page_0228,9,-1,3,9,9,年,nên,mà,0.842701,0.000374236,GOLD,CHAR_A,detector,0,22,23,23
stt11,page_0228,9,-1,3,10,10,淹,sông,nên,0.827917,0.000293741,SYLLABLE,SYL,detector,0,22,23,23
stt11,page_0232,1,1,3,7,8,迆,lạ,đức,0.957415,0.000904786,REVIEW,REVIEW,detector,0,22,23,23
stt11,page_0232,1,1,3,8,9,行,đức,chúa,0.967342,0.00603986,SYLLABLE,SYL,detector,0,22,23,23
stt11,page_0232,1,1,3,9,10,主,chúa,trời,0.967224,0.00687084,GOLD,CHAR_A,detector,0,22,23,23
stt11,page_0232,5,1,3,7,7,特,được,nữa,0.981736,0.00485316,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0232,5,1,3,8,8,女,nữa,vì,0.829232,0.052483,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0232,5,1,3,9,9,爲,vì,nước,0.882389,0.0513675,GOLD,CHAR_A,detector,0,22,22,22
stt11,page_0240,1,-1,4,13,15,召,chịu,bởi,0.969455,1.05336e-05,GOLD,CHAR_A,detector,0,22,24,24
