page,status,reasons,ar,marker_in,pagenum_in,flipped,left,right,W,H
page_0010,PASS,-,0.614,0,0,0,0.0001,0.0,1691,2701
page_0012,PASS,-,0.604,0,0,0,0.0,0.0,1727,2724
page_0014,PASS,-,0.609,0,0,0,0.0,0.0,1706,2711
page_0016,PASS,-,0.598,0,0,0,0.0,0.0,1749,2738
page_0018,PASS,-,0.609,0,0,0,0.0001,0.0,1701,2707
page_0020,PASS,-,0.591,0,0,0,0.0,0.0,1696,2704
page_0022,PASS,-,0.61,0,0,0,0.0,0.0,1691,2701
page_0024,PASS,-,0.601,0,0,0,0.0,0.0,1706,2711
page_0026,PASS,-,0.599,0,0,0,0.0001,0.0,1691,2701
page_0028,PASS,-,0.619,0,0,0,0.0,0.0,1691,2701
page_0030,PASS,-,0.604,0,0,0,0.001,0.0005,1706,2711
page_0032,PASS,-,0.617,0,0,0,0.0,0.0002,1691,2701
page_0034,PASS,-,0.616,0,0,0,0.0,0.0,1696,2704
page_0036,PASS,-,0.58,0,0,0,0.0002,0.0,1749,2738
page_0040,PASS,-,0.608,0,0,0,0.0,0.0,1701,2707
page_0042,PASS,-,0.617,0,0,0,0.0,0.0006,1696,2704
page_0044,PASS,-,0.741,0,0,0,0.0,0.0,1691,2701
page_0046,PASS,-,0.616,0,0,0,0.0001,0.0014,1701,2707
page_0048,PASS,-,0.632,0,0,0,0.0,0.0011,1691,2701
page_0050,PASS,-,0.598,0,0,0,0.0,0.0007,1701,2707
page_0052,PASS,-,0.617,0,0,0,0.0,0.0004,1691,2701
page_0054,PASS,-,0.581,0,0,0,0.0001,0.0,1759,2745
page_0056,PASS,-,0.604,0,0,0,0.0,0.0001,1706,2711
page_0058,PASS,-,0.641,0,0,0,0.0024,0.0,1706,2711
page_0060,PASS,-,0.606,0,0,0,0.0,0.0002,1706,2711
page_0062,PASS,-,0.585,0,0,0,0.0012,0.0036,1696,2704
page_0064,PASS,-,0.597,0,0,0,0.0,0.0,1691,2701
page_0066,WARN,NGHI LẬT NGƯỢC 180° (kiểm & xoay tay),0.646,0,0,1,0.0001,0.0,1706,2711
page_0068,PASS,-,0.611,0,0,0,0.0,0.0057,1696,2704
page_0070,PASS,-,0.65,0,0,0,0.0,0.0,1712,2714
page_0072,PASS,-,0.627,0,0,0,0.0,0.0015,1696,2704
page_0074,PASS,-,0.642,0,0,0,0.0,0.0,1743,2735
page_0076,PASS,-,0.616,0,0,0,0.0,0.0,1691,2701
page_0078,PASS,-,0.614,0,0,0,0.0,0.0111,1696,2704
page_0080,PASS,-,0.621,0,0,0,0.0,0.0001,1625,2726
page_0086,PASS,-,0.596,0,0,0,0.0001,0.0131,1727,2724
page_0088,PASS,-,0.619,0,0,0,0.0001,0.0006,1691,2701
page_0090,PASS,-,0.611,0,0,0,0.0,0.0,1696,2704
page_0092,PASS,-,0.597,0,0,0,0.0001,0.0002,1706,2711
page_0094,PASS,-,0.6,0,0,0,0.0001,0.0,1712,2714
page_0096,PASS,-,0.606,0,0,0,0.0001,0.004,1706,2711
page_0098,PASS,-,0.588,0,0,0,0.0,0.004,1743,2735
page_0100,PASS,-,0.604,0,0,0,0.0,0.0,1712,2714
page_0102,PASS,-,0.606,0,0,0,0.0,0.0,1712,2714
page_0104,PASS,-,0.588,0,0,0,0.0,0.0,1764,2750
page_0106,PASS,-,0.579,0,0,0,0.0014,0.0,1738,2731
page_0108,PASS,-,0.621,0,0,0,0.0,0.0,1691,2701
page_0110,PASS,-,0.603,0,0,0,0.0001,0.0,1712,2714
page_0112,PASS,-,0.596,0,0,0,0.0,0.0005,1722,2721
page_0114,PASS,-,0.608,0,0,0,0.0,0.0008,1722,2721
page_0116,PASS,-,0.586,0,0,0,0.0001,0.0,1749,2738
page_0118,PASS,-,0.615,0,0,0,0.0,0.0,1722,2721
page_0120,PASS,-,0.658,0,0,0,0.0,0.0,1688,2550
page_0122,PASS,-,0.583,0,0,0,0.0,0.0012,1738,2731
page_0124,PASS,-,0.603,0,0,0,0.0,0.0,1722,2721
page_0126,PASS,-,0.617,0,0,0,0.0,0.0,1701,2707
page_0128,PASS,-,0.615,0,0,0,0.0012,0.0001,1730,2612
page_0130,PASS,-,0.584,0,0,0,0.0,0.0016,1706,2711
page_0132,PASS,-,0.582,0,0,0,0.0,0.0011,1770,2753
page_0134,PASS,-,0.596,0,0,0,0.0002,0.0,1754,2742
page_0136,PASS,-,0.568,0,0,0,0.0,0.0,1791,2767
page_0138,PASS,-,0.597,0,0,0,0.0,0.0,1722,2721
page_0140,PASS,-,0.602,0,0,0,0.0,0.0031,1691,2701
page_0142,PASS,-,0.623,0,0,0,0.0,0.0001,1704,2647
page_0144,PASS,-,0.593,0,0,0,0.0,0.0,1722,2721
page_0146,PASS,-,0.626,0,0,0,0.0,0.0,1687,2661
page_0148,PASS,-,0.602,0,0,0,0.0002,0.0,1717,2717
page_0150,PASS,-,0.685,0,0,0,0.0,0.0,1636,2542
page_0152,PASS,-,0.594,0,0,0,0.0,0.0,1733,2728
page_0154,PASS,-,0.667,0,0,0,0.0,0.0,1633,2572
page_0156,PASS,-,0.617,0,0,0,0.0,0.0001,1712,2714
page_0158,PASS,-,0.605,0,0,0,0.0,0.0,1706,2711
page_0160,PASS,-,0.6,0,0,0,0.0,0.0019,1696,2704
page_0162,PASS,-,0.575,0,0,0,0.0,0.0,1833,2798
page_0164,PASS,-,0.575,0,0,0,0.0,0.0001,1733,2728
page_0166,PASS,-,0.608,0,0,0,0.0,0.0,1696,2704
page_0168,PASS,-,0.589,0,0,0,0.0001,0.0,1749,2738
page_0170,PASS,-,0.604,0,0,0,0.0001,0.002,1701,2707
page_0172,PASS,-,0.329,0,0,0,0.0,0.0001,2480,3504
page_0174,PASS,-,0.626,0,0,0,0.0,0.0,1696,2704
page_0176,PASS,-,0.583,0,0,0,0.0,0.0001,1775,2757
page_0178,PASS,-,0.618,0,0,0,0.0,0.0001,1696,2704
page_0180,PASS,-,0.589,0,0,0,0.0,0.0001,1743,2735
page_0182,PASS,-,0.61,0,0,0,0.0,0.0003,1696,2704
page_0184,PASS,-,0.602,0,0,0,0.0,0.0006,1727,2724
page_0186,PASS,-,0.603,0,0,0,0.0,0.0,1712,2714
page_0188,PASS,-,0.597,0,0,0,0.0,0.0,1733,2728
page_0190,PASS,-,0.324,0,0,0,0.0002,0.0021,2480,3504
page_0192,PASS,-,0.607,0,0,0,0.0,0.0,1738,2731
page_0194,PASS,-,0.616,0,0,0,0.0,0.0,1706,2711
page_0196,PASS,-,0.601,0,0,0,0.0,0.0,1733,2728
page_0198,PASS,-,0.323,0,0,0,0.0001,0.0001,2480,3504
page_0200,PASS,-,0.604,0,0,0,0.0,0.0,1712,2714
page_0202,PASS,-,0.589,0,0,0,0.0019,0.0,1706,2711
page_0204,PASS,-,0.583,0,0,0,0.0001,0.0001,1749,2738
page_0206,PASS,-,0.604,0,0,0,0.0,0.0,1712,2714
page_0208,PASS,-,0.582,0,0,0,0.0,0.0,1796,2772
page_0210,PASS,-,0.559,0,0,0,0.0036,0.0,1854,2813
page_0212,PASS,-,0.629,0,0,0,0.0,0.0,1712,2714
page_0214,PASS,-,0.619,0,0,0,0.0,0.0,1701,2707
page_0216,PASS,-,0.609,0,0,0,0.0001,0.0,1727,2724
page_0218,PASS,-,0.603,0,0,0,0.0016,0.0,1691,2701
page_0220,PASS,-,0.586,0,0,0,0.0001,0.0,1722,2721
page_0222,PASS,-,0.587,0,0,0,0.0,0.0002,1701,2707
page_0224,PASS,-,0.569,0,0,0,0.0,0.0033,1738,2731
page_0226,PASS,-,0.601,0,0,0,0.0001,0.0,1701,2707
page_0228,PASS,-,0.578,0,0,0,0.0001,0.0035,1717,2717
page_0232,PASS,-,0.577,0,0,0,0.0001,0.0024,1743,2735
page_0234,PASS,-,0.599,0,0,0,0.0001,0.0,1691,2701
page_0236,PASS,-,0.578,0,0,0,0.0,0.0,1743,2735
page_0238,PASS,-,0.61,0,0,0,0.0,0.0,1701,2707
page_0240,PASS,-,0.591,0,0,0,0.0001,0.0,1733,2728
page_0242,PASS,-,0.588,0,0,0,0.0,0.0,1717,2717
page_0244,PASS,-,0.596,0,0,0,0.0,0.0002,1712,2714
page_0246,PASS,-,0.594,0,0,0,0.0014,0.0001,1701,2707
page_0248,PASS,-,0.581,0,0,0,0.0,0.003,1727,2724
page_0250,PASS,-,0.599,0,0,0,0.0001,0.0022,1691,2701
page_0252,PASS,-,0.59,0,0,0,0.0001,0.0023,1722,2721
page_0254,PASS,-,0.616,0,0,0,0.0,0.0,1696,2704
page_0256,PASS,-,0.579,0,0,0,0.0,0.0,1749,2738
page_0258,PASS,-,0.581,0,0,0,0.0015,0.0006,1717,2717
page_0260,PASS,-,0.604,0,0,0,0.0018,0.0001,1706,2711
page_0262,PASS,-,0.592,0,0,0,0.0,0.0002,1706,2711
page_0264,PASS,-,0.575,0,0,0,0.0002,0.0027,1738,2731
page_0266,PASS,-,0.569,0,0,0,0.0,0.0032,1722,2721
page_0268,PASS,-,0.589,0,0,0,0.0,0.0002,1743,2735
page_0270,PASS,-,0.617,0,0,0,0.0,0.0001,1691,2701
page_0272,PASS,-,0.585,0,0,0,0.0,0.0,1775,2757
page_0274,PASS,-,0.602,0,0,0,0.0001,0.0,1706,2711
page_0276,PASS,-,0.595,0,0,0,0.0,0.0,1727,2724
page_0278,PASS,-,0.596,0,0,0,0.0035,0.0,1701,2707
page_0280,PASS,-,0.6,0,0,0,0.0001,0.0001,1743,2735
page_0282,PASS,-,0.575,0,0,0,0.0,0.0,1706,2711
page_0284,PASS,-,0.595,0,0,0,0.0,0.0024,1717,2717
page_0286,PASS,-,0.598,0,0,0,0.0001,0.0,1706,2711
page_0288,PASS,-,0.596,0,0,0,0.0,0.0,1754,2742
page_0290,PASS,-,0.585,0,0,0,0.0,0.0024,1696,2704
page_0292,PASS,-,0.582,0,0,0,0.0001,0.0,1743,2735
page_0294,PASS,-,0.601,0,0,0,0.0,0.0002,1696,2704
page_0296,PASS,-,0.583,0,0,0,0.0,0.0,1722,2721
page_0298,PASS,-,0.618,0,0,0,0.0,0.0,1696,2704
