page,column,syllable,nom_char,unicode,matched,tier,ocr_char,bbox,crop_file
page_0012,1,Tứ,,,False,0,,,
page_0012,1,nguyệt,,,False,0,,,
page_0012,1,tháng,倘,U+5018,True,3,四,"[1159, 318, 1253, 414]",crops/page_0012/col01_char000.png
page_0012,1,tư,谞,U+8C1E,True,3,月,"[1159, 414, 1253, 511]",crops/page_0012/col01_char001.png
page_0012,1,MỒNG,𠖨,U+205A8,True,3,受,"[1159, 511, 1253, 608]",crops/page_0012/col01_char002.png
page_0012,1,MỘT,蔑,U+8511,True,1,蔑,"[1159, 608, 1253, 705]",crops/page_0012/col01_char003.png
page_0012,1,Ông,翁,U+7FC1,True,1,翁,"[1161, 843, 1265, 930]",crops/page_0012/col01_char004.png
page_0012,1,Thánh,喒,U+5592,True,3,𦤳,"[1161, 930, 1265, 1018]",crops/page_0012/col01_char005.png
page_0012,1,U,唹,U+5539,True,3,香,"[1161, 1018, 1265, 1106]",crops/page_0012/col01_char006.png
page_0012,1,cô,姑,U+59D1,True,1,姑,"[1161, 1106, 1265, 1194]",crops/page_0012/col01_char007.png
page_0012,1,viết,曰,U+66F0,True,1,曰,"[1161, 1194, 1265, 1282]",crops/page_0012/col01_char008.png
page_0012,1,vồ,模,U+6A21,True,3,無,"[1161, 1282, 1265, 1370]",crops/page_0012/col01_char009.png
page_0012,1,truyện,傳,U+50B3,True,1,傳,"[1161, 1370, 1265, 1458]",crops/page_0012/col01_char010.png
page_0012,2,Ông,翁,U+7FC1,True,1,翁,"[1016, 22, 1125, 117]",crops/page_0012/col02_char000.png
page_0012,2,Thánh,喒,U+5592,True,3,皇,"[1016, 117, 1125, 212]",crops/page_0012/col02_char001.png
page_0012,2,này,𠼱,U+20F31,True,3,己,"[1016, 212, 1125, 307]",crops/page_0012/col02_char002.png
page_0012,2,sinh,生,U+751F,True,1,生,"[1016, 307, 1125, 402]",crops/page_0012/col02_char003.png
page_0012,2,ra,威,U+5A01,True,3,宅,"[1016, 402, 1125, 497]",crops/page_0012/col02_char004.png
page_0012,2,ở,於,U+65BC,True,1,於,"[1016, 497, 1125, 592]",crops/page_0012/col02_char005.png
page_0012,2,nước,國,U+570B,True,3,磊,"[1016, 592, 1125, 687]",crops/page_0012/col02_char006.png
page_0012,2,Pha,葩,U+8469,True,1,葩,"[1016, 687, 1125, 782]",crops/page_0012/col02_char007.png
page_0012,2,lan,蘭,U+862D,True,1,蘭,"[1016, 782, 1125, 877]",crops/page_0012/col02_char008.png
page_0012,2,sa,裟,U+88DF,True,3,居,"[1016, 877, 1125, 972]",crops/page_0012/col02_char009.png
page_0012,2,nơi,尼,U+5C3C,True,1,尼,"[1016, 972, 1125, 1067]",crops/page_0012/col02_char010.png
page_0012,2,sang,禥,U+79A5,True,3,節,"[1016, 1067, 1125, 1162]",crops/page_0012/col02_char011.png
page_0012,2,trọng,重,U+91CD,True,1,重,"[1016, 1162, 1125, 1257]",crops/page_0012/col02_char012.png
page_0012,2,Khi,欺,U+6B3A,True,1,欺,"[1016, 1257, 1125, 1352]",crops/page_0012/col02_char013.png
page_0012,2,người,勜,U+52DC,True,3,身,"[1016, 1352, 1125, 1447]",crops/page_0012/col02_char014.png
page_0012,2,còn,群,U+7FA4,True,1,群,"[1016, 1447, 1125, 1542]",crops/page_0012/col02_char015.png
page_0012,2,ở,於,U+65BC,True,1,於,"[1016, 1542, 1125, 1637]",crops/page_0012/col02_char016.png
page_0012,2,trong,中,U+4E2D,True,1,中,"[1016, 1637, 1125, 1732]",crops/page_0012/col02_char017.png
page_0012,2,thai,炲,U+70B2,True,3,脫,"[1016, 1732, 1125, 1827]",crops/page_0012/col02_char018.png
page_0012,2,thì,時,U+6642,True,1,時,"[1016, 1827, 1125, 1923]",crops/page_0012/col02_char019.png
page_0012,3,mẹ,姆,U+59C6,True,3,咦,"[877, 25, 979, 115]",crops/page_0012/col03_char000.png
page_0012,3,kính,敬,U+656C,True,2,放,"[877, 115, 979, 205]",crops/page_0012/col03_char001.png
page_0012,3,con,昆,U+6606,True,1,昆,"[877, 205, 979, 296]",crops/page_0012/col03_char002.png
page_0012,3,lắm,凜,U+51DC,True,1,凜,"[877, 296, 979, 386]",crops/page_0012/col03_char003.png
page_0012,3,vì,爲,U+7232,True,1,爲,"[877, 386, 979, 476]",crops/page_0012/col03_char004.png
page_0012,3,tưởng,想,U+60F3,True,1,想,"[877, 476, 979, 567]",crops/page_0012/col03_char005.png
page_0012,3,thấy,体,U+4F53,True,1,体,"[877, 567, 979, 657]",crops/page_0012/col03_char006.png
page_0012,3,ông,翁,U+7FC1,True,1,翁,"[877, 657, 979, 748]",crops/page_0012/col03_char007.png
page_0012,3,Thánh,喒,U+5592,True,3,𦤳,"[877, 748, 979, 838]",crops/page_0012/col03_char008.png
page_0012,3,Phê,批,U+6279,True,1,批,"[877, 838, 979, 928]",crops/page_0012/col03_char009.png
page_0012,3,rô,嚕,U+5695,True,2,鲁,"[877, 928, 979, 1019]",crops/page_0012/col03_char010.png
page_0012,3,đem,󰝂,U+F0742,True,3,宠,"[877, 1019, 979, 1109]",crops/page_0012/col03_char011.png
page_0012,3,con,婫,U+5A6B,True,3,崑,"[877, 1109, 979, 1199]",crops/page_0012/col03_char012.png
page_0012,3,mình,命,U+547D,True,1,命,"[877, 1199, 979, 1290]",crops/page_0012/col03_char013.png
page_0012,3,liên,連,U+9023,True,1,連,"[877, 1290, 979, 1380]",crops/page_0012/col03_char014.png
page_0012,3,thì,時,U+6642,True,1,時,"[877, 1380, 979, 1471]",crops/page_0012/col03_char015.png
page_0012,3,mẹ,姆,U+59C6,True,3,痍,"[877, 1471, 979, 1561]",crops/page_0012/col03_char016.png
page_0012,3,mới,𠇍,U+201CD,True,3,𧹒,"[877, 1561, 979, 1651]",crops/page_0012/col03_char017.png
page_0012,3,biết,别,U+522B,True,1,别,"[877, 1651, 979, 1742]",crops/page_0012/col03_char018.png
page_0012,3,con,昆,U+6606,True,2,具,"[877, 1742, 979, 1832]",crops/page_0012/col03_char019.png
page_0012,3,ngày,𬏝,U+2C3DD,True,3,得,"[877, 1832, 979, 1923]",crops/page_0012/col03_char020.png
page_0012,4,,,,False,0,,,
page_0012,4,sau,𢖖,U+22596,True,3,特,"[735, 105, 849, 188]",crops/page_0012/col04_char000.png
page_0012,4,được,𠊚,U+2029A,True,3,聀,"[735, 188, 849, 271]",crops/page_0012/col04_char001.png
page_0012,4,chức,𥿗,U+25FD7,True,3,該,"[735, 271, 849, 353]",crops/page_0012/col04_char002.png
page_0012,4,coi,𫀢,U+2B022,True,3,荅,"[735, 353, 849, 436]",crops/page_0012/col04_char003.png
page_0012,4,bổn,本,U+672C,True,1,本,"[735, 436, 849, 519]",crops/page_0012/col04_char004.png
page_0012,4,đạo,道,U+9053,True,1,道,"[735, 519, 849, 602]",crops/page_0012/col04_char005.png
page_0012,4,và,頗,U+9817,True,3,寗,"[735, 602, 849, 684]",crops/page_0012/col04_char006.png
page_0012,4,đẹp,葉,U+8449,True,1,葉,"[735, 684, 849, 767]",crops/page_0012/col04_char007.png
page_0012,4,lòng,弄,U+5F04,True,1,弄,"[735, 767, 849, 850]",crops/page_0012/col04_char008.png
page_0012,4,Đức,徳,U+5FB3,True,1,徳,"[735, 850, 849, 933]",crops/page_0012/col04_char009.png
page_0012,4,Chúa,主,U+4E3B,True,1,主,"[735, 933, 849, 1015]",crops/page_0012/col04_char010.png
page_0012,4,Trời,𢚸,U+226B8,True,3,爾,"[735, 1015, 849, 1098]",crops/page_0012/col04_char011.png
page_0012,4,Vậy,丕,U+4E15,True,3,玉,"[735, 1098, 849, 1181]",crops/page_0012/col04_char012.png
page_0012,4,mẹ,姆,U+59C6,True,3,護,"[735, 1181, 849, 1264]",crops/page_0012/col04_char013.png
page_0012,4,nuôi,餒,U+9912,True,1,餒,"[735, 1264, 849, 1346]",crops/page_0012/col04_char014.png
page_0012,4,con,晜,U+665C,True,2,冕,"[735, 1346, 849, 1429]",crops/page_0012/col04_char015.png
page_0012,4,như,茄,U+8304,True,2,加,"[735, 1429, 849, 1512]",crops/page_0012/col04_char016.png
page_0012,4,của,𫔳,U+2B533,True,3,方,"[735, 1512, 849, 1595]",crops/page_0012/col04_char017.png
page_0012,4,về,𧗱,U+275F1,True,2,街,"[735, 1595, 849, 1677]",crops/page_0012/col04_char018.png
page_0012,4,trời,󱞿,U+F17BF,True,3,爾,"[735, 1677, 849, 1760]",crops/page_0012/col04_char019.png
page_0012,4,chẳng,丕,U+4E15,True,3,生,"[735, 1760, 849, 1843]",crops/page_0012/col04_char020.png
page_0012,4,phải,伂,U+4F02,True,2,布,"[735, 1843, 849, 1926]",crops/page_0012/col04_char021.png
page_0012,5,như,如,U+5982,True,1,如,"[602, 26, 694, 105]",crops/page_0012/col05_char000.png
page_0012,5,về,𧗱,U+275F1,True,2,街,"[602, 105, 694, 184]",crops/page_0012/col05_char001.png
page_0012,5,thế,世,U+4E16,True,1,世,"[602, 184, 694, 263]",crops/page_0012/col05_char002.png
page_0012,5,gian,間,U+9593,True,1,間,"[602, 263, 694, 342]",crops/page_0012/col05_char003.png
page_0012,5,mà,麻,U+9EBB,True,1,麻,"[602, 342, 694, 421]",crops/page_0012/col05_char004.png
page_0012,5,con,婫,U+5A6B,True,3,寬,"[602, 421, 694, 500]",crops/page_0012/col05_char005.png
page_0012,5,giữ,𪧚,U+2A9DA,True,3,仔,"[602, 500, 694, 579]",crops/page_0012/col05_char006.png
page_0012,5,nết,𣵀,U+23D40,True,1,𣵀,"[602, 579, 694, 658]",crops/page_0012/col05_char007.png
page_0012,5,lắm,凜,U+51DC,True,1,凜,"[602, 658, 694, 737]",crops/page_0012/col05_char008.png
page_0012,5,cho,朱,U+6731,True,1,朱,"[602, 737, 694, 816]",crops/page_0012/col05_char009.png
page_0012,5,nên,年,U+5E74,True,1,年,"[602, 816, 694, 895]",crops/page_0012/col05_char010.png
page_0012,5,ngày,𬏝,U+2C3DD,True,3,呌,"[602, 895, 694, 975]",crops/page_0012/col05_char011.png
page_0012,5,sau,𫏻,U+2B3FB,True,3,肆,"[602, 975, 694, 1054]",crops/page_0012/col05_char012.png
page_0012,5,được,特,U+7279,True,1,特,"[602, 1054, 694, 1133]",crops/page_0012/col05_char013.png
page_0012,5,làm,𣩂,U+23A42,True,3,而,"[602, 1133, 694, 1212]",crops/page_0012/col05_char014.png
page_0012,5,viết,曰,U+66F0,True,1,曰,"[602, 1212, 694, 1291]",crops/page_0012/col05_char015.png
page_0012,5,vồ,摹,U+6479,True,3,無,"[602, 1291, 694, 1370]",crops/page_0012/col05_char016.png
page_0012,5,thành,城,U+57CE,True,1,城,"[602, 1370, 694, 1449]",crops/page_0012/col05_char017.png
page_0012,5,Ga,,,False,0,,,
page_0012,5,ra,群,U+7FA4,True,3,𭸟,"[602, 1449, 694, 1528]",crops/page_0012/col05_char018.png
page_0012,5,nô,驽,U+9A7D,True,3,䍐,"[602, 1528, 694, 1607]",crops/page_0012/col05_char019.png
page_0012,5,bi,悲,U+60B2,True,3,叔,"[602, 1607, 694, 1686]",crops/page_0012/col05_char020.png
page_0012,5,Grenoble,,,False,0,悲,"[602, 1686, 694, 1765]",crops/page_0012/col05_char021.png
page_0012,5,khi,欹,U+6B39,True,3,歌,"[602, 1765, 694, 1844]",crops/page_0012/col05_char022.png
page_0012,5,trước,畧,U+7567,True,1,畧,"[602, 1844, 694, 1924]",crops/page_0012/col05_char023.png
page_0012,6,người,㝵,U+3775,True,1,㝵,"[464, 21, 562, 103]",crops/page_0012/col06_char000.png
page_0012,6,chẳng,庄,U+5E84,True,1,庄,"[464, 103, 562, 186]",crops/page_0012/col06_char001.png
page_0012,6,chịu,召,U+53EC,True,1,召,"[464, 186, 562, 269]",crops/page_0012/col06_char002.png
page_0012,6,chức,聀,U+8040,True,1,聀,"[464, 269, 562, 351]",crops/page_0012/col06_char003.png
page_0012,6,ấy,意,U+610F,True,1,意,"[464, 351, 562, 434]",crops/page_0012/col06_char004.png
page_0012,6,mà,傌,U+508C,True,3,屛,"[464, 434, 562, 517]",crops/page_0012/col06_char005.png
page_0012,6,đức,徳,U+5FB3,True,1,徳,"[464, 517, 562, 600]",crops/page_0012/col06_char006.png
page_0012,6,thánh,喒,U+5592,True,3,望,"[464, 600, 562, 682]",crops/page_0012/col06_char007.png
page_0012,6,Pha,㓟,U+34DF,True,3,配,"[464, 682, 562, 765]",crops/page_0012/col06_char008.png
page_0012,6,pha,𤇨,U+241E8,True,3,之,"[464, 765, 562, 848]",crops/page_0012/col06_char009.png
page_0012,6,là,羅,U+7F85,True,1,羅,"[464, 848, 562, 931]",crops/page_0012/col06_char010.png
page_0012,6,Ghê,𥡞,U+2585E,True,3,𮃛,"[464, 931, 562, 1013]",crops/page_0012/col06_char011.png
page_0012,6,rê,黧,U+9EE7,True,3,移,"[464, 1013, 562, 1096]",crops/page_0012/col06_char012.png
page_0012,6,gô,𦁿,U+2607F,True,3,姑,"[464, 1096, 562, 1179]",crops/page_0012/col06_char013.png
page_0012,6,ri,鴺,U+9D3A,True,3,移,"[464, 1179, 562, 1262]",crops/page_0012/col06_char014.png
page_0012,6,ô,於,U+65BC,True,3,刍,"[464, 1262, 562, 1344]",crops/page_0012/col06_char015.png
page_0012,6,thứ,次,U+6B21,True,1,次,"[464, 1344, 562, 1427]",crops/page_0012/col06_char016.png
page_0012,6,bảy,罢,U+7F62,True,1,罢,"[464, 1427, 562, 1510]",crops/page_0012/col06_char017.png
page_0012,6,ép,押,U+62BC,True,1,押,"[464, 1510, 562, 1593]",crops/page_0012/col06_char018.png
page_0012,6,người,㝵,U+3775,True,1,㝵,"[464, 1593, 562, 1675]",crops/page_0012/col06_char019.png
page_0012,6,chịu,𠹾,U+20E7E,True,3,𠯁,"[464, 1675, 562, 1758]",crops/page_0012/col06_char020.png
page_0012,6,chẳng,庄,U+5E84,True,1,庄,"[464, 1758, 562, 1841]",crops/page_0012/col06_char021.png
page_0012,6,khỏi,塊,U+584A,True,1,塊,"[464, 1841, 562, 1924]",crops/page_0012/col06_char022.png
page_0012,7,hai,咍,U+548D,True,2,冶,"[332, 25, 419, 107]",crops/page_0012/col07_char000.png
page_0012,7,năm,南,U+5357,True,1,南,"[332, 107, 419, 189]",crops/page_0012/col07_char001.png
page_0012,7,người,𠊚,U+2029A,True,3,子,"[332, 189, 419, 271]",crops/page_0012/col07_char002.png
page_0012,7,toan,筭,U+7B6D,True,3,弄,"[332, 271, 419, 354]",crops/page_0012/col07_char003.png
page_0012,7,từ,辞,U+8F9E,True,1,辞,"[332, 354, 419, 436]",crops/page_0012/col07_char004.png
page_0012,7,chức,聀,U+8040,True,1,聀,"[332, 436, 419, 518]",crops/page_0012/col07_char005.png
page_0012,7,ấy,意,U+610F,True,1,意,"[332, 518, 419, 601]",crops/page_0012/col07_char006.png
page_0012,7,nhiều,饒,U+9952,True,1,饒,"[332, 601, 419, 683]",crops/page_0012/col07_char007.png
page_0012,7,lần,吝,U+541D,True,1,吝,"[332, 683, 419, 765]",crops/page_0012/col07_char008.png
page_0012,7,Song,窓,U+7A93,True,3,政,"[332, 765, 419, 848]",crops/page_0012/col07_char009.png
page_0012,7,le,魑,U+9B51,True,3,肃,"[332, 848, 419, 930]",crops/page_0012/col07_char010.png
page_0012,7,các,各,U+5404,True,1,各,"[332, 930, 419, 1012]",crops/page_0012/col07_char011.png
page_0012,7,Pha,𤇨,U+241E8,True,3,配,"[332, 1012, 419, 1094]",crops/page_0012/col07_char012.png
page_0012,7,pha,颇,U+9887,True,3,之,"[332, 1094, 419, 1177]",crops/page_0012/col07_char013.png
page_0012,7,sau,𫏻,U+2B3FB,True,3,委,"[332, 1177, 419, 1259]",crops/page_0012/col07_char014.png
page_0012,7,chẳng,庄,U+5E84,True,1,庄,"[332, 1259, 419, 1341]",crops/page_0012/col07_char015.png
page_0012,7,nghe,宜,U+5B9C,True,2,直,"[332, 1341, 419, 1424]",crops/page_0012/col07_char016.png
page_0012,7,một,沒,U+6C92,True,1,沒,"[332, 1424, 419, 1506]",crops/page_0012/col07_char017.png
page_0012,7,khuyên,勧,U+52E7,True,1,勧,"[332, 1506, 419, 1588]",crops/page_0012/col07_char018.png
page_0012,7,chịu,召,U+53EC,True,1,召,"[332, 1588, 419, 1671]",crops/page_0012/col07_char019.png
page_0012,7,vậy,丕,U+4E15,True,1,丕,"[332, 1671, 419, 1753]",crops/page_0012/col07_char020.png
page_0012,7,và,頗,U+9817,True,3,壹,"[332, 1753, 419, 1835]",crops/page_0012/col07_char021.png
page_0012,7,gánh,󱬀,U+F1B00,True,3,掩,"[332, 1835, 419, 1918]",crops/page_0012/col07_char022.png
page_0012,8,của,𫔳,U+2B533,True,3,左,"[187, 28, 269, 112]",crops/page_0012/col08_char000.png
