page,W,H,x0,y0,x1,y1,frame_w,frame_h,area_ratio,flag
page_0010,1691,2701,238,407,1585,2490,1347,2083,0.614,
page_0012,1727,2724,253,454,1618,2535,1365,2081,0.604,
page_0014,1706,2711,231,428,1585,2507,1354,2079,0.609,
page_0016,1749,2738,257,440,1620,2541,1363,2101,0.598,
page_0018,1701,2707,256,419,1591,2518,1335,2099,0.609,
page_0020,1696,2704,260,453,1577,2510,1317,2057,0.591,
page_0022,1691,2701,226,439,1575,2503,1349,2064,0.61,
page_0024,1706,2711,253,416,1580,2512,1327,2096,0.601,
page_0026,1691,2701,252,423,1569,2500,1317,2077,0.599,
page_0028,1691,2701,261,406,1607,2505,1346,2099,0.619,
page_0030,1706,2711,252,424,1595,2505,1343,2081,0.604,
page_0032,1691,2701,242,391,1577,2503,1335,2112,0.617,
page_0034,1696,2704,241,427,1596,2512,1355,2085,0.616,
page_0036,1749,2738,309,425,1631,2526,1322,2101,0.58,
page_0040,1701,2707,236,440,1592,2506,1356,2066,0.608,
page_0042,1696,2704,242,420,1587,2523,1345,2103,0.617,
page_0044,1691,2701,8,401,1626,2492,1618,2091,0.741,
page_0046,1701,2707,236,413,1586,2513,1350,2100,0.616,
page_0048,1691,2701,210,384,1580,2491,1370,2107,0.632,
page_0050,1701,2707,264,429,1586,2511,1322,2082,0.598,
page_0052,1691,2701,239,406,1576,2513,1337,2107,0.617,
page_0054,1759,2745,255,454,1624,2502,1369,2048,0.581,
page_0056,1706,2711,263,440,1609,2517,1346,2077,0.604,
page_0058,1706,2711,277,450,1706,2526,1429,2076,0.641,
page_0060,1706,2711,264,423,1605,2514,1341,2091,0.606,
page_0062,1696,2704,261,446,1574,2490,1313,2044,0.585,
page_0064,1691,2701,324,432,1651,2488,1327,2056,0.597,
page_0066,1706,2711,242,456,1690,2519,1448,2063,0.646,
page_0068,1696,2704,219,424,1568,2502,1349,2078,0.611,
page_0070,1712,2714,255,451,1712,2525,1457,2074,0.65,
page_0072,1696,2704,242,413,1619,2502,1377,2089,0.627,
page_0074,1743,2735,284,427,1743,2525,1459,2098,0.642,
page_0076,1691,2701,303,400,1646,2494,1343,2094,0.616,
page_0078,1696,2704,240,418,1589,2507,1349,2089,0.614,
page_0080,1625,2726,272,422,1581,2525,1309,2103,0.621,
page_0086,1727,2724,257,456,1609,2530,1352,2074,0.596,
page_0088,1691,2701,262,416,1604,2524,1342,2108,0.619,
page_0090,1696,2704,234,441,1585,2514,1351,2073,0.611,
page_0092,1706,2711,258,415,1590,2487,1332,2072,0.597,
page_0094,1712,2714,263,431,1595,2525,1332,2094,0.6,
page_0096,1706,2711,266,389,1586,2513,1320,2124,0.606,
page_0098,1743,2735,272,446,1618,2528,1346,2082,0.588,
page_0100,1712,2714,284,398,1604,2524,1320,2126,0.604,
page_0102,1712,2714,251,429,1602,2512,1351,2083,0.606,
page_0104,1764,2750,274,434,1641,2520,1367,2086,0.588,
page_0106,1738,2731,286,469,1601,2560,1315,2091,0.579,
page_0108,1691,2701,244,414,1605,2499,1361,2085,0.621,
page_0110,1712,2714,237,452,1595,2516,1358,2064,0.603,
page_0112,1722,2721,249,420,1582,2516,1333,2096,0.596,
page_0114,1722,2721,248,434,1617,2516,1369,2082,0.608,
page_0116,1749,2738,293,425,1640,2510,1347,2085,0.586,
page_0118,1722,2721,256,430,1631,2525,1375,2095,0.615,
page_0120,1688,2550,232,328,1587,2418,1355,2090,0.658,
page_0122,1738,2731,275,456,1613,2524,1338,2068,0.583,
page_0124,1722,2721,263,429,1606,2532,1343,2103,0.603,
page_0126,1701,2707,244,408,1602,2501,1358,2093,0.617,
page_0128,1730,2612,260,362,1586,2459,1326,2097,0.615,
page_0130,1706,2711,249,460,1566,2512,1317,2052,0.584,
page_0132,1770,2753,281,428,1623,2540,1342,2112,0.582,
page_0134,1754,2742,250,414,1619,2507,1369,2093,0.596,
page_0136,1791,2767,279,466,1640,2536,1361,2070,0.568,
page_0138,1722,2721,246,450,1606,2506,1360,2056,0.597,
page_0140,1691,2701,256,417,1572,2507,1316,2090,0.602,
page_0142,1704,2647,239,394,1586,2479,1347,2085,0.623,
page_0144,1722,2721,259,413,1586,2507,1327,2094,0.593,
page_0146,1687,2661,232,363,1590,2433,1358,2070,0.626,
page_0148,1717,2717,261,421,1597,2524,1336,2103,0.602,
page_0150,1636,2542,203,332,1554,2442,1351,2110,0.685,
page_0152,1733,2728,271,433,1607,2534,1336,2101,0.594,
page_0154,1633,2572,187,362,1542,2429,1355,2067,0.667,
page_0156,1712,2714,250,407,1609,2517,1359,2110,0.617,
page_0158,1706,2711,259,430,1603,2512,1344,2082,0.605,
page_0160,1696,2704,259,435,1581,2518,1322,2083,0.6,
page_0162,1833,2798,276,450,1678,2554,1402,2104,0.575,
page_0164,1733,2728,279,445,1602,2500,1323,2055,0.575,
page_0166,1696,2704,246,426,1593,2495,1347,2069,0.608,
page_0168,1749,2738,270,423,1614,2520,1344,2097,0.589,
page_0170,1701,2707,250,406,1571,2510,1321,2104,0.604,
page_0172,2480,3504,808,403,2166,2507,1358,2104,0.329,TOO_SMALL
page_0174,1696,2704,236,409,1602,2510,1366,2101,0.626,
page_0176,1775,2757,282,433,1647,2524,1365,2091,0.583,
page_0178,1696,2704,233,431,1590,2518,1357,2087,0.618,
page_0180,1743,2735,279,424,1614,2529,1335,2105,0.589,
page_0182,1696,2704,246,410,1580,2506,1334,2096,0.61,
page_0184,1727,2724,262,397,1599,2515,1337,2118,0.602,
page_0186,1712,2714,264,426,1600,2522,1336,2096,0.603,
page_0188,1733,2728,258,428,1609,2518,1351,2090,0.597,
page_0190,2480,3504,758,413,2110,2493,1352,2080,0.324,TOO_SMALL
page_0192,1738,2731,257,398,1617,2515,1360,2117,0.607,
page_0194,1706,2711,244,417,1605,2510,1361,2093,0.616,
page_0196,1733,2728,270,403,1606,2530,1336,2127,0.601,
page_0198,2480,3504,740,413,2092,2492,1352,2079,0.323,TOO_SMALL
page_0200,1712,2714,248,423,1590,2514,1342,2091,0.604,
page_0202,1706,2711,291,429,1600,2511,1309,2082,0.589,
page_0204,1749,2738,291,417,1612,2530,1321,2113,0.583,
page_0206,1712,2714,258,413,1604,2499,1346,2086,0.604,
page_0208,1796,2772,279,440,1653,2547,1374,2107,0.582,
page_0210,1854,2813,342,449,1710,2579,1368,2130,0.559,
page_0212,1712,2714,227,408,1613,2517,1386,2109,0.629,
page_0214,1701,2707,247,408,1598,2517,1351,2109,0.619,
page_0216,1727,2724,265,428,1639,2512,1374,2084,0.609,
page_0218,1691,2701,260,414,1581,2498,1321,2084,0.603,
page_0220,1722,2721,268,426,1602,2486,1334,2060,0.586,
page_0222,1701,2707,289,444,1606,2497,1317,2053,0.587,
