ヌ	U+30CC
ㇶ	U+31F6
㐌	U+340C
㐭	U+342D
㐰	U+3430
㐻	U+343B
㑏	U+344F
㑑	U+3451
㑞	U+345E
㒭	U+34AD
㒶	U+34B6
㒷	U+34B7
㓇	U+34C7
㓚	U+34DA
㓛	U+34DB
㓜	U+34DC
㔻	U+353B
㕓	U+3553
㕚	U+355A
㕝	U+355D
㕟	U+355F
㕠	U+3560
㕮	U+356E
㕯	U+356F
㕸	U+3578
㖁	U+3581
㖂	U+3582
㖇	U+3587
㖠	U+35A0
㖫	U+35AB
㗂	U+35C2
㗇	U+35C7
㗉	U+35C9
㗌	U+35CC
㗚	U+35DA
㗱	U+35F1
㘋	U+360B
㘙	U+3619
㘭	U+362D
㙁	U+3641
㙻	U+367B
㚁	U+3681
㚤	U+36A4
㚺	U+36BA
㛪	U+36EA
㜕	U+3715
㜥	U+3725
㝖	U+3756
㝙	U+3759
㝵	U+3775
㝶	U+3776
㞌	U+378C
㞢	U+37A2
㞾	U+37BE
㠘	U+3818
㡴	U+3874
㢅	U+3885
㢆	U+3886
㣉	U+38C9
㣍	U+38CD
㤒	U+3912
㤓	U+3913
㤨	U+3928
㤩	U+3929
㤫	U+392B
㥀	U+3940
㥁	U+3941
㥃	U+3943
㥈	U+3948
㥲	U+3972
㦉	U+3989
㦖	U+3996
㦤	U+39A4
㦸	U+39B8
㧅	U+39C5
㧐	U+39D0
㧧	U+39E7
㧾	U+39FE
㨋	U+3A0B
㨔	U+3A14
㨱	U+3A31
㨳	U+3A33
㩡	U+3A61
㩤	U+3A64
㩧	U+3A67
㩫	U+3A6B
㪛	U+3A9B
㫁	U+3AC1
㫜	U+3ADC
㫧	U+3AE7
㮲	U+3BB2
㮺	U+3BBA
㯍	U+3BCD
㯲	U+3BF2
㯷	U+3BF7
㰁	U+3C01
㰃	U+3C03
㱅	U+3C45
㱼	U+3C7C
㱽	U+3C7D
㳃	U+3CC3
㳈	U+3CC8
㴝	U+3D1D
㵋	U+3D4B
㵭	U+3D6D
㶥	U+3DA5
㷉	U+3DC9
㸃	U+3E03
㹟	U+3E5F
㺞	U+3E9E
㺯	U+3EAF
㼈	U+3F08
㼼	U+3F3C
㾯	U+3FAF
㿡	U+3FE1
䀄	U+4004
䀆	U+4006
䀡	U+4021
䃼	U+40FC
䄭	U+412D
䅻	U+417B
䆟	U+419F
䈎	U+420E
䈚	U+421A
䈵	U+4235
䊍	U+428D
䋈	U+42C8
䋘	U+42D8
䋠	U+42E0
䎴	U+43B4
䏈	U+43C8
䏙	U+43D9
䏦	U+43E6
䐗	U+4417
䒂	U+4482
䓖	U+44D6
䓦	U+44E6
䔍	U+450D
䗂	U+45C2
䗦	U+45E6
䗬	U+45EC
䘚	U+461A
䘹	U+4639
䙷	U+4677
䙸	U+4678
䚱	U+46B1
䛏	U+46CF
䜣	U+4723
䝨	U+4768
䟽	U+47FD
䠋	U+480B
䠻	U+483B
䣑	U+48D1
䤟	U+491F
䥚	U+495A
䥝	U+495D
䦥	U+49A5
䦹	U+49B9
䧹	U+49F9
䪲	U+4AB2
䫜	U+4ADC
䭫	U+4B6B
䭬	U+4B6C
䱚	U+4C5A
䱛	U+4C5B
䲨	U+4CA8
䲲	U+4CB2
一	U+4E00
三	U+4E09
下	U+4E0B
丌	U+4E0C
与	U+4E0E
且	U+4E14
丕	U+4E15
世	U+4E16
丗	U+4E17
丝	U+4E1D
丟	U+4E1F
丢	U+4E22
丧	U+4E27
个	U+4E2A
丫	U+4E2B
中	U+4E2D
主	U+4E3B
乁	U+4E41
乄	U+4E44
么	U+4E48
之	U+4E4B
乌	U+4E4C
乍	U+4E4D
乎	U+4E4E
乏	U+4E4F
乑	U+4E51
乒	U+4E52
乓	U+4E53
乙	U+4E59
九	U+4E5D
也	U+4E5F
书	U+4E66
乩	U+4E69
亀	U+4E80
亄	U+4E84
了	U+4E86
予	U+4E88
亊	U+4E8A
事	U+4E8B
于	U+4E8E
亐	U+4E90
互	U+4E92
些	U+4E9B
亜	U+4E9C
亞	U+4E9E
亡	U+4EA1
亢	U+4EA2
亦	U+4EA6
亭	U+4EAD
亲	U+4EB2
亶	U+4EB6
什	U+4EC0
仅	U+4EC5
仆	U+4EC6
仉	U+4EC9
今	U+4ECA
仍	U+4ECD
仑	U+4ED1
仒	U+4ED2
仔	U+4ED4
仕	U+4ED5
仗	U+4ED7
仚	U+4EDA
仜	U+4EDC
代	U+4EE3
令	U+4EE4
以	U+4EE5
仦	U+4EE6
仨	U+4EE8
仲	U+4EF2
仳	U+4EF3
仵	U+4EF5
件	U+4EF6
仼	U+4EFC
企	U+4F01
伂	U+4F02
伎	U+4F0E
伏	U+4F0F
伔	U+4F14
伕	U+4F15
伖	U+4F16
众	U+4F17
伤	U+4F24
伨	U+4F28
伩	U+4F29
伮	U+4F2E
伶	U+4F36
伷	U+4F37
伺	U+4F3A
伽	U+4F3D
伾	U+4F3E
但	U+4F46
佇	U+4F47
佊	U+4F4A
位	U+4F4D
低	U+4F4E
住	U+4F4F
佐	U+4F50
体	U+4F53
佘	U+4F58
佛	U+4F5B
佟	U+4F5F
佹	U+4F79
佼	U+4F7C
使	U+4F7F
侀	U+4F80
侅	U+4F85
來	U+4F86
例	U+4F8B
侒	U+4F92
供	U+4F9B
依	U+4F9D
侞	U+4F9E
侟	U+4F9F
侬	U+4FAC
侭	U+4FAD
侮	U+4FAE
侱	U+4FB1
侴	U+4FB4
侼	U+4FBC
促	U+4FC3
俐	U+4FD0
俓	U+4FD3
俞	U+4FDE
俠	U+4FE0
信	U+4FE1
俣	U+4FE3
俧	U+4FE7
俫	U+4FEB
俰	U+4FF0
俺	U+4FFA
俼	U+4FFC
俽	U+4FFD
俾	U+4FFE
倅	U+5005
倈	U+5008
個	U+500B
倎	U+500E
倗	U+5017
倘	U+5018
倚	U+501A
倛	U+501B
倞	U+501E
倢	U+5022
倿	U+503F
偀	U+5040
偕	U+5055
偨	U+5068
偲	U+5072
偵	U+5075
偺	U+507A
傀	U+5080
傉	U+5089
傌	U+508C
傏	U+508F
傞	U+509E
傩	U+50A9
傪	U+50AA
傮	U+50AE
僄	U+50C4
僕	U+50D5
僚	U+50DA
僛	U+50DB
僥	U+50E5
儀	U+5100
億	U+5104
儋	U+510B
儕	U+5115
儗	U+5117
儘	U+5118
儩	U+5129
儺	U+513A
儻	U+513B
儿	U+513F
兀	U+5140
充	U+5145
免	U+514D
兑	U+5151
兒	U+5152
兙	U+5159
党	U+515A
兜	U+515C
兠	U+5160
入	U+5165
內	U+5167
公	U+516C
六	U+516D
兮	U+516E
共	U+5171
兴	U+5174
兵	U+5175
其	U+5176
典	U+5178
兽	U+517D
冃	U+5183
内	U+5185
冘	U+5198
写	U+5199
军	U+519B
农	U+519C
冝	U+519D
冤	U+51A4
冥	U+51A5
冮	U+51AE
冯	U+51AF
冲	U+51B2
决	U+51B3
冷	U+51B7
凃	U+51C3
凅	U+51C5
凘	U+51D8
凛	U+51DB
凜	U+51DC
几	U+51E0
凡	U+51E1
凢	U+51E2
凣	U+51E3
凨	U+51E8
凭	U+51ED
凴	U+51F4
凷	U+51F7
凹	U+51F9
出	U+51FA
刀	U+5200
刅	U+5205
分	U+5206
刎	U+520E
创	U+521B
初	U+521D
刢	U+5222
別	U+5225
利	U+5229
刱	U+5231
剎	U+524E
剏	U+524F
剗	U+5257
剙	U+5259
剚	U+525A
創	U+5275
剺	U+527A
剾	U+527E
劘	U+5298
功	U+529F
加	U+52A0
劤	U+52A4
劥	U+52A5
努	U+52AA
劭	U+52AD
劯	U+52AF
劲	U+52B2
劺	U+52BA
勁	U+52C1
勃	U+52C3
勑	U+52D1
勜	U+52DC
勢	U+52E2
勻	U+52FB
匀	U+5300
包	U+5305
匕	U+5315
匙	U+5319
匞	U+531E
匹	U+5339
匾	U+533E
匿	U+533F
十	U+5341
卆	U+5346
午	U+5348
半	U+534A
卍	U+534D
卐	U+5350
卑	U+5351
卒	U+5352
南	U+5357
単	U+5358
卜	U+535C
卟	U+535F
占	U+5360
卡	U+5361
卢	U+5362
卥	U+5365
卮	U+536E
厇	U+5387
厉	U+5389
厎	U+538E
厘	U+5398
厙	U+5399
厢	U+53A2
厮	U+53AE
厲	U+53B2
厶	U+53B6
厼	U+53BC
厾	U+53BE
