sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M1_0000,,"""""",1.324,1,369
M1_0001,,"""""",1.217,1,417
M1_0002,答：栄,"""答：栄""",1.154,5,333
M1_0003,,"""""",0.877,1,246
M1_0004,,"""""",1.103,1,398
M1_0005,,"""""",1.164,1,328
M1_0006,,"""""",0.840,1,259
M1_0007,,"""""",0.942,1,312
M1_0008,,"""""",1.121,1,436
M1_0009,,"""""",1.407,1,458
M1_0010,,"""""",0.735,1,320
M1_0011,,"""""",1.726,1,721
M1_0012,,"""""",1.423,1,475
M1_0013,,"""""",1.001,1,385
M1_0014,,"""""",1.132,1,412
M1_0015,,"""""",1.072,1,372
M1_0016,,"""""",1.339,1,557
M1_0017,,"""""",0.917,1,346
M1_0018,,"""""",1.559,1,430
M1_0019,,"""""",1.342,1,419
M1_0020,,"""""",1.088,1,375
M1_0021,,"""""",0.831,1,311
M1_0022,,"""""",1.239,1,473
M1_0023,答：𤎔,"""答：𤎔""",1.327,7,369
M1_0024,答：栐,"""答：栐""",1.170,5,333
M1_0025,,"""""",1.152,1,382
M1_0026,,"""""",1.264,1,388
M1_0027,,"""""",1.257,1,434
M1_0028,,"""""",1.242,1,397
M1_0029,,"""""",1.046,1,346
M1_0030,,"""""",0.806,1,298
M1_0031,,"""""",1.407,1,445
M1_0032,,"""""",1.192,1,416
M1_0033,答：喬,"""答：喬""",1.260,5,360
M1_0034,,"""""",0.998,1,356
M1_0035,,"""""",1.322,1,427
M1_0036,,"""""",0.572,1,178
M1_0037,,"""""",1.568,1,496
M1_0038,,"""""",1.300,1,407
M1_0039,,"""""",0.819,1,280
M1_0040,答：樞,"""答：樞""",1.297,5,344
M1_0041,,"""""",1.003,1,291
M1_0042,,"""""",0.982,1,342
M1_0043,,"""""",1.287,1,494
M1_0044,,"""""",1.194,1,402
M1_0045,,"""""",1.426,1,532
M1_0046,,"""""",1.479,1,459
M1_0047,,"""""",1.540,1,456
M1_0048,𪥘,"""𪥘""",1.427,5,409
M1_0049,"Wait, the image shows a character with three dots above","""Wait, the image shows a character with three dots above""",1.110,12,301
M1_0050,答：穝,"""答：穝""",1.349,5,382
M1_0051,,"""""",1.208,1,467
M1_0052,,"""""",1.136,1,371
M1_0053,,"""""",1.246,1,455
M1_0054,,"""""",1.168,1,365
M1_0055,,"""""",0.925,1,328
M1_0056,,"""""",1.575,1,585
M1_0057,,"""""",1.346,1,551
M1_0058,,"""""",1.106,1,360
M1_0059,,"""""",1.243,1,427
M1_0060,,"""""",0.830,1,361
M1_0061,,"""""",0.882,1,346
M1_0062,,"""""",0.793,1,332
M1_0063,,"""""",1.393,1,417
M1_0064,,"""""",1.214,1,406
M1_0065,,"""""",1.031,1,322
M1_0066,"Wait, the character in question is ""孫"". It's","""Wait, the character in question is \""孫\"". It's""",1.487,12,411
M1_0067,,"""""",1.000,1,351
M1_0068,,"""""",0.896,1,312
M1_0069,,"""""",1.112,1,327
M1_0070,,"""""",0.934,1,333
M1_0071,,"""""",1.137,1,331
M1_0072,答,"""答""",1.314,2,394
M1_0073,,"""""",1.266,1,468
M1_0074,,"""""",1.370,1,438
M1_0075,,"""""",1.215,1,440
M1_0076,,"""""",1.109,1,371
M1_0077,,"""""",1.219,1,390
M1_0078,𬠱,"""𬠱""",1.100,5,314
M1_0079,,"""""",1.170,1,381
M1_0080,,"""""",1.004,1,357
M1_0081,,"""""",1.416,1,454
M1_0082,,"""""",1.206,1,357
M1_0083,,"""""",1.557,1,513
M1_0084,,"""""",0.946,1,369
M1_0085,,"""""",1.293,1,432
M1_0086,,"""""",0.888,1,320
M1_0087,,"""""",1.138,1,432
M1_0088,𣑃,"""𣑃""",1.604,5,620
M1_0089,,"""""",0.860,1,361
M1_0090,𠎩,"""𠎩""",1.233,5,418
M1_0091,,"""""",1.360,1,595
M1_0092,,"""""",1.330,1,385
M1_0093,,"""""",1.069,1,497
M1_0094,答：𠌾,"""答：𠌾""",1.315,7,348
M1_0095,答：𢫨,"""答：𢫨""",1.152,7,322
M1_0096,,"""""",1.166,1,490
M1_0097,,"""""",1.173,1,399
M1_0098,,"""""",1.301,1,503
M1_0099,,"""""",1.502,1,485
M1_0100,,"""""",1.026,1,335
M1_0101,别曰,"""别曰""",1.491,3,390
M1_0102,,"""""",1.281,1,403
M1_0103,,"""""",1.070,1,357
M1_0104,,"""""",1.356,1,462
M1_0105,,"""""",1.094,1,416
M1_0106,,"""""",1.435,1,475
M1_0107,,"""""",1.023,1,372
M1_0108,,"""""",1.521,1,477
M1_0109,,"""""",1.376,1,528
M1_0110,,"""""",0.902,1,285
M1_0111,,"""""",1.334,1,548
M1_0112,,"""""",1.062,1,448
M1_0113,,"""""",1.223,1,426
M1_0114,,"""""",1.066,1,402
M1_0115,宬,"""宬""",1.524,3,579
M1_0116,答：栄,"""答：栄""",1.353,5,358
M1_0117,,"""""",1.284,1,417
M1_0118,,"""""",1.114,1,348
M1_0119,,"""""",1.260,1,411
M1_0120,,"""""",1.208,1,474
M1_0121,,"""""",1.267,1,400
M1_0122,,"""""",0.905,1,318
M1_0123,𱍽,"""𱍽""",1.097,5,329
M1_0124,,"""""",1.113,1,409
M1_0125,,"""""",1.378,1,548
M1_0126,,"""""",1.095,1,437
M1_0127,,"""""",1.275,1,505
M1_0128,,"""""",1.087,1,421
M1_0129,,"""""",1.199,1,379
M1_0130,,"""""",1.230,1,409
M1_0131,答：,"""答：""",1.191,3,341
M1_0132,,"""""",1.055,1,347
M1_0133,答：塊,"""答：塊""",1.239,5,341
M1_0134,,"""""",1.149,1,368
M1_0135,𱢑,"""𱢑""",1.149,5,487
M1_0136,,"""""",0.981,1,402
M1_0137,答：,"""答：""",0.946,3,262
M1_0138,,"""""",1.336,1,412
M1_0139,,"""""",1.081,1,394
M1_0140,,"""""",1.266,1,397
M1_0141,,"""""",1.212,1,359
M1_0142,,"""""",1.309,1,415
M1_0143,,"""""",1.117,1,419
M1_0144,,"""""",1.079,1,490
M1_0145,,"""""",0.936,1,314
M1_0146,,"""""",1.357,1,473
M1_0147,,"""""",1.460,1,464
M1_0148,,"""""",1.263,1,382
M1_0149,,"""""",1.212,1,368
M1_0150,,"""""",1.203,1,450
M1_0151,,"""""",1.354,1,401
M1_0152,"Wait, the character in the image is ""","""Wait, the character in the image is \""""",1.414,12,329
M1_0153,,"""""",1.142,1,425
M1_0154,答：栐,"""答：栐""",0.945,5,273
M1_0155,,"""""",1.088,1,368
M1_0156,,"""""",1.164,1,352
M1_0157,,"""""",1.069,1,364
M1_0158,答：栐,"""答：栐""",1.073,5,316
M1_0159,,"""""",1.301,1,498
M1_0160,,"""""",1.063,1,360
M1_0161,,"""""",1.225,1,654
M1_0162,,"""""",0.973,1,366
M1_0163,,"""""",1.133,1,356
M1_0164,,"""""",1.113,1,377
M1_0165,答：𤎔,"""答：𤎔""",1.449,7,378
M1_0166,,"""""",1.406,1,442
