sample_id,pred,col_pred,col_kinh,pos,align_op,col_lev,n_col_pred,sec
M1_0000,,仗女壽朱影强刘伎妻舜圣罘沙,於煜刈欣女甫事朱影强则欣女時妻屏圣毘沙,11,del,12,13,1.296
M1_0001,欺,生氣罨聕苟其称嘿命串晁中弄媛旱王欺耸,渚因生咤裔圈暗苟其称噀命字昇中弄㛐㝵丕欺并,19,eq,13,18,1.421
M1_0002,朱,生罧朱旦欺衣賁笼私昆種毛應麻朱特街圭实,自吒嬢生囉朱旦敗衣真泥礼是氊乇落麻朱特術圭实,5,eq,13,19,1.204
M1_0003,主,令罘体节者拱孔巴禁调万主泣畏旅城笃讼歌勇罔保,令罡体希者拱孔巴禁用知主立取於城烏沙歌事要保,11,eq,11,22,1.240
M1_0004,吒,衣在呈吒姨蔗多暑官走青翁仅痕爷周理之麻,𫞓得衣在呈吒媛商多尋官吏青弁仁浪瓮固理之麻,5,eq,11,19,1.188
M1_0005,困,冲南匙公郵銬帮連朱困命旦歇寻辦召事困而,於陳冲南更仁鄰麩鄰逆朱困𠇭旦欺㝵群召事困而,19,eq,12,19,1.239
M1_0006,主,共豐駼伤主吞傈毒坦諘仪接寻不曰無圭命欺仅,瘁涅其敬蜍飭主吞椉詩坦裙伐摂㝵不曰無圭命欺依,6,eq,13,20,1.321
M1_0007,呐,君屙五斯徐孙呐对詼筐之王保朱特呢周雹,䍐渃君曷碎托則除抑呐対敵埃尒之王保朱特呪固茂,9,eq,15,18,1.234
M1_0008,道,道罤真召折名徰景尼砰共罪義道女懋除,扇碎稱道𭩮常真民折出位㝵君砰共梁蔑遁衣女恐除,18,sub,15,17,1.332
M1_0009,折,固救活在奇尋其本道罔麻折棘歁,官衣固秩房在寺我㝵共奇本道買麻折肆歇吏,15,eq,13,14,1.283
M1_0010,诸,诸固道者補筆考紙詓麻浪事惟奉尔王固理之麻呲犯,㝵渚固道寺補筆其紙独麻浪事恠㪯不固理之麻哦仍,1,sub,11,22,1.340
M1_0011,,先罘歌早移焉麻谷常連星色表倌征,朱官𢡖先罟歌昇移烏麻𡬦常連星包茹官似,1,del,11,15,1.274
M1_0012,麻,等足係恳占主吞初碎固亂咄麻晋玉稗,𬒳体豔㝵庭隊恩右主蚕𥘉碎固衆啣麻㸔主碎,15,eq,15,16,1.386
M1_0013,別,別埃重饮痴叁呻麻悲相連豢几恡勿率歟衣翁,固别埃重饮桓吞岫麻悲桃逹臻拳几恪而牢敗衣弇,1,sub,14,19,1.256
M1_0014,拎,拎斧揔傈公闲度亥麻於浪丹堇靖由乌署連浪奏,喚眉矜茂塊像洞建亥麻於浪𭔿垩崤由烏屠連浪奏,1,sub,13,20,1.255
M1_0015,寻,悲徐宧戕不困寻蕭康床寻庄循事信奇特福,共品折女咫餘官代而困㝵靜凜麻㝵庄𥙷事信寺特福,14,sub,16,18,1.224
M1_0016,時,痢搀而所烬當饮女異逐補道固宿時蒟,技極涸按而斫扵與欤女昇逐補通固府時朝,16,eq,12,16,1.412
M1_0017,行,弁壬曾修行死為道傳礼等爲足箱佈反我,徔廷撼并垩淳虚修行死為道傳礼㝵署廷粧偽廷我,8,eq,13,17,1.357
