sample_id,pred,col_pred,col_kinh,pos,align_op,col_lev,n_col_pred,sec
M3_0000,寻,查枝中麻打古旱欺饱么跋寻連恨浊麻,埋銕𦚂查枝巳中麻打古㝵欺色召殹㝵連浪油麻,15,sub,11,16,3.106
M3_0001,哥,奉挟儿騖微包庄特旦欺寻屯茶氦四哥勿連的窉時妓架,㪯挾几驕微包庄特旦欺㝵㐌茶易四㝵𭃡連而翩時汝樂,15,sub,13,23,1.167
M3_0002,骂,主枝秋欣罢南骂庄头等即熏和書改商司共需,蘇德主枝秋於黔有㝵在氏等郎重刄裔改肉司共實蹄,8,sub,15,19,1.259
M3_0003,罟,冬這剛庄固果之恶徐寻買笼衣朱罟橤欺,務似要務冬道洌庄固果之恶除㝵嗔危云衣朱㝵藥敗,19,sub,14,17,1.283
M3_0004,寻,翕聖表施何周呓分些而朱寻些因帶朱寻些占分,翁聖末施阿固咲分紫而朱㝵些閃繁朱㝵些声分,16,sub,11,20,1.476
M3_0005,暑,魔體體寄吆存混而丘毒奴而砾朱暑捕尼,欽求願建廣鬼体㝵咍存𣵀而左寺奴斫朱㝵補君,17,sub,17,17,1.313
M3_0006,号,朱几洛吏因爲号哸眉跪甥末麻双加腮倩嘚真,乃福朱几怪吏因麗㝵安眉跪瑰末麻双加腮債噀嗔,8,sub,10,19,1.499
M3_0007,旱,讀坤頃共行役久年壬旱歇陽固豑久厍協等,常𡧱膈坤項共佇役伐年丕㝵欺渚固𣺌入痒傷㝵,11,sub,15,18,1.329
M3_0008,,关加琵末导碐旦琶久連笆印翡是必福,齒㝵偃矣加毸末㝵殿旦腮氏連色即酎㝵置百福,1,del,15,16,1.420
M3_0009,导,庄平德主吧吏隈导空在師主奝不导代晃朝,支秋庄平徳主吒吏辰㝵𫞹庄沛主裔不㝵代晁朝,9,sub,12,18,1.428
M3_0010,寻,团徐軍仪嘹真符朱命寻連麻递玎賜团,曷㐌断团徐軍仪嗜真付朱命㝵連宜麻遄打賦圎,12,sub,11,16,1.418
M3_0011,暑,暑体安其麦先暑罘容衣不等年唆沉朱,形栢㝵体要共不盖先㝵罪藩衣不㝵共年雲沉朱,9,sub,13,16,1.365
M3_0012,暑,息而之暑戈品囚仍几於帝呼谟算斝射袍聚哞共俸祝,猪息而之㝵戈忌囚仍几於帝呌浪嗔𭔿𦔳祀衆碎共俸祝,4,sub,11,22,1.354
M3_0013,尋,尋群施固饒功公还等奴的欽節朱特寻連而,應鬼体㝵群祗因饒功𡖋丕等奴𡖋歇飭朱特㝵連与,3,sub,13,18,0.922
M3_0014,寄,帝之時寄笺固伎意产行寄富青凛生時存庄,帝之時㝵盆固没彥意户行昇富責廪生時在庄,3,sub,9,18,0.982
M3_0015,寻,永表寻哮金毗交寻返急応冉寻庄特歇喜哥廷龙霆林威,𣱵卷㝵呼蔓戰多尋应每尼冉尋庄特耿意𭔿㐌卷邁林歲,2,sub,19,23,0.920
