sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M2_0000,𣇶,"""𣇶""",1.081,5,490
M2_0001,Answer: 悶,"""Answer: 悶""",0.670,6,296
M2_0002,𧭷,"""𧭷""",0.948,5,414
M2_0003,"Actually, the image shows 54 characters. I'll","""Actually, the image shows 54 characters. I'll""",0.857,12,388
M2_0004,𠣅,"""𠣅""",0.888,5,533
M2_0005,𫜵,"""𫜵""",0.857,5,377
M2_0006,𫜵,"""𫜵""",0.605,5,315
M2_0007,𪥘,"""𪥘""",1.042,5,426
M2_0008,𤷥,"""𤷥""",1.042,5,474
M2_0009,𤕝,"""𤕝""",0.949,5,437
M2_0010,𤼸,"""𤼸""",0.765,5,310
M2_0011,𫭔,"""𫭔""",0.666,5,320
M2_0012,𩔚,"""𩔚""",0.903,5,390
M2_0013,𠄼,"""𠄼""",0.813,5,397
M2_0014,𤷥,"""𤷥""",0.982,5,454
M2_0015,答案：哆,"""答案：哆""",1.045,5,696
M2_0016,𧨣,"""𧨣""",0.699,5,325
M2_0017,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.022,12,377
M2_0018,𱢑,"""𱢑""",0.978,5,603
M2_0019,𬗢,"""𬗢""",0.876,5,437
M2_0020,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.045,12,419
M2_0021,𬏓,"""𬏓""",0.781,5,378
M2_0022,𫲈,"""𫲈""",0.720,5,314
M2_0023,𠳗,"""𠳗""",0.739,5,395
M2_0024,𩔚,"""𩔚""",1.039,5,445
M2_0025,𠿒,"""𠿒""",0.830,5,400
M2_0026,𫜵,"""𫜵""",0.753,5,366
M2_0027,𬮤,"""𬮤""",0.984,5,410
M2_0028,断,"""断""",0.877,2,539
M2_0029,𠜷,"""𠜷""",0.850,5,442
M2_0030,𫭔,"""𫭔""",0.807,5,352
M2_0031,盔,"""盔""",1.026,3,453
M2_0032,𬈋,"""𬈋""",0.775,5,326
M2_0033,---,"""---""",0.708,2,359
M2_0034,𬮤,"""𬮤""",1.124,5,464
M2_0035,𬆄,"""𬆄""",0.653,5,362
M2_0036,𠅜,"""𠅜""",0.854,5,371
M2_0037,𪆩,"""𪆩""",0.862,5,435
M2_0038,𠂨,"""𠂨""",1.027,5,540
M2_0039,答案：順,"""答案：順""",0.848,4,358
M2_0040,"Actually, the image shows two characters: ""命""","""Actually, the image shows two characters: \""命\""""",0.947,12,363
M2_0041,𱐩,"""𱐩""",1.015,5,458
M2_0042,𬏘,"""𬏘""",0.740,5,405
M2_0043,𠮥,"""𠮥""",0.850,5,350
M2_0044,𢖵,"""𢖵""",0.917,5,422
M2_0045,𱍸,"""𱍸""",0.882,5,470
M2_0046,𫜵,"""𫜵""",0.764,5,339
M2_0047,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.758,12,303
M2_0048,𧻬,"""𧻬""",0.772,5,353
M2_0049,𱢑,"""𱢑""",0.791,5,501
M2_0050,正确答案：娅,"""正确答案：娅""",0.907,5,648
M2_0051,请选择其中一个字作为答案。,"""请选择其中一个字作为答案。""",0.827,9,325
M2_0052,𠔏,"""𠔏""",0.709,5,402
M2_0053,𬏓,"""𬏓""",0.926,5,412
M2_0054,𫭔,"""𫭔""",0.691,5,307
M2_0055,𱍸,"""𱍸""",0.884,5,436
M2_0056,𠅜,"""𠅜""",0.698,5,324
M2_0057,𱍸,"""𱍸""",0.798,5,388
M2_0058,𫜵,"""𫜵""",0.784,5,377
M2_0059,𥸨,"""𥸨""",0.721,5,342
M2_0060,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.744,12,303
M2_0061,𠅈,"""𠅈""",0.762,5,340
M2_0062,𠄩,"""𠄩""",0.811,5,396
M2_0063,𬃻,"""𬃻""",0.718,5,400
M2_0064,---,"""---""",0.331,2,223
M2_0065,𰨂,"""𰨂""",0.905,5,424
M2_0066,𠸠,"""𠸠""",0.771,5,339
M2_0067,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.956,12,333
M2_0068,𢾭,"""𢾭""",0.719,5,372
M2_0069,𫢫,"""𫢫""",0.708,5,275
M2_0070,𠜷,"""𠜷""",0.677,5,403
M2_0071,𬧻,"""𬧻""",0.911,5,444
M2_0072,𠸠,"""𠸠""",1.022,5,430
M2_0073,𠜫,"""𠜫""",0.824,5,435
M2_0074,"Actually, the image shows a character with a check mark","""Actually, the image shows a character with a check mark""",0.953,12,361
M2_0075,Answer: 𫃀,"""Answer: 𫃀""",0.889,8,382
M2_0076,𱐩,"""𱐩""",0.745,5,356
M2_0077,𬙛,"""𬙛""",0.792,5,452
M2_0078,𬙛,"""𬙛""",0.878,5,455
M2_0079,𠜷,"""𠜷""",0.770,5,412
M2_0080,𤎔,"""𤎔""",1.068,5,485
M2_0081,𬗢,"""𬗢""",0.842,5,419
M2_0082,𤷥,"""𤷥""",0.840,5,449
M2_0083,𢺶,"""𢺶""",0.892,5,363
M2_0084,𫜵,"""𫜵""",0.601,5,315
M2_0085,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.140,12,424
M2_0086,𨑗,"""𨑗""",0.910,5,387
M2_0087,𱍸,"""𱍸""",0.766,5,389
M2_0088,𱍸,"""𱍸""",0.803,5,392
M2_0089,𧝮,"""𧝮""",0.690,5,359
M2_0090,Answer: 𠮥,"""Answer: 𠮥""",0.648,8,228
M2_0091,𫭔,"""𫭔""",0.786,5,371
M2_0092,---,"""---""",0.504,2,258
M2_0093,𫜵,"""𫜵""",0.671,5,291
M2_0094,𠅜,"""𠅜""",0.922,5,414
M2_0095,𱙘,"""𱙘""",0.781,5,401
M2_0096,𩼁,"""𩼁""",0.792,5,329
M2_0097,𠨱,"""𠨱""",0.722,5,487
M2_0098,𬏓,"""𬏓""",0.875,5,384
M2_0099,丽,"""丽""",0.861,2,734
M2_0100,𩛘,"""𩛘""",0.953,5,410
M2_0101,𱐩,"""𱐩""",0.774,5,407
M2_0102,𱍸,"""𱍸""",1.071,5,504
M2_0103,答案：塊,"""答案：塊""",0.694,5,277
M2_0104,𱢑,"""𱢑""",0.849,5,515
M2_0105,𠨱,"""𠨱""",0.977,5,551
M2_0106,𠁉,"""𠁉""",0.860,5,440
M2_0107,𧨣,"""𧨣""",0.957,5,397
M2_0108,答案：栄,"""答案：栄""",0.577,5,281
M2_0109,Answer: 儀,"""Answer: 儀""",0.872,6,354
M2_0110,𪭽,"""𪭽""",0.559,5,243
M2_0111,𩀌,"""𩀌""",1.008,5,427
M2_0112,𧶣,"""𧶣""",0.855,5,432
M2_0113,𫺲,"""𫺲""",0.996,5,418
M2_0114,𤷥,"""𤷥""",0.628,5,310
M2_0115,𦥮,"""𦥮""",0.738,5,298
M2_0116,𱍸,"""𱍸""",0.721,5,373
M2_0117,𫲳,"""𫲳""",0.836,5,388
M2_0118,𤬖,"""𤬖""",0.791,5,394
M2_0119,𧬕,"""𧬕""",0.854,5,545
M2_0120,𠅜,"""𠅜""",0.858,5,379
M2_0121,愫,"""愫""",0.976,3,476
M2_0122,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.849,12,338
M2_0123,𤔑,"""𤔑""",0.825,5,447
M2_0124,𬗢,"""𬗢""",0.772,5,391
M2_0125,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.715,12,334
M2_0126,𠋺,"""𠋺""",1.174,5,678
M2_0127,𡲌,"""𡲌""",1.015,5,424
M2_0128,𠔎,"""𠔎""",0.608,5,351
M2_0129,𱐩,"""𱐩""",0.773,5,373
M2_0130,𩛘,"""𩛘""",0.614,5,272
M2_0131,"Actually, the image shows ""傢"" and ""","""Actually, the image shows \""傢\"" and \""""",0.931,12,332
M2_0132,𠔶,"""𠔶""",0.800,5,419
M2_0133,𬧾,"""𬧾""",0.772,5,349
M2_0134,正确答案：𬏓,"""正确答案：𬏓""",0.825,8,382
M2_0135,𠨱,"""𠨱""",0.962,5,551
M2_0136,𱢑,"""𱢑""",0.845,5,501
M2_0137,𠀹,"""𠀹""",0.902,5,439
M2_0138,正确答案：𠄩,"""正确答案：𠄩""",0.980,8,391
M2_0139,𠖈,"""𠖈""",0.743,5,378
M2_0140,𦥮,"""𦥮""",0.740,5,294
M2_0141,---,"""---""",0.886,2,444
M2_0142,𠨱,"""𠨱""",0.917,5,515
M2_0143,𬆞,"""𬆞""",0.954,5,543
M2_0144,𬨠,"""𬨠""",0.862,5,408
M2_0145,𠀹,"""𠀹""",0.822,5,368
M2_0146,"Actually, the image shows two characters. The first one","""Actually, the image shows two characters. The first one""",0.885,12,351
M2_0147,𰨂,"""𰨂""",0.854,5,388
M2_0148,𧻜,"""𧻜""",0.705,5,324
M2_0149,𠨱,"""𠨱""",1.058,5,605
M2_0150,愫,"""愫""",0.847,3,381
M2_0151,𬃻,"""𬃻""",0.769,5,480
M2_0152,𠻇,"""𠻇""",0.968,5,512
M2_0153,𠋝,"""𠋝""",0.881,5,520
M2_0154,𫜵,"""𫜵""",0.879,5,383
M2_0155,侬,"""侬""",0.870,3,615
M2_0156,---,"""---""",0.890,2,394
M2_0157,𬨴,"""𬨴""",0.902,5,388
M2_0158,𠦓,"""𠦓""",0.963,5,431
M2_0159,𱢑,"""𱢑""",0.780,5,459
M2_0160,𱍸,"""𱍸""",0.761,5,404
M2_0161,㮲,"""㮲""",0.665,4,286
M2_0162,𩀌,"""𩀌""",0.982,5,461
M2_0163,𱍸,"""𱍸""",0.892,5,430
M2_0164,𬗢,"""𬗢""",0.753,5,401
M2_0165,𱍸,"""𱍸""",1.033,5,516
M2_0166,𤊠,"""𤊠""",0.694,5,293
M2_0167,琲,"""琲""",0.873,3,467
M2_0168,𱐩,"""𱐩""",0.741,5,356
M2_0169,答案：桊,"""答案：桊""",0.810,5,358
M2_0170,𬗢,"""𬗢""",0.948,5,455
M2_0171,𣉺,"""𣉺""",0.642,5,294
M2_0172,𱐩,"""𱐩""",0.871,5,407
M2_0173,𬙛,"""𬙛""",0.760,5,447
M2_0174,𠅜,"""𠅜""",1.045,5,439
M2_0175,𫭔,"""𫭔""",0.995,5,466
M2_0176,𤾆,"""𤾆""",0.912,5,462
M2_0177,𫢩,"""𫢩""",0.755,5,349
M2_0178,𠀲,"""𠀲""",0.886,5,439
M2_0179,𬏇,"""𬏇""",0.777,5,325
M2_0180,𠅜,"""𠅜""",0.673,5,320
M2_0181,𬏓,"""𬏓""",1.130,5,490
M2_0182,𱍸,"""𱍸""",0.848,5,453
M2_0183,𬩍,"""𬩍""",0.967,5,453
M2_0184,𠄼,"""𠄼""",0.978,5,440
M2_0185,"Actually, the image shows ""癸蛛"" which","""Actually, the image shows \""癸蛛\"" which""",0.960,12,372
M2_0186,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",1.034,12,382
M2_0187,𤬖,"""𤬖""",0.907,5,426
M2_0188,"Actually, the image shows 14 characters. I'll","""Actually, the image shows 14 characters. I'll""",0.719,12,340
M2_0189,𠨱,"""𠨱""",0.854,5,501
M2_0190,𱢑,"""𱢑""",0.990,5,605
M2_0191,正确答案：𠦓,"""正确答案：𠦓""",0.962,8,358
M2_0192,𠇮,"""𠇮""",1.048,5,431
M2_0193,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.739,12,360
M2_0194,จิ,"""จิ""",0.825,4,340
M2_0195,𫄼,"""𫄼""",0.673,5,319
M2_0196,𬗢,"""𬗢""",0.830,5,405
M2_0197,𫭔,"""𫭔""",0.776,5,358
M2_0198,𬅳,"""𬅳""",0.828,5,376
M2_0199,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.972,12,368
M2_0200,𠮥,"""𠮥""",0.498,5,198
M2_0201,"Actually, the image shows ""𠀹""","""Actually, the image shows \""𠀹\""""",0.588,12,215
M2_0202,---,"""---""",0.431,2,226
M2_0203,𠋺,"""𠋺""",0.537,5,432
M2_0204,𫅑,"""𫅑""",0.477,5,238
M2_0205,𬬊,"""𬬊""",0.481,5,282
M2_0206,𱠎 𰑚 与,"""𱠎 𰑚 与 """,0.563,12,292
M2_0207,---,"""---""",0.350,2,175
M2_0208,𠖙,"""𠖙""",0.436,5,204
M2_0209,𬧻,"""𬧻""",0.497,5,309
M2_0210,"Explanation: The character in the image is ""","""Explanation: The character in the image is \""""",0.642,12,221
M2_0211,𠮥,"""𠮥""",0.315,5,155
M2_0212,𩰛,"""𩰛""",0.565,5,335
M2_0213,𬉊,"""𬉊""",0.465,5,262
M2_0214,𬉊,"""𬉊""",0.469,5,301
M2_0215,𬩍,"""𬩍""",0.461,5,237
M2_0216,"Actually, the image shows a character with several strokes","""Actually, the image shows a character with several strokes""",0.679,12,266
M2_0217,答案：驽,"""答案：驽""",0.493,5,192
M2_0218,---,"""---""",0.434,2,196
M2_0219,𠅈,"""𠅈""",0.417,5,247
M2_0220,𠀹,"""𠀹""",0.540,5,248
M2_0221,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.588,12,207
M2_0222,𱠎 𰑚 与,"""𱠎 𰑚 与 """,0.662,12,312
M2_0223,Answer: 𠮥,"""Answer: 𠮥""",0.492,8,166
M2_0224,𫢫,"""𫢫""",0.416,5,170
M2_0225,"Actually, the image shows ""扶擂"" and","""Actually, the image shows \""扶擂\"" and""",0.650,12,202
M2_0226,𠰷,"""𠰷""",0.404,5,225
M2_0227,𤎸,"""𤎸""",0.459,5,196
M2_0228,𬮷,"""𬮷""",0.563,5,309
M2_0229,𬉊,"""𬉊""",0.396,5,269
M2_0230,ex,"""ex""",0.367,2,169
M2_0231,𤎸,"""𤎸""",0.413,5,176
M2_0232,𠨱,"""𠨱""",0.484,5,383
M2_0233,𬏘,"""𬏘""",0.465,5,261
M2_0234,𤝠,"""𤝠""",0.527,5,266
M2_0235,𬵵,"""𬵵""",0.413,5,233
M2_0236,𠉭,"""𠉭""",0.481,5,310
M2_0237,𤔹,"""𤔹""",0.549,5,205
M2_0238,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.651,12,231
M2_0239,---,"""---""",0.411,2,199
M2_0240,𠖔,"""𠖔""",0.429,5,224
M2_0241,𡆐,"""𡆐""",0.462,5,256
M2_0242,正确答案：𣎏,"""正确答案：𣎏""",0.540,8,189
M2_0243,𢝙,"""𢝙""",0.387,5,214
M2_0244,例 冽 列 劣 咧,"""例 冽 列 劣 咧 """,0.614,12,304
M2_0245,𫜵,"""𫜵""",0.435,5,210
M2_0246,𬉊,"""𬉊""",0.434,5,258
M2_0247,答案：媄,"""答案：媄""",0.454,5,177
M2_0248,exact,"""exact""",0.370,3,175
M2_0249,𫢩,"""𫢩""",0.538,5,239
M2_0250,Answer: 𪀄,"""Answer: 𪀄""",0.509,8,173
M2_0251,𡆐,"""𡆐""",0.489,5,299
M2_0252,𬮤,"""𬮤""",0.468,5,203
M2_0253,English:,"""English:""",0.419,3,204
M2_0254,𬩀,"""𬩀""",0.430,5,260
M2_0255,𠋺,"""𠋺""",0.435,5,363
M2_0256,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.629,12,296
M2_0257,刅,"""刅""",0.461,3,361
M2_0258,𫙔,"""𫙔""",0.498,5,211
M2_0259,𠨱,"""𠨱""",0.504,5,373
M2_0260,"Actually, the image shows ""khi"" in a","""Actually, the image shows \""khi\"" in a""",0.718,12,279
M2_0261,English:,"""English:""",0.321,3,165
M2_0262,𧬑,"""𧬑""",0.549,5,393
M2_0263,𧯚,"""𧯚""",0.617,5,358
M2_0264,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.602,12,285
M2_0265,"Actually, the image shows ""心包"" in a","""Actually, the image shows \""心包\"" in a""",0.635,12,270
M2_0266,𬉊,"""𬉊""",0.449,5,269
M2_0267,"Actually, the image shows 14 characters. I'll","""Actually, the image shows 14 characters. I'll""",0.603,12,265
M2_0268,刅,"""刅""",0.523,3,373
M2_0269,𠊚,"""𠊚""",0.474,5,259
M2_0270,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",0.625,12,215
M2_0271,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.582,12,211
M2_0272,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.588,12,212
M2_0273,---,"""---""",0.438,2,211
M2_0274,𬃴,"""𬃴""",0.427,5,193
M2_0275,Answer: 侄,"""Answer: 侄""",0.439,6,151
M2_0276,𬚞,"""𬚞""",0.441,5,269
M2_0277,"Actually, the image shows ""rangen"" as the","""Actually, the image shows \""rangen\"" as the""",0.622,12,199
M2_0278,𫜵,"""𫜵""",0.507,5,232
M2_0279,𣎏,"""𣎏""",0.409,5,199
M2_0280,𤋿,"""𤋿""",0.448,5,252
M2_0281,𱸳,"""𱸳""",0.430,5,215
M2_0282,𣎏,"""𣎏""",0.434,5,211
M2_0283,"Actually, the image shows a character with three dots","""Actually, the image shows a character with three dots""",0.641,12,245
M2_0284,𠖔,"""𠖔""",0.466,5,224
M2_0285,𫔳,"""𫔳""",0.439,5,186
M2_0286,"Actually, the image shows a fragment of text with some","""Actually, the image shows a fragment of text with some""",0.524,12,171
M2_0287,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.546,12,214
M2_0288,答案：𪪀,"""答案：𪪀""",0.547,7,194
M2_0289,"Actually, the image shows ""玉俞"" and ""","""Actually, the image shows \""玉俞\"" and \""""",0.663,12,229
M2_0290,𥸨,"""𥸨""",0.452,5,245
M2_0291,𠉭,"""𠉭""",0.601,5,332
M2_0292,𱠎 𰑚 与,"""𱠎 𰑚 与 """,0.636,12,303
M2_0293,Answer: 怼,"""Answer: 怼""",0.522,6,188
M2_0294,---,"""---""",0.329,2,216
M2_0295,"Actually, the image shows ""侪"" and ""","""Actually, the image shows \""侪\"" and \""""",0.567,12,186
M2_0296,答案：衅,"""答案：衅""",0.406,5,141
M2_0297,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.578,12,236
M2_0298,答题要点：字形结构，笔画数，笔,"""答题要点：字形结构，笔画数，笔""",0.616,12,192
M2_0299,𠛤,"""𠛤""",0.420,5,237
M2_0300,𠀠,"""𠀠""",0.421,5,244
M2_0301,---,"""---""",0.310,2,186
M2_0302,𪭽,"""𪭽""",0.454,5,171
M2_0303,𢬊,"""𢬊""",0.447,5,254
M2_0304,---,"""---""",0.306,2,155
M2_0305,Answer is: 縴,"""Answer is: 縴""",0.493,7,191
M2_0306,𤎸,"""𤎸""",0.411,5,176
M2_0307,答案：塊,"""答案：塊""",0.482,5,176
M2_0308,---,"""---""",0.372,2,209
M2_0309,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.650,12,219
M2_0310,𫜵,"""𫜵""",0.530,5,243
M2_0311,𦒹,"""𦒹""",0.494,5,205
M2_0312,𬨨,"""𬨨""",0.530,5,285
M2_0313,供,"""供""",0.450,2,330
M2_0314,"Actually, the image shows ""朗公"" written in","""Actually, the image shows \""朗公\"" written in""",0.590,12,199
M2_0315,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.612,12,226
M2_0316,𫜵,"""𫜵""",0.582,5,267
M2_0317,乌,"""乌""",0.485,2,348
M2_0318,𬬊,"""𬬊""",0.399,5,282
M2_0319,𫜵,"""𫜵""",0.472,5,221
M2_0320,答案：栄,"""答案：栄""",0.457,5,172
M2_0321,𬨨,"""𬨨""",0.409,5,264
M2_0322,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.562,12,208
M2_0323,𠄼,"""𠄼""",0.541,5,255
M2_0324,答案：嘤,"""答案：嘤""",0.435,5,188
M2_0325,"Actually, the image shows a character that looks like ""","""Actually, the image shows a character that looks like \""""",0.616,12,199
M2_0326,𩠨,"""𩠨""",0.371,5,219
M2_0327,"Actually, the image shows a few more characters. The","""Actually, the image shows a few more characters. The""",0.626,12,224
M2_0328,𠊚,"""𠊚""",0.678,5,320
M2_0329,𤳷,"""𤳷""",0.461,5,225
M2_0330,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.689,12,250
M2_0331,答案：焺,"""答案：焺""",0.390,5,157
M2_0332,答案：偨,"""答案：偨""",0.421,5,183
M2_0333,"Actually, the image shows ""乗"" and ""","""Actually, the image shows \""乗\"" and \""""",0.607,12,202
M2_0334,"Actually, the image shows ""𠻷""","""Actually, the image shows \""𠻷\""""",0.634,12,204
M2_0335,𦲬,"""𦲬""",0.489,5,238
M2_0336,别,"""别""",0.335,2,131
M2_0337,𠈃,"""𠈃""",0.511,5,399
M2_0338,𠔏,"""𠔏""",0.503,5,320
M2_0339,---,"""---""",0.426,2,197
M2_0340,"Actually, the image shows a series of characters. The","""Actually, the image shows a series of characters. The""",0.669,12,302
M2_0341,𬗢,"""𬗢""",0.382,5,255
M2_0342,𠉭,"""𠉭""",0.489,5,312
