sample_id,pred,pred_raw,sec,n_tokens,prompt_tokens
M3_0000,^,"""    ^""",1.893,3,46
M3_0001,尋,"""尋""",0.630,3,25
M3_0002,2.,"""    2.""",0.468,5,31
M3_0003,峙,"""峙""",0.335,3,46
M3_0004,ম,"""ম""",0.381,3,46
M3_0005,প,"""প""",0.340,3,36
M3_0006,d,"""d""",0.376,2,46
M3_0007,o,"""o""",0.383,2,40
M3_0008,+ 12,"""+\n12""",0.413,4,46
M3_0009,导,"""导""",0.255,2,46
M3_0010,^,"""    ^""",0.341,3,46
M3_0011,---,"""---""",0.377,2,46
M3_0012,ম,"""ম""",0.388,3,36
M3_0013,徵,"""徵""",0.390,3,28
M3_0014,---,"""---""",0.333,2,28
M3_0015,）,"""    ）""",0.272,3,25
M3_0016,---,"""---""",0.436,2,46
M3_0017,言,"""    言""",0.412,4,28
M3_0018,境,"""境""",0.363,2,28
M3_0019,）,"""    ）""",0.403,3,34
M3_0020,---,"""---""",0.359,2,46
M3_0021,答案,"""答案""",0.395,2,46
M3_0022,）,"""    ）""",0.414,3,32
M3_0023,---,"""---""",0.383,2,46
M3_0024,---,"""---""",0.370,2,41
M3_0025,---,"""---""",0.367,2,58
M3_0026,ს.,"""ს.""",0.195,4,28
M3_0027,---,"""---""",0.377,2,40
M3_0028,a,"""a""",0.340,2,41
M3_0029,．,"""．""",0.324,2,36
M3_0030,n,"""n""",0.445,2,46
M3_0031,---,"""---""",0.374,2,46
M3_0032,প্রোগ্রাম,"""প্রোগ্রাম""",0.654,12,28
M3_0033,1.,"""    1.""",0.448,5,40
M3_0034,𐬭,"""𐬭""",0.455,5,28
M3_0035,4,"""    4""",0.417,4,25
M3_0036,3.,"""3.""",0.333,3,28
M3_0037,一,"""一""",0.300,2,52
M3_0038,↵,"""↵""",0.446,3,28
M3_0039,^,"""    ^""",0.419,3,40
M3_0040,）,"""    ）""",0.442,3,46
M3_0041,---,"""---""",0.354,2,46
M3_0042,𐬨,"""𐬨""",0.406,5,40
M3_0043,一,"""一""",0.357,2,41
M3_0044,---,"""---""",0.381,2,46
M3_0045,）,"""    ）""",0.457,3,41
M3_0046,一,"""一""",0.360,2,41
M3_0047,4,"""4""",0.266,2,24
M3_0048,]],"""]]""",0.298,2,32
M3_0049,县,"""县""",0.278,2,46
M3_0050,---,"""---""",0.352,2,40
M3_0051,.....,""".....""",0.451,2,46
M3_0052,.....,""".....""",0.283,2,28
M3_0053,^     ㅎ,"""    ^\n    ㅎ""",0.554,9,46
M3_0054,প্রোগ্রাম,"""প্রোগ্রাম""",0.747,12,28
M3_0055,স্ট্রিং,"""স্ট্রিং""",0.705,9,52
M3_0056,---,"""---""",0.281,2,46
M3_0057,一,"""一""",0.406,2,41
M3_0058,]],"""]]""",0.363,2,41
M3_0059,হ,"""হ""",0.383,3,28
M3_0060,---,"""---""",0.396,2,51
M3_0061,]],"""]]""",0.327,2,46
M3_0062,---,"""---""",0.322,2,46
M3_0063,</form>,"""    </form>""",0.565,5,52
M3_0064,---,"""---""",0.417,2,51
M3_0065,---,"""---""",0.385,2,46
M3_0066,答案,"""答案""",0.428,2,51
M3_0067,）,"""    ）""",0.396,3,25
M3_0068,---,"""---""",0.358,2,46
M3_0069,এক,"""এক""",0.493,5,41
M3_0070,1,"""    1""",0.422,4,32
M3_0071,---,"""---""",0.358,2,41
M3_0072,答案：,"""答案：""",0.437,3,46
M3_0073,遠,"""遠""",0.387,3,41
M3_0074,]],"""]]""",0.358,2,41
M3_0075,মোঃ,"""মোঃ""",0.612,7,46
M3_0076,峨,"""峨""",0.451,3,52
M3_0077,一,"""一""",0.403,2,46
M3_0078,---,"""---""",0.343,2,46
M3_0079,|,"""    |""",0.381,3,46
M3_0080,10,"""    10""",0.436,5,31
M3_0081,一,"""一""",0.223,2,46
M3_0082,প্রোগ্রাম,"""প্রোগ্রাম""",0.696,12,46
M3_0083,প্রোগ্রাম,"""প্রোগ্রাম""",0.800,12,46
M3_0084,f,"""f""",0.369,2,40
M3_0085,---,"""---""",0.297,2,46
M3_0086,𐬨,"""𐬨""",0.398,5,46
M3_0087,J,"""J""",0.479,2,52
M3_0088,^,"""    ^""",0.386,3,41
M3_0089,---,"""---""",0.367,2,46
M3_0090,^,"""    ^""",0.343,3,46
M3_0091,</body> </html>,"""    </body>\n</html>""",0.484,8,46
M3_0092,^     ˆ,"""    ^\n    ˆ""",0.671,8,51
M3_0093,一,"""一""",0.408,2,40
M3_0094,1,"""    1""",0.388,4,32
M3_0095,峨,"""峨""",0.296,3,46
M3_0096,ii = 2,"""ii = 2""",0.384,5,32
M3_0097,^,"""    ^""",0.421,3,41
M3_0098,空,"""    空""",0.471,4,40
M3_0099,---,"""---""",0.427,2,41
M3_0100,</table>,"""    </table>""",0.365,5,46
M3_0101,মূ,"""মূ""",0.454,5,46
M3_0102,---,"""---""",0.375,2,58
M3_0103,---,"""---""",0.379,2,46
M3_0104,|,"""    |""",0.452,3,52
M3_0105,礼,"""礼""",0.286,2,46
M3_0106,প্রোগ্রাম,"""প্রোগ্রাম""",0.795,12,46
M3_0107,---,"""---""",0.331,2,46
M3_0108,一,"""一""",0.433,2,51
M3_0109,---,"""---""",0.361,2,52
M3_0110,一,"""一""",0.239,2,36
M3_0111,見,"""見""",0.295,2,40
M3_0112,导,"""    导""",0.326,4,28
M3_0113,2,"""    2""",0.404,4,36
M3_0114,一,"""一""",0.313,2,41
M3_0115,┌───────────────     └────────,"""    ┌───────────────\n    └────────""",0.712,12,40
M3_0116,---,"""---""",0.308,2,46
M3_0117,^,"""    ^""",0.391,3,40
M3_0118,^,"""    ^""",0.366,3,46
M3_0119,임,"""임""",0.342,2,28
M3_0120,ম,"""ম""",0.464,3,51
M3_0121,0,"""0""",0.275,2,32
M3_0122,目,"""目""",0.298,2,40
M3_0123,山,"""山""",0.243,2,40
M3_0124,升,"""    升""",0.236,4,28
M3_0125,𐬭,"""𐬭""",0.283,5,28
M3_0126,）,"""    ）""",0.295,3,52
M3_0127,一,"""一""",0.290,2,52
M3_0128,i,"""i""",0.211,2,28
M3_0129,---,"""---""",0.401,2,51
M3_0130,---,"""---""",0.348,2,46
M3_0131,一,"""一""",0.438,2,40
M3_0132,---,"""---""",0.381,2,52
M3_0133,ম,"""ম""",0.266,3,41
M3_0134,---,"""---""",0.240,2,46
M3_0135,ম,"""ম""",0.313,3,41
M3_0136,界,"""界""",0.357,2,52
M3_0137,.....,""".....""",0.162,2,25
M3_0138,←,"""←""",0.295,3,46
M3_0139,1,"""    1""",0.296,4,32
M3_0140,প্রযুক্তি,"""প্রযুক্তি""",0.791,12,41
M3_0141,]],"""]]""",0.345,2,40
M3_0142,بل,"""بل""",0.268,2,28
M3_0143,崡,"""崡""",0.382,3,28
M3_0144,মান,"""মান""",0.419,5,28
M3_0145,მართვის მ,"""მართვის მ""",0.791,12,28
M3_0146,____,"""____""",0.312,2,41
M3_0147,</table>,"""    </table>""",0.453,5,46
M3_0148,---,"""---""",0.448,2,58
M3_0149,---,"""---""",0.355,2,46
M3_0150,',"""'""",0.328,2,28
M3_0151,（1）,"""    （1）""",0.385,5,32
M3_0152,ম,"""ম""",0.391,3,41
M3_0153,ম,"""ম""",0.377,3,28
M3_0154,---,"""---""",0.327,2,41
M3_0155,---,"""---""",0.372,2,46
M3_0156,</table>,"""    </table>""",0.488,5,40
M3_0157,English,"""English""",0.345,2,58
M3_0158,言,"""言""",0.302,2,40
M3_0159,কো,"""কো""",0.508,5,32
M3_0160,答案,"""答案""",0.415,2,46
M3_0161,13,"""    13""",0.531,5,40
M3_0162,答案,"""答案""",0.304,2,40
M3_0163,1,"""    1""",0.366,4,40
M3_0164,---,"""---""",0.287,2,46
M3_0165,---,"""---""",0.421,2,41
M3_0166,ম,"""ম""",0.424,3,51
M3_0167,答案,"""答案""",0.297,2,46
M3_0168,---,"""---""",0.425,2,52
M3_0169,ম,"""ম""",0.378,3,40
M3_0170,f_{0n1},"""f_{0n1}""",0.439,7,32
M3_0171,of,"""of""",0.441,2,41
M3_0172,---,"""---""",0.361,2,46
M3_0173,</table>,"""    </table>""",0.488,5,46
M3_0174,মানুষের,"""মানুষের""",0.490,10,28
M3_0175,^,"""    ^""",0.372,3,46
M3_0176,1,"""    1""",0.481,4,46
M3_0177,曰,"""曰""",0.378,2,40
M3_0178,.....,""".....""",0.377,2,28
M3_0179,曰,"""曰""",0.338,2,46
M3_0180,---,"""---""",0.296,2,46
M3_0181,---,"""---""",0.398,2,41
M3_0182,---,"""---""",0.340,2,46
M3_0183,时,"""时""",0.439,2,46
M3_0184,1,"""    1""",0.428,4,31
M3_0185,[[,"""[[""",0.244,2,28
M3_0186,𐬭,"""𐬭""",0.416,5,46
M3_0187,---,"""---""",0.494,2,58
M3_0188,---,"""---""",0.466,2,51
M3_0189,---,"""---""",0.438,2,52
M3_0190,---,"""---""",0.234,2,40
M3_0191,𐬭,"""𐬭""",0.445,5,28
M3_0192,---,"""---""",0.384,2,52
M3_0193,𐬭𐬭𐬭,"""𐬭𐬭𐬭""",0.747,12,28
M3_0194,ক্ষেত্রে,"""ক্ষেত্রে""",0.528,10,32
M3_0195,^,"""    ^""",0.314,3,46
M3_0196,^,"""    ^""",0.443,3,46
M3_0197,𐬨,"""    𐬨""",0.570,7,46
M3_0198,𐬭,"""𐬭""",0.502,5,46
M3_0199,박,"""박""",0.337,3,25
M3_0200,---,"""---""",0.292,2,46
M3_0201,মোট,"""মোট""",0.597,7,28
M3_0202,1.,"""    1.""",0.510,5,36
M3_0203,---,"""---""",0.533,2,41
M3_0204,徲,"""    徲""",0.388,5,28
M3_0205,স্থান,"""স্থান""",0.566,7,25
M3_0206,---,"""---""",0.405,2,52
M3_0207,প্রতি,"""প্রতি""",0.620,8,51
M3_0208,জট,"""জট""",0.422,5,31
M3_0209,D,"""D""",0.296,2,28
M3_0210,---,"""---""",0.386,2,46
M3_0211,ম,"""ম""",0.330,3,25
M3_0212,一,"""一""",0.325,2,36
M3_0213,---,"""---""",0.478,2,52
M3_0214,মূল,"""মূল""",0.468,7,40
M3_0215,---,"""---""",0.416,2,40
M3_0216,D,"""D""",0.331,2,36
M3_0217,20,"""    20""",0.491,5,40
M3_0218,.....,""".....""",0.375,2,46
M3_0219,尋,"""尋""",0.317,3,32
M3_0220,---,"""---""",0.272,2,40
M3_0221,d,"""d""",0.382,2,46
M3_0222,E,"""E""",0.331,2,28
M3_0223,---,"""---""",0.369,2,46
M3_0224,No,"""No""",0.462,2,58
M3_0225,答案,"""答案""",0.336,2,36
M3_0226,遠,"""遠""",0.382,3,51
M3_0227,---,"""---""",0.392,2,46
M3_0228,）,"""    ）""",0.381,3,46
M3_0229,---,"""---""",0.435,2,51
M3_0230,---,"""---""",0.379,2,40
M3_0231,---,"""---""",0.319,2,46
M3_0232,---,"""---""",0.365,2,40
M3_0233,┌,"""    ┌""",0.436,4,46
M3_0234,←,"""←""",0.401,3,46
M3_0235,境,"""境""",0.344,2,25
M3_0236,ব্যাংক,"""ব্যাংক""",0.555,9,32
M3_0237,𐬭,"""𐬭""",0.551,5,41
M3_0238,কোন বাংলা,"""কোন বাংলা""",0.719,12,32
M3_0239,一,"""一""",0.364,2,40
M3_0240,．,"""．""",0.293,2,36
M3_0241,---,"""---""",0.320,2,46
M3_0242,English,"""English""",0.471,2,58
M3_0243,فر,"""فر""",0.308,2,25
M3_0244,প,"""প""",0.399,3,36
