sample_id,pred_iou,pred_mono,pred_all,note,score_iou,cell_char
M1_0000,,,,no_page,,
M1_0001,,,,no_page,,
M1_0002,,,,no_page,,
M1_0003,,,,no_page,,
M1_0004,,,,no_page,,
M1_0005,,,,no_page,,
M1_0006,,,,no_page,,
M1_0007,,,,no_page,,
M1_0008,,,,no_page,,
M1_0009,,,,no_page,,
M1_0010,,,,no_page,,
M1_0011,,,,no_page,,
M1_0012,,,,no_page,,
M1_0013,,,,no_page,,
M1_0014,,,,no_page,,
M1_0015,,,,no_page,,
M1_0016,,,,no_page,,
M1_0017,,,,no_page,,
M1_0018,,,,no_page,,
M1_0019,,,,no_page,,
M1_0020,,,,no_page,,
M1_0021,,,,no_page,,
M1_0022,,,,no_page,,
M1_0023,,,,no_page,,
M1_0024,,,,no_page,,
M1_0025,,,,no_page,,
M1_0026,,,,no_page,,
M1_0027,,,,no_page,,
M1_0028,,,,no_page,,
M1_0029,,,,no_page,,
M1_0030,,,,no_page,,
M1_0031,,,,no_page,,
M1_0032,,,,no_page,,
M1_0033,,,,no_page,,
M1_0034,,,,no_page,,
M1_0035,,,,no_page,,
M1_0036,,,,no_page,,
M1_0037,,,,no_page,,
M1_0038,,,,no_page,,
M1_0039,,,,no_page,,
M1_0040,,,,no_page,,
M1_0041,,,,no_page,,
M1_0042,,,,no_page,,
M1_0043,,,,no_page,,
M1_0044,,,,no_page,,
M1_0045,,,,no_page,,
M1_0046,,,,no_page,,
M1_0047,,,,no_page,,
M1_0048,,,,no_page,,
M1_0049,,,,no_page,,
M1_0050,,,,no_page,,
M1_0051,,,,no_page,,
M1_0052,,,,no_page,,
M1_0053,,,,no_page,,
M1_0054,,,,no_page,,
M1_0055,,,,no_page,,
M1_0056,,,,no_page,,
M1_0057,,,,no_page,,
M1_0058,,,,no_page,,
M1_0059,,,,no_page,,
M1_0060,,,,no_page,,
M1_0061,,,,no_page,,
M1_0062,,,,no_page,,
M1_0063,,,,no_page,,
M1_0064,,,,no_page,,
M1_0065,,,,no_page,,
M1_0066,,,,no_page,,
M1_0067,,,,no_page,,
M1_0068,,,,no_page,,
M1_0069,,,,no_page,,
M1_0070,,,,no_page,,
M1_0071,,,,no_page,,
M1_0072,,,,no_page,,
M1_0073,,,,no_page,,
M1_0074,,,,no_page,,
M1_0075,,,,no_page,,
M1_0076,,,,no_page,,
M1_0077,,,,no_page,,
M1_0078,,,,no_page,,
M1_0079,,,,no_page,,
M1_0080,,,,no_page,,
M1_0081,,,,no_page,,
M1_0082,,,,no_page,,
M1_0083,,,,no_page,,
M1_0084,,,,no_page,,
M1_0085,,,,no_page,,
M1_0086,,,,no_page,,
M1_0087,,,,no_page,,
M1_0088,,,,no_page,,
M1_0089,,,,no_page,,
M1_0090,,,,no_page,,
M1_0091,,,,no_page,,
M1_0092,,,,no_page,,
M1_0093,,,,no_page,,
M1_0094,,,,no_page,,
M1_0095,,,,no_page,,
M1_0096,,,,no_page,,
M1_0097,,,,no_page,,
M1_0098,,,,no_page,,
M1_0099,,,,no_page,,
M1_0100,,,,no_page,,
M1_0101,,,,no_page,,
M1_0102,,,,no_page,,
M1_0103,,,,no_page,,
M1_0104,,,,no_page,,
M1_0105,,,,no_page,,
M1_0106,,,,no_page,,
M1_0107,,,,no_page,,
M1_0108,,,,no_page,,
M1_0109,,,,no_page,,
M1_0110,,,,no_page,,
M1_0111,,,,no_page,,
M1_0112,,,,no_page,,
M1_0113,,,,no_page,,
M1_0114,,,,no_page,,
M1_0115,,,,no_page,,
M1_0116,,,,no_page,,
M1_0117,,,,no_page,,
M1_0118,,,,no_page,,
M1_0119,,,,no_page,,
M1_0120,,,,no_page,,
M1_0121,,,,no_page,,
M1_0122,,,,no_page,,
M1_0123,,,,no_page,,
M1_0124,,,,no_page,,
M1_0125,,,,no_page,,
M1_0126,,,,no_page,,
M1_0127,,,,no_page,,
M1_0128,,,,no_page,,
M1_0129,,,,no_page,,
M1_0130,,,,no_page,,
M1_0131,,,,no_page,,
M1_0132,,,,no_page,,
M1_0133,,,,no_page,,
M1_0134,,,,no_page,,
M1_0135,,,,no_page,,
M1_0136,,,,no_page,,
M1_0137,,,,no_page,,
M1_0138,,,,no_page,,
M1_0139,,,,no_page,,
M1_0140,,,,no_page,,
M1_0141,,,,no_page,,
M1_0142,,,,no_page,,
M1_0143,,,,no_page,,
M1_0144,,,,no_page,,
M1_0145,,,,no_page,,
M1_0146,,,,no_page,,
M1_0147,,,,no_page,,
M1_0148,,,,no_page,,
M1_0149,,,,no_page,,
M1_0150,,,,no_page,,
M1_0151,,,,no_page,,
M1_0152,,,,no_page,,
M1_0153,,,,no_page,,
M1_0154,,,,no_page,,
M1_0155,,,,no_page,,
M1_0156,,,,no_page,,
M1_0157,,,,no_page,,
M1_0158,,,,no_page,,
M1_0159,,,,no_page,,
M1_0160,,,,no_page,,
M1_0161,,,,no_page,,
M1_0162,,,,no_page,,
M1_0163,,,,no_page,,
