sample_id,pred_iou,pred_mono,pred_all,note,score_iou,cell_char
M3_0000,,,,no_page,,
M3_0001,,,,no_page,,
M3_0002,,,,no_page,,
M3_0003,,,,no_page,,
M3_0004,,,,no_page,,
M3_0005,,,,no_page,,
M3_0006,,,,no_page,,
M3_0007,,,,no_page,,
M3_0008,,,,no_page,,
M3_0009,,,,no_page,,
M3_0010,,,,no_page,,
M3_0011,,,,no_page,,
M3_0012,,,,no_page,,
M3_0013,,,,no_page,,
M3_0014,,,,no_page,,
M3_0015,,,,no_page,,
M3_0016,,,,no_page,,
M3_0017,,,,no_page,,
M3_0018,,,,no_page,,
M3_0019,,,,no_page,,
M3_0020,,,,no_page,,
M3_0021,,,,no_page,,
M3_0022,,,,no_page,,
M3_0023,,,,no_page,,
M3_0024,,,,no_page,,
M3_0025,,,,no_page,,
M3_0026,,,,no_page,,
M3_0027,,,,no_page,,
M3_0028,,,,no_page,,
M3_0029,,,,no_page,,
M3_0030,,,,no_page,,
M3_0031,,,,no_page,,
M3_0032,,,,no_page,,
M3_0033,,,,no_page,,
M3_0034,,,,no_page,,
M3_0035,,,,no_page,,
M3_0036,,,,no_page,,
M3_0037,,,,no_page,,
M3_0038,,,,no_page,,
M3_0039,,,,no_page,,
M3_0040,,,,no_page,,
M3_0041,,,,no_page,,
M3_0042,,,,no_page,,
M3_0043,,,,no_page,,
M3_0044,,,,no_page,,
M3_0045,,,,no_page,,
M3_0046,,,,no_page,,
M3_0047,,,,no_page,,
M3_0048,,,,no_page,,
M3_0049,,,,no_page,,
M3_0050,,,,no_page,,
M3_0051,,,,no_page,,
M3_0052,,,,no_page,,
M3_0053,,,,no_page,,
M3_0054,,,,no_page,,
M3_0055,,,,no_page,,
M3_0056,,,,no_page,,
M3_0057,,,,no_page,,
M3_0058,,,,no_page,,
M3_0059,,,,no_page,,
M3_0060,,,,no_page,,
M3_0061,,,,no_page,,
M3_0062,,,,no_page,,
M3_0063,,,,no_page,,
M3_0064,,,,no_page,,
M3_0065,,,,no_page,,
M3_0066,,,,no_page,,
M3_0067,,,,no_page,,
M3_0068,,,,no_page,,
M3_0069,,,,no_page,,
M3_0070,,,,no_page,,
M3_0071,,,,no_page,,
M3_0072,,,,no_page,,
M3_0073,,,,no_page,,
M3_0074,,,,no_page,,
M3_0075,,,,no_page,,
M3_0076,,,,no_page,,
M3_0077,尋,尋,尋,ok,0.7071118354797363,㝵
M3_0078,,,,no_page,,
M3_0079,,,,no_page,,
M3_0080,,,,no_page,,
M3_0081,,,,no_page,,
M3_0082,,,,no_page,,
M3_0083,,,,no_page,,
M3_0084,,,,no_page,,
M3_0085,,,,no_page,,
M3_0086,,,,no_page,,
M3_0087,,,,no_page,,
M3_0088,,,,no_page,,
M3_0089,,,,no_page,,
M3_0090,,,,no_page,,
M3_0091,,,,no_page,,
M3_0092,,,,no_page,,
M3_0093,,,,no_page,,
M3_0094,,,,no_page,,
M3_0095,,,,no_page,,
M3_0096,,,,no_page,,
M3_0097,,,,no_page,,
M3_0098,,,,no_page,,
M3_0099,,,,no_page,,
M3_0100,,,,no_page,,
M3_0101,,,,no_page,,
M3_0102,,,,no_page,,
M3_0103,,,,no_page,,
M3_0104,,,,no_page,,
M3_0105,,,,no_page,,
M3_0106,,,,no_page,,
M3_0107,,,,no_page,,
M3_0108,,,,no_page,,
M3_0109,,,,no_page,,
M3_0110,,,,no_page,,
M3_0111,,,,no_page,,
M3_0112,,,,no_page,,
M3_0113,,,,no_page,,
M3_0114,,,,no_page,,
M3_0115,,,,no_page,,
M3_0116,,,,no_page,,
M3_0117,,,,no_page,,
M3_0118,,,,no_page,,
M3_0119,,,,no_page,,
M3_0120,,,,no_page,,
M3_0121,,,,no_page,,
M3_0122,,,,no_page,,
M3_0123,,,,no_page,,
M3_0124,,,,no_page,,
M3_0125,,,,no_page,,
M3_0126,,,,no_page,,
M3_0127,,,,no_page,,
M3_0128,,,,no_page,,
M3_0129,,,,no_page,,
M3_0130,,,,no_page,,
M3_0131,,,,no_page,,
M3_0132,,,,no_page,,
M3_0133,,,,no_page,,
M3_0134,,,,no_page,,
M3_0135,,,,no_page,,
M3_0136,,,,no_page,,
M3_0137,,,,no_page,,
M3_0138,,,,no_page,,
M3_0139,,,,no_page,,
M3_0140,,,,no_page,,
M3_0141,,,,no_page,,
M3_0142,,,,no_page,,
M3_0143,,,,no_page,,
M3_0144,,,,no_page,,
M3_0145,,,,no_page,,
M3_0146,,,,no_page,,
M3_0147,,,,no_page,,
M3_0148,,,,no_page,,
M3_0149,,,,no_page,,
M3_0150,,,,no_page,,
M3_0151,,,,no_page,,
M3_0152,,,,no_page,,
M3_0153,,,,no_page,,
M3_0154,,,,no_page,,
M3_0155,,,,no_page,,
M3_0156,,,,no_page,,
M3_0157,,,,no_page,,
M3_0158,,,,no_page,,
M3_0159,,,,no_page,,
M3_0160,,,,no_page,,
M3_0161,,,,no_page,,
M3_0162,,,,no_page,,
M3_0163,,,,no_page,,
M3_0164,,,,no_page,,
M3_0165,,,,no_page,,
M3_0166,,,,no_page,,
M3_0167,,,,no_page,,
M3_0168,,,,no_page,,
M3_0169,,,,no_page,,
M3_0170,,,,no_page,,
M3_0171,,,,no_page,,
M3_0172,,,,no_page,,
M3_0173,,,,no_page,,
M3_0174,,,,no_page,,
M3_0175,,,,no_page,,
M3_0176,,,,no_page,,
M3_0177,,,,no_page,,
