bo,tap,diem,viec,auc_cu,auc_moi,hieu,hieu_lo,hieu_hi,n_cu,am_cu,n_moi,am_moi
L16,GOLD,pw,khe,0.9465,0.9394,-0.0071,-0.0174,-0.0015,11520,187,11497,167
L16,GOLD,pw,nhan,0.7577,0.7514,-0.0063,-0.0205,0.0086,11333,166,11330,170
L16,GOLD,pw,hai_ve,0.8583,0.8451,-0.0132,-0.0227,-0.0047,11520,353,11497,337
L16,GOLD,vs,khe,0.8909,0.885,-0.0059,-0.018,0.0024,11520,187,11497,167
L16,GOLD,vs,nhan,0.8307,0.8235,-0.0071,-0.0176,0.0015,11333,166,11330,170
L16,GOLD,vs,hai_ve,0.8648,0.8561,-0.0087,-0.0156,-0.0025,11520,353,11497,337
L16,moi_tier,pw,khe,0.7411,0.7296,-0.0115,-0.0241,0.0073,13614,453,13585,426
L16,moi_tier,pw,nhan,0.7373,0.7391,0.0018,-0.009,0.0124,13161,344,13159,347
L16,moi_tier,pw,hai_ve,0.7416,0.736,-0.0056,-0.0139,0.004,13614,797,13585,773
L16,moi_tier,vs,khe,0.7083,0.6959,-0.0124,-0.022,-0.0014,13614,453,13585,426
L16,moi_tier,vs,nhan,0.8126,0.8061,-0.0065,-0.0128,-0.0009,13161,344,13159,347
L16,moi_tier,vs,hai_ve,0.7573,0.7493,-0.008,-0.0133,-0.0026,13614,797,13585,773
TK,GOLD,pw,khe,0.9659,0.9645,-0.0014,-0.012,0.0141,18479,63,18481,62
TK,GOLD,pw,nhan,0.6416,0.6329,-0.0086,-0.0223,0.0067,18416,208,18419,207
TK,GOLD,pw,hai_ve,0.717,0.7094,-0.0076,-0.0174,0.0037,18479,271,18481,269
TK,GOLD,vs,khe,0.8882,0.8877,-0.0005,-0.0087,0.0099,18479,63,18481,62
TK,GOLD,vs,nhan,0.6473,0.6417,-0.0056,-0.0128,0.0002,18416,208,18419,207
TK,GOLD,vs,hai_ve,0.7035,0.6986,-0.0049,-0.0107,0.0006,18479,271,18481,269
TK,moi_tier,pw,khe,0.6963,0.6976,0.0013,-0.0148,0.012,21282,193,21278,189
TK,moi_tier,pw,nhan,0.67,0.6578,-0.0123,-0.0229,-0.0026,21089,375,21089,371
TK,moi_tier,pw,hai_ve,0.6796,0.6718,-0.0078,-0.0164,0.0,21282,568,21278,560
TK,moi_tier,vs,khe,0.6588,0.6577,-0.0011,-0.0141,0.0095,21282,193,21278,189
TK,moi_tier,vs,nhan,0.6763,0.6721,-0.0042,-0.0112,0.0011,21089,375,21089,371
TK,moi_tier,vs,hai_ve,0.6711,0.668,-0.0031,-0.0073,0.0014,21282,568,21278,560
