image,label,tier,head_cos,head_prob,head_margin,head_isarg,bank_cos,mls
gold/stt2_page_0012_c01_000.png,二,GOLD,0.2887745499610901,0.0008487618761137128,-0.11888259649276733,0.0,0.8960440158843994,0.4076571464538574
gold/stt2_page_0012_c01_001.png,月,GOLD,0.6580007672309875,0.0012009935453534126,0.34910398721694946,1.0,0.5688877701759338,0.6580007672309875
silver/stt2_page_0012_c02_004.png,拮,SILVER,-0.071170374751091,0.0005942510906606913,-0.41263924539089203,0.0,0.07587306946516037,0.341468870639801
gold/stt2_page_0012_c02_005.png,日,GOLD,0.6438292860984802,0.0011744506191462278,0.3514956831932068,1.0,0.3814723789691925,0.6438292860984802
gold/stt2_page_0012_c02_006.png,翁,GOLD,0.7061097025871277,0.0012592354323714972,0.4661658704280853,1.0,0.7272902131080627,0.7061097025871277
silver/stt2_page_0012_c02_008.png,那,SILVER,0.31834179162979126,0.0008629945805296302,0.011044561862945557,1.0,0.4291560649871826,0.31834179162979126
gold/stt2_page_0012_c02_009.png,樞,GOLD,0.7095656394958496,0.0012749395100399852,0.4185652732849121,1.0,0.7373942732810974,0.7095656394958496
gold/stt2_page_0012_c02_010.png,曰,GOLD,0.7808127999305725,0.0013543894747272134,0.550349086523056,1.0,0.8826826214790344,0.7808127999305725
gold/stt2_page_0012_c02_012.png,死,GOLD,0.6882609128952026,0.001261862926185131,0.3881276845932007,1.0,0.8511556386947632,0.6882609128952026
gold/stt2_page_0012_c02_014.png,道,GOLD,0.7347128987312317,0.0013049020199105144,0.4947393089532852,1.0,0.8033512830734253,0.7347128987312317
silver/stt2_page_0012_c02_015.png,傳,SILVER,0.6835963726043701,0.0012306845746934414,0.34036117792129517,1.0,0.8457309603691101,0.6835963726043701
gold/stt2_page_0012_c03_016.png,翁,GOLD,0.4944217801094055,0.0010203097481280565,0.10724559426307678,1.0,0.5804325342178345,0.4944217801094055
gold/stt2_page_0012_c03_021.png,四,GOLD,0.7152886390686035,0.0012813765788450837,0.2876356840133667,1.0,0.8039930462837219,0.7152886390686035
gold/stt2_page_0012_c03_022.png,翁,GOLD,0.6572252511978149,0.0011875474592670798,0.4278612732887268,1.0,0.8693075180053711,0.6572252511978149
gold/stt2_page_0012_c03_023.png,垩,GOLD,0.7001840472221375,0.0012567377416417003,0.4712764322757721,1.0,0.8307504653930664,0.7001840472221375
silver/stt2_page_0012_c03_024.png,樞,SILVER,0.04209019988775253,0.0006546733202412724,-0.4643758311867714,0.0,0.1259932667016983,0.5064660310745239
silver/stt2_page_0012_c03_027.png,苔,SILVER,0.5115915536880493,0.001044544274918735,0.18231284618377686,1.0,0.5692970156669617,0.5115915536880493
gold/stt2_page_0012_c03_028.png,四,GOLD,0.7146495580673218,0.001287254854105413,0.415152907371521,1.0,0.7830811142921448,0.7146495580673218
gold/stt2_page_0012_c03_029.png,奇,GOLD,0.7059425115585327,0.0012616454623639584,0.4226993918418884,1.0,0.7796838283538818,0.7059425115585327
gold/stt2_page_0012_c03_030.png,徳,GOLD,0.37972578406333923,0.0009210547432303429,0.11485669016838074,1.0,0.4223278760910034,0.37972578406333923
gold/stt2_page_0012_c03_031.png,主,GOLD,0.46592122316360474,0.0009894199902191758,0.1335715651512146,1.0,0.4773385226726532,0.46592122316360474
