image,nom_char,label,reading,confidence,bbox,page,source
crops_cleaned/page_0010/col01_char000.png,倘,U+5018,THÁNG,medium,"1172,325,1301,422",10,CacThanhTruyen11
crops_cleaned/page_0010/col01_char001.png,邁,U+9081,MƯỜI,high,"1172,422,1301,551",10,CacThanhTruyen11
crops_cleaned/page_0010/col01_char002.png,刎,U+520E,MỘT,medium,"1172,551,1301,666",10,CacThanhTruyen11
crops_cleaned/page_0010/col01_char003.png,固,U+56FA,Có,high,"1172,666,1301,758",10,CacThanhTruyen11
crops_cleaned/page_0010/col01_char004.png,巴,U+5DF4,Ba,high,"1172,758,1301,888",10,CacThanhTruyen11
crops_cleaned/page_0010/col01_char005.png,邁,U+9081,mươi,high,"1172,888,1301,995",10,CacThanhTruyen11
crops_cleaned/page_0010/col01_char006.png,時,U+6642,ngày,medium,"1172,995,1301,1115",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char000.png,夣,U+5923,MỒNG,medium,"1033,355,1172,416",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char001.png,刎,U+520E,MỘT,medium,"1033,416,1172,477",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char002.png,礼,U+793C,Lễ,high,"1033,477,1172,540",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char003.png,各,U+5404,Các,high,"1033,540,1172,618",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char004.png,垩,U+57A9,Thánh,high,"1033,618,1172,685",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char005.png,暗,U+6697,Hôm,medium,"1033,685,1172,748",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char006.png,哰,U+54F0,nay,medium,"1033,748,1172,825",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char007.png,貴,U+8CB4,I,medium,"1033,825,1172,881",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char008.png,𡃊,U+210CA,ghê,medium,"1033,881,1172,957",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char009.png,黧,U+9EE7,rê,medium,"1033,957,1172,1016",10,CacThanhTruyen11
crops_cleaned/page_0010/col02_char010.png,加,U+52A0,gia,high,"1033,1016,1172,1098",10,CacThanhTruyen11
