page,column,syllable,nom_char,unicode,matched,tier,ocr_char,bbox,crop_file
page_0012,1,Nhị,二,U+4E8C,True,1,二,"[1498, 271, 1602, 371]",crops/page_0012/col01_char000.png
page_0012,1,nguyệt,月,U+6708,True,1,月,"[1498, 371, 1602, 472]",crops/page_0012/col01_char001.png
page_0012,1,nhị,二,U+4E8C,True,1,二,"[1498, 472, 1602, 572]",crops/page_0012/col01_char002.png
page_0012,1,thập,丕,U+4E15,True,3,卞,"[1498, 572, 1602, 673]",crops/page_0012/col01_char003.png
page_0012,1,bát,八,U+516B,True,1,八,"[1498, 673, 1602, 773]",crops/page_0012/col01_char004.png
page_0012,1,nhật,日,U+65E5,True,1,日,"[1498, 773, 1602, 874]",crops/page_0012/col01_char005.png
page_0012,2,SƠ,初,U+521D,True,3,日,"[1334, 103, 1451, 232]",crops/page_0012/col02_char000.png
page_0012,2,NHẤT,𧘇,U+27607,True,3,公,"[1334, 232, 1451, 361]",crops/page_0012/col02_char001.png
page_0012,2,NHẬT,月,U+6708,True,1,月,"[1334, 361, 1451, 490]",crops/page_0012/col02_char002.png
page_0012,2,Ông,蓊,U+84CA,True,3,垩,"[1334, 490, 1451, 620]",crops/page_0012/col02_char003.png
page_0012,2,Thánh,𢫙,U+22AD9,True,3,依,"[1334, 620, 1451, 749]",crops/page_0012/col02_char004.png
page_0012,2,I,,,False,0,,,
page_0012,2,na,那,U+90A3,True,1,那,"[1334, 749, 1451, 878]",crops/page_0012/col02_char005.png
page_0012,2,xu,樞,U+6A1E,True,1,樞,"[1334, 878, 1451, 1008]",crops/page_0012/col02_char006.png
page_0012,2,viết,曰,U+66F0,True,1,曰,"[1334, 1008, 1451, 1137]",crops/page_0012/col02_char007.png
page_0012,2,vồ,模,U+6A21,True,3,無,"[1334, 1137, 1451, 1266]",crops/page_0012/col02_char008.png
page_0012,2,tử,死,U+6B7B,True,1,死,"[1334, 1266, 1451, 1396]",crops/page_0012/col02_char009.png
page_0012,2,vì,爲,U+7232,True,1,爲,"[1334, 1396, 1451, 1525]",crops/page_0012/col02_char010.png
page_0012,2,đạo,道,U+9053,True,1,道,"[1334, 1525, 1451, 1654]",crops/page_0012/col02_char011.png
page_0012,2,truyện,傳,U+50B3,True,1,傳,"[1334, 1654, 1451, 1784]",crops/page_0012/col02_char012.png
page_0012,3,Ông,翁,U+7FC1,True,1,翁,"[1119, 101, 1263, 215]",crops/page_0012/col03_char000.png
page_0012,3,Thánh,𣈖,U+23216,True,3,華,"[1119, 215, 1263, 329]",crops/page_0012/col03_char001.png
page_0012,3,này,𠼱,U+20F31,True,3,君,"[1119, 329, 1263, 443]",crops/page_0012/col03_char002.png
page_0012,3,là,𬗢,U+2C5E2,True,3,畀,"[1119, 443, 1263, 557]",crops/page_0012/col03_char003.png
